Department Area,,Service Area,,Description,,,Line,,HBC Ref No.,,Name:  ,,,Payment Date,,Amount Paid
REGN - Regeneration & Housing,,FAB - Facilities,,"Amenity Lighting 01.09.25 ?
  30.09.25",,,1,,CRINV0014249,,EDF - 1232400259 - Unmetered Supply Street Lightin,,,14/10/2025,,66.36
REGN - Regeneration & Housing,,FAB - Facilities,,Amenity Lighting 01.09.25 ? 30.09.25,,,2,,CRINV0014249,,EDF - 1232400259 - Unmetered Supply Street Lightin,,,14/10/2025,,"1,957.66"
REGN - Regeneration & Housing,,FAB - Facilities,,Amenity Lighting 01.09.25 ? 30.09.25,,,3,,CRINV0014249,,EDF - 1232400259 - Unmetered Supply Street Lightin,,,14/10/2025,,718.91
REGN - Regeneration & Housing,,FAB - Facilities,,Amenity Lighting 01.09.25 ? 30.09.25,,,4,,CRINV0014249,,EDF - 1232400259 - Unmetered Supply Street Lightin,,,14/10/2025,,"1,548.42"
REGN - Regeneration & Housing,,FAB - Facilities,,Amenity Lighting 01.09.25 ? 30.09.25,,,5,,CRINV0014249,,EDF - 1232400259 - Unmetered Supply Street Lightin,,,14/10/2025,,132.72
REGN - Regeneration & Housing,,FAB - Facilities,,Amenity Lighting 01.09.25 ? 30.09.25,,,6,,CRINV0014249,,EDF - 1232400259 - Unmetered Supply Street Lightin,,,14/10/2025,,0.36-
RESO - Resources,,AAD - ICT,," V2 Nutanix Software Subscripton
Nutanix Software
64Subscription, Nutanix Cloud Infrastructure (NCI) Pro Software License & Production Software Support S£588.11 £37,639.04 
64Subscription Nutanix Cloud Management (NCM) Starter Software License & Production",,,1,,CRPOI0012943,,Softcat Ltd,,,14/10/2025,,"52,586.50"
RESO - Resources,,AAD - ICT,," V2 Nutanix Software Subscripton
Nutanix Software
64Subscription, Nutanix Cloud Infrastructure (NCI) Pro Software License & Production Software Support S£588.11 £37,639.04 
64Subscription Nutanix Cloud Management (NCM) Starter Software License & Production",,,2,,CRPOI0012943,,Softcat Ltd,,,14/10/2025,,452.69
RESO - Resources,,AAD - ICT,," V2 Nutanix Software Subscripton
Nutanix Software
64Subscription, Nutanix Cloud Infrastructure (NCI) Pro Software License & Production Software Support S£588.11 £37,639.04 
64Subscription Nutanix Cloud Management (NCM) Starter Software License & Production",,,1,,CRPOI0012944,,Softcat Ltd,,,14/10/2025,,"18,414.35"
RESO - Resources,,AAD - ICT,,"Nutanix Cloud Infrastructure (NCI) Pro Software License & Production Software Support 
64Subscription Nutanix Cloud Management (NCM) Starter Software License & Production",,,1,,CRPOI0013088,,Softcat Ltd,,,14/10/2025,,"7,888.32"
RESO - Resources,,AAD - ICT,,"V2 Nutanix Software Subscription
Nutanix Software
64Subscription, Nutanix Cloud Inrastructure (NCI) Pro Software License & Production Software Support 
64Subscription Nutanix Cloud Management (NCM) Starter Software License & Production",,,2,,CRPOI0013088,,Softcat Ltd,,,14/10/2025,,"7,888.32"
RESO - Resources,,AAD - ICT,,"V2 Nutanix Software Subscription
Nutanix Software
64Subscription, Nutanix Cloud Inrastructure (NCI) Pro Software License & Production Software Support 
64Subscription Nutanix Cloud Management (NCM) Starter Software License & Production",,,1,,CRPOI0013233,,Softcat Ltd,,,14/10/2025,,"63,671.67"
RESO - Resources,,AAF - Finance,,"Introduction to Budgeting course 16.09.25
Introduction to Local Government Finance course 05.11.25 (£375.00 + VAT)",,,1,,CRPOI0013620,,CIPFA Business Limited,,,14/10/2025,,900.00
ENVS - Environmental Services,,CAB - Other Environmental Services,,4 X  - Vazor Cypermax Plus 500ml ,,,1,,CRPOI0013651,,Killgerm Chemicals Ltd,,,14/10/2025,,139.20
ENVS - Environmental Services,,CAB - Other Environmental Services,,10 X  - AA Batteries (10 pack) ,,,2,,CRPOI0013651,,Killgerm Chemicals Ltd,,,14/10/2025,,85.32
ENVS - Environmental Services,,CAB - Other Environmental Services,,9 X - AAA Batteries (10 pack) ,,,3,,CRPOI0013651,,Killgerm Chemicals Ltd,,,14/10/2025,,70.96
PLAN - Planning & Transportation,,EAD - Planning,,Consultancy Services,,,1,,CRPOI0013684,,Nec Software Solutions Uk Ltd,,,14/10/2025,,"3,600.00"
ENVS - Environmental Services,,CAE - Waste Services,,"1,000,000 X  of RED DOG WASTE bags
175 x 275 x 375mm Ref:15.23 RED HDPE VEST CARRIER
Printed 1 colour x 1 side fixed as per artwork
boxed in packs of 50s @ £9.64 per 1000",,,1,,CRPOI0013707,,Durasak Limited,,,14/10/2025,,"11,834.06"
ENVS - Environmental Services,,CAE - Waste Services,,24 X 13`` PVC Yard Brush Complete,,,1,,CRPOI0013801,,"Bubbles, Brushes & Wiper Co Ltd",,,14/10/2025,,286.27
ENVS - Environmental Services,,CAC - Parks & Cemeteries,,"Tree work
Fell 18 trees -",,,1,,CRPOI0013861,,Northern Forestry & Arb,,,14/10/2025,,"1,728.00"
ENVS - Environmental Services,,CAC - Parks & Cemeteries,,Fell Trees,,,2,,CRPOI0013861,,Northern Forestry & Arb,,,14/10/2025,,"12,912.00"
PLAN - Planning & Transportation,,EAC - Green Infrastructure,,Hollins Wood brash chipping,,,1,,CRPOI0013926,,Dlc Tree Services,,,14/10/2025,,"1,020.00"
PLAN - Planning & Transportation,,EAC - Green Infrastructure,,Vegetation management works at Royds Street and Brookside,,,1,,CRPOI0013927,,Dlc Tree Services,,,14/10/2025,,"1,200.00"
PLAN - Planning & Transportation,,EAC - Green Infrastructure,,Vegetation management works at Royds Street and Brookside,,,2,,CRPOI0013927,,Dlc Tree Services,,,14/10/2025,,"1,800.00"
RESO - Resources,,AAD - ICT,,Repairs to sockets,,,1,,CRPOI0013970,,Steven Mercer Electrical Contractors Limited,,,14/10/2025,,"1,727.46"
REGN - Regeneration & Housing,,FAB - Facilities,,"Supply and installation of new PTZ cameras, including power supplies, suppressor and associated parts",,,1,,CRPOI0013974,,Full Circuit Fire & Security Ltd,,,14/10/2025,,"2,207.11"
RESO - Resources,,AAD - ICT,,1 X NEC Software Solutions Renewal Support & Maintenance Advanced PDF Creator,,,1,,CRPOI0013999,,Nec Software Solutions Uk Ltd,,,14/10/2025,,900.00
RESO - Resources,,AAB - Benefits & Customer Contact,,NNDR3 Software charges,,,1,,CRPOI0014001,,MRI Software Ltd,,,14/10/2025,,"7,247.74"
ENVS - Environmental Services,,CAF - CVMU,,1 X Isuzu 5.5 Tonne Cage Tipper with Dumpover Tail Lift,,,1,,CRPOI0014102,,JDS Trucks Ltd,,,14/10/2025,,"58,796.40"
ENVS - Environmental Services,,CAF - CVMU,,Non vat amount,,,2,,CRPOI0014102,,JDS Trucks Ltd,,,14/10/2025,,226.00
REGN - Regeneration & Housing,,FAA - Economic Development,,Amazon Academy workshops,,,1,,CRPOI0014110,,Sales Geek Limited,,,14/10/2025,,"1,188.00"
RESO - Resources,,AAD - ICT,,"1 x Additional network requirements, 9 x new CAT6A cable runs and data points ",,,1,,CRPOI0014189,,Stone Technologies Ltd,,,14/10/2025,,"4,500.00"
RESO - Resources,,AAD - ICT,,"2xMeraki MS225-24P Enterprise Licences and Support - 5 yrs 
8xMeraki MR Enterprise License 5 yrs @254.01 each +VAT
1xProfessional Services @£5015.25 +VAT",,,1,,CRPOI0014215,,Stone Technologies Ltd,,,14/10/2025,,"6,018.30"
RESO - Resources,,AAD - ICT,,Cabling Works,,,1,,CRPOI0014216,,Stone Technologies Ltd,,,14/10/2025,,"3,330.60"
ENVS - Environmental Services,,CAC - Parks & Cemeteries,,Lantra Combi Tractor Mower course.,,,1,,CRPOI0014244,,Morton Training Limited,,,14/10/2025,,"2,490.00"
RESO - Resources,,AAF - Finance,,Temp Staff W/e 24.8.25,,,1,,CRPOI0014251,,G2 Recruitment Solutions,,,14/10/2025,,"5,850.00"
RESO - Resources,,AAF - Finance,,Temp Staff W/e 31.8.25,,,1,,CRPOI0014252,,G2 Recruitment Solutions,,,14/10/2025,,"4,680.00"
RESO - Resources,,AAF - Finance,,Temp Staff w/e 31.8.25,,,1,,CRPOI0014253,,G2 Recruitment Solutions,,,14/10/2025,,"5,850.00"
PLAN - Planning & Transportation,,EAD - Planning,,Agency Staff - w/e 21.09.25,,,1,,CRINV0013687,,Vivid Resourcing,,,16/10/2025,,"2,448.00"
REGN - Regeneration & Housing,,FAD - Housing Advice,,Agency staff - w/e 21.09.25,,,1,,CRINV0013688,,Vivid Resourcing,,,16/10/2025,,"1,026.00"
ENVH - Environmental Health,,BAB - Environmental Protection,,Agency staff - w/e 21.09.25,,,1,,CRINV0013691,,Vivid Resourcing,,,16/10/2025,,433.75
ENVS - Environmental Services,,CAF - CVMU,,Active XLS 1000L,,,1,,CRINV0013723,,Hope & Brown Ltd,,,16/10/2025,,256.80
LEGL - Legal & Democratic,,DAH - Licencing,,Agency staff - w/e 21.09.25,,,1,,CRINV0013745,,G2 Recruitment Solutions,,,16/10/2025,,412.80
ENVS - Environmental Services,,CAB - Other Environmental Services,,Hire of 8 wheeler,,,1,,CRINV0013757,,Stanley Brothers (Tippers) Ltd,,,16/10/2025,,744.00
PLAN - Planning & Transportation,,EAD - Planning,,Agency staff - w/e 21.09.25,,,1,,CRINV0013775,,Macdonald & Company,,,16/10/2025,,869.19
PLAN - Planning & Transportation,,EAD - Planning,,Agency staff - w/e 21.09.25,,,2,,CRINV0013775,,Macdonald & Company,,,16/10/2025,,869.21
PLAN - Planning & Transportation,,EAD - Planning,,Agency Staff - w/e 28.09.25,,,1,,CRINV0013877,,Macdonald & Company,,,16/10/2025,,869.21
PLAN - Planning & Transportation,,EAD - Planning,,Agency staff - w/e 28.09.25,,,2,,CRINV0013877,,Macdonald & Company,,,16/10/2025,,869.19
PLAN - Planning & Transportation,,EAD - Planning,,Heritage Services charges - July-sept 25,,,1,,CRINV0014147,,Blackburn With Darwen Borough Council,,,16/10/2025,,"1,957.42"
RESO - Resources,,AAB - Benefits & Customer Contact,,Professional charges,,,1,,CRINV0014152,,Stephensons Solicitors LLP,,,16/10/2025,,600.00
RESO - Resources,,AAB - Benefits & Customer Contact,,Professional charges,,,1,,CRINV0014153,,Stephensons Solicitors LLP,,,16/10/2025,,600.00
RESO - Resources,,AAB - Benefits & Customer Contact,,Professional Charges,,,1,,CRINV0014155,,Stephensons Solicitors LLP,,,16/10/2025,,600.00
RESO - Resources,,AAB - Benefits & Customer Contact,,Professional charges,,,1,,CRINV0014156,,Stephensons Solicitors LLP,,,16/10/2025,,600.00
PLAN - Planning & Transportation,,EAD - Planning,,Agency Costs PE: 05/10/2025,,,1,,CRINV0014171,,Macdonald & Company,,,16/10/2025,,858.95
PLAN - Planning & Transportation,,EAD - Planning,,Agency Costs PE: 05/10/2025,,,2,,CRINV0014171,,Macdonald & Company,,,16/10/2025,,858.95
ENVS - Environmental Services,,CAF - CVMU,,Gloves & Misc Items,,,1,,CRINV0014204,,Wurth Uk Ltd,,,16/10/2025,,294.60
RESO - Resources,,AAF - Finance,,HMRC Sept 25,,,1,,CRINV0014225,,HM Revenue & Customs (Direct Debit),,,16/10/2025,,"123,530.09"
RESO - Resources,,AAF - Finance,,HMRC Sept 25 Student Loans,,,2,,CRINV0014225,,HM Revenue & Customs (Direct Debit),,,16/10/2025,,"3,870.00"
RESO - Resources,,AAF - Finance,,HMRC Apprenticehsip Sept 25,,,3,,CRINV0014225,,HM Revenue & Customs (Direct Debit),,,16/10/2025,,"3,417.00"
RESO - Resources,,AAF - Finance,,HMRC NI Sept 25,,,4,,CRINV0014225,,HM Revenue & Customs (Direct Debit),,,16/10/2025,,"164,836.61"
RESO - Resources,,AAF - Finance,,Maternity Sept 25,,,5,,CRINV0014225,,HM Revenue & Customs (Direct Debit),,,16/10/2025,,936.49-
LEGL - Legal & Democratic,,DAB - Human Resources,,Pension - Sept 25,,,1,,CRINV0014226,,Lancashire County Council (Direct Debit Payments),,,16/10/2025,,"56,204.46"
RESO - Resources,,AAF - Finance,,Charges - Sept 25,,,1,,CRINV0014230,,Lloyds Bank Cardnet,,,16/10/2025,,"2,891.47"
ENVS - Environmental Services,,CAF - CVMU,,Temp staff w/e 12.10.25,,,1,,CRINV0014255,,Autotech Recruit,,,16/10/2025,,"1,026.60"
REGN - Regeneration & Housing,,FAB - Facilities,,Period: 1.9.25 to 30.9.25,,,1,,CRINV0014269,,Crown Gas and Power Ltd - P002258 Ossy Civic Theat,,,16/10/2025,,786.41
RESO - Resources,,AAF - Finance,,"Ground rent Bowling Green, Rishton",,,1,,CRINV0014275,,Free Gardeners Working Mens Club,,,16/10/2025,,300.00
RESO - Resources,,AAF - Finance,,Usage Charge (01 Aug 2025 to 31 Aug 2025),,,1,,CRINV0014289,,G4S Cash Solutions (UK) Limited,,,16/10/2025,,655.30
PLAN - Planning & Transportation,,EAD - Planning,,Fees in conjunction with Local Plan Examination,,,1,,CRPOI0013081,,The planning Inspectorate,,,16/10/2025,,"20,217.48"
REGN - Regeneration & Housing,,FAG - Regeneration,,Temp staff w/e 21.9.25,,,1,,CRPOI0013689,,Vivid Resourcing,,,16/10/2025,,"1,800.00"
RESO - Resources,,AAF - Finance,,Temp staff w/e 21.9.25,,,1,,CRPOI0013715,,G2 Recruitment Solutions,,,16/10/2025,,"5,850.00"
RESO - Resources,,AAD - ICT,,Emerald website hosting for hyndburnbc.gov.uk 23/10/2025-22/10/2027,,,1,,CRPOI0013734,,Krystal Hosting Ltd,,,16/10/2025,,410.40
ENVS - Environmental Services,,CAF - CVMU,,1000 Ltr IBC of Ad Blue,,,1,,CRPOI0013755,,J E Morten Ltd,,,16/10/2025,,414.00
ENVS - Environmental Services,,CAE - Waste Services,,12 X HGN post mount supplied with post clamps to fit 75mm post ,,,1,,CRPOI0013765,,Earth Anchors Ltd,,,16/10/2025,,997.20
ENVS - Environmental Services,,CAE - Waste Services,,Crraige charges,,,2,,CRPOI0013765,,Earth Anchors Ltd,,,16/10/2025,,57.60
REGN - Regeneration & Housing,,FAB - Facilities,,"Callouts, breakdowns, make safe, small general repairs",,,1,,CRPOI0013788,,George Pearce & Sons Ltd,,,16/10/2025,,268.80
REGN - Regeneration & Housing,,FAE - Property,,Signange,,,1,,CRPOI0014034,,Signage Systems,,,16/10/2025,,384.00
PLAN - Planning & Transportation,,EAD - Planning,,Agency staff -  - 15.09.25-19.09.25,,,1,,CRINV0013740,,Confido Consult Ltd,,,21/10/2025,,"2,385.12"
ENVH - Environmental Health,,BAA - Housing Standards,,Agency staff - 15.09.25,,,1,,CRINV0013756,,Oyster Partnership,,,21/10/2025,,"1,154.40"
ENVS - Environmental Services,,CAF - CVMU,,Parts - Lever,,,1,,CRINV0013780,,Townson Tractors,,,21/10/2025,,280.85
LEGL - Legal & Democratic,,DAB - Human Resources,,General design work,,,1,,CRINV0013794,,Brands Inside Out Limited,,,21/10/2025,,600.00
ENVS - Environmental Services,,CAC - Parks & Cemeteries,,Agency staff - w/c 15.09.25,,,1,,CRINV0013804,,Proman Supply Chain Ltd,,,21/10/2025,,"1,397.91"
ENVS - Environmental Services,,CAC - Parks & Cemeteries,,Mercer Park Playground - Release of Retention,,,1,,CRINV0013808,,John Wade Groundworks Ltd,,,21/10/2025,,"2,744.06"
ENVS - Environmental Services,,CAF - CVMU,,Parts,,,1,,CRINV0013829,,Dennis Eagle Limited,,,21/10/2025,,477.23
REGN - Regeneration & Housing,,FAB - Facilities,,Retention Fee,,,1,,CRINV0013850,,AJ Developments (NW) LTD,,,21/10/2025,,"1,075.50"
RESO - Resources,,AAB - Benefits & Customer Contact,,Agency Staff - w/e 21.09.25,,,1,,CRINV0013859,,Venn Group Limited,,,21/10/2025,,"1,209.18"
ENVS - Environmental Services,,CAC - Parks & Cemeteries,,Temp staff w/e 28.9.25,,,1,,CRINV0013914,,Rapid Recruitment Ltd,,,21/10/2025,,482.41
LEGL - Legal & Democratic,,DAB - Human Resources,,3 Day FAW Conference 13-15 October 25,,,1,,CRINV0013969,,ABC North West Ltd,,,21/10/2025,,480.00
RESO - Resources,,AAF - Finance,,Service Contract 28.09.25 - 27.09.2026,,,1,,CRINV0013976,,Pitney Bowes Ltd,,,21/10/2025,,"1,761.67"
ENVS - Environmental Services,,CAE - Waste Services,,Temp staff w/e 28.9.25,,,1,,CRINV0014080,,Rapid Recruitment Ltd,,,21/10/2025,,525.70
ENVS - Environmental Services,,CAE - Waste Services,,Temp staff w/e 28.9.25,,,2,,CRINV0014080,,Rapid Recruitment Ltd,,,21/10/2025,,"1,305.40"
ENVS - Environmental Services,,CAE - Waste Services,,Temp staff w/e 28.9.25,,,3,,CRINV0014080,,Rapid Recruitment Ltd,,,21/10/2025,,785.88
ENVS - Environmental Services,,CAD - Town Centre & Markets,,rates recharge,,,1,,CRINV0014130,,On Tower Uk,,,21/10/2025,,"2,878.82"
ENVS - Environmental Services,,CAD - Town Centre & Markets,,Funding the H3 Event,,,1,,CRINV0014146,,Rotary Club Of Church & Oswaldtwistle,,,21/10/2025,,"1,000.00"
ENVS - Environmental Services,,CAA - Environmental Maintenance,,Professional charges - Market hall,,,1,,CRINV0014149,,Womble Bond Dickinson (Uk) LLP,,,21/10/2025,,991.44
ENVS - Environmental Services,,CAA - Environmental Maintenance,,Professional charges - Acc Market Hall,,,2,,CRINV0014149,,Womble Bond Dickinson (Uk) LLP,,,21/10/2025,,991.44
REGN - Regeneration & Housing,,FAD - Housing Advice,,Accommodation,,,1,,CRINV0014177,,Hill View (Private) Hotel,,,21/10/2025,,980.00
REGN - Regeneration & Housing,,FAD - Housing Advice,,Accommodation,,,1,,CRINV0014179,,Hill View (Private) Hotel,,,21/10/2025,,560.00
REGN - Regeneration & Housing,,FAD - Housing Advice,,Accommodation,,,1,,CRINV0014180,,Hill View (Private) Hotel,,,21/10/2025,,840.00
REGN - Regeneration & Housing,,FAD - Housing Advice,,Rent Deposit,,,1,,CRINV0014191,,Rent UK Services,,,21/10/2025,,"3,093.31"
REGN - Regeneration & Housing,,FAD - Housing Advice,,Agency Costs PE: 31-Aug-2025,,,1,,CRINV0014312,,Vivid Resourcing,,,21/10/2025,,"1,368.00"
REGN - Regeneration & Housing,,FAB - Facilities,,Second interim payment for works carried out,,,1,,CRINV0014351,,Greenable Construction Ltd,,,21/10/2025,,"12,000.00"
PLAN - Planning & Transportation,,EAD - Planning,,"Software Licences: Planning Explorer 
£1,500.00 NEC Document Management- Public Access - £1,000.00 . Support & Maintenance - £12,500.00 ASSURE
Planning ASSURE Building Control ASSURE NEC",,,1,,CRPOI0013683,,Nec Software Solutions Uk Ltd,,,21/10/2025,,"20,400.00"
ENVS - Environmental Services,,CAC - Parks & Cemeteries,,1 X Notch Rope Runner Pro for use on 11-13mm rope ,,,1,,CRPOI0013760,,Dick Leigh LLP,,,21/10/2025,,381.90
ENVS - Environmental Services,,CAC - Parks & Cemeteries,,"1 X Notch Rope Runner Pro Teal, for use on 11-13mm rope ",,,2,,CRPOI0013760,,Dick Leigh LLP,,,21/10/2025,,382.19
ENVS - Environmental Services,,CAC - Parks & Cemeteries,,2 X DMM Triple attach pulley ,,,3,,CRPOI0013760,,Dick Leigh LLP,,,21/10/2025,,93.46
ENVS - Environmental Services,,CAC - Parks & Cemeteries,,2 X Eye to eye Prusic Hitch 8mm x 75mm ,,,4,,CRPOI0013760,,Dick Leigh LLP,,,21/10/2025,,38.85
ENVS - Environmental Services,,CAC - Parks & Cemeteries,,2 X Electric Hedge Cutter ,,,1,,CRPOI0013761,,Dick Leigh LLP,,,21/10/2025,,986.04
ENVS - Environmental Services,,CAC - Parks & Cemeteries,,2 X  Backpack Blower ,,,2,,CRPOI0013761,,Dick Leigh LLP,,,21/10/2025,,"1,041.00"
RESO - Resources,,AAF - Finance,,Budget Monitoring Course,,,1,,CRPOI0013785,,CIPFA Business Limited,,,21/10/2025,,450.00
REGN - Regeneration & Housing,,FAB - Facilities,,"Recommended repair works 
Asset 004809 Door 1 - Remove and dispose of 6 x damaged roller shutter curtain lath sections 
Re align and re endlock the curtain where needed , test door and leave in working order

Asset 0048",,,1,,CRPOI0013789,,Roller Shutter Services Ltd,,,21/10/2025,,"1,173.60"
ENVS - Environmental Services,,CAC - Parks & Cemeteries,,4 X GroundGuards ProMat 2.4m x 1.2m x 12mm ,,,1,,CRPOI0013800,,Ground Guards Limited,,,21/10/2025,,432.00
ENVS - Environmental Services,,CAC - Parks & Cemeteries,,Transport Costs,,,2,,CRPOI0013800,,Ground Guards Limited,,,21/10/2025,,116.40
ENVS - Environmental Services,,CAE - Waste Services,,"100 X 140 Blue Bins (0805) body and lid, logo to front of bin in white & logo to lid ",,,1,,CRPOI0013897,,Contenur Uk Limited,,,21/10/2025,,"1,987.20"
RESO - Resources,,AAB - Benefits & Customer Contact,,NNDR3 Software charges,,,1,,CRPOI0014001,,MRI Software Ltd,,,21/10/2025,,"7,247.74"
PLAN - Planning & Transportation,,EAC - Green Infrastructure,,"Grassland management works at Pleck Meadow, Spouthouse, Jackhouse, Jubilee and King George V/Royds Street.",,,1,,CRPOI0014054,,Intake Management Solutions,,,21/10/2025,,"3,984.00"
PLAN - Planning & Transportation,,EAD - Planning,,Agency Costs Period Ending: 28-Sep-2025,,,1,,CRINV0013795,,Vivid Resourcing,,,23/10/2025,,"2,160.00"
REGN - Regeneration & Housing,,FAD - Housing Advice,,Agency Costs PE: 28-Sep-2025,,,1,,CRINV0013796,,Vivid Resourcing,,,23/10/2025,,"1,710.00"
PLAN - Planning & Transportation,,EAC - Green Infrastructure,,"Strimming/Brushcutting at Brookside, Oswaldtwistle",,,1,,CRINV0013797,,Woody (Hyndburn) C I C,,,23/10/2025,,350.00
RESO - Resources,,AAB - Benefits & Customer Contact,,Interim Professional Charges,,,1,,CRINV0013823,,Greenhalgh Kerr,,,23/10/2025,,"2,370.00"
ENVH - Environmental Health,,BAB - Environmental Protection,,Agency Costs P/E 28-Sep-2025,,,1,,CRINV0013832,,Vivid Resourcing,,,23/10/2025,,520.69
ENVS - Environmental Services,,CAC - Parks & Cemeteries,,"Music Tributes, Slideshows, Streaming Services",,,1,,CRINV0013856,,Obitus (Vivedia Ltd),,,23/10/2025,,"1,906.80"
ENVH - Environmental Health,,BAA - Housing Standards,,Partnership funding for Op Nightingale,,,1,,CRINV0013880,,Office of the Police and Crime Commissioner,,,23/10/2025,,"5,000.00"
RESO - Resources,,AAB - Benefits & Customer Contact,,VAT on fees collected,,,1,,CRINV0013884,,Marston (Holdings) Ltd,,,23/10/2025,,"2,689.42"
LEGL - Legal & Democratic,,DAB - Human Resources,,Recruitment Advertising,,,1,,CRINV0013900,,Haymarket Media Group Ltd,,,23/10/2025,,"1,050.00"
ENVS - Environmental Services,,CAB - Other Environmental Services,,Willows Lane - August 25,,,1,,CRINV0013911,,ServiceMaster Clean Contract Services AAA,,,23/10/2025,,488.45
RESO - Resources,,AAB - Benefits & Customer Contact,,Services Sep 25,,,1,,CRINV0013924,,Critiqom,,,23/10/2025,,141.58
RESO - Resources,,AAB - Benefits & Customer Contact,,Services Sep 25,,,2,,CRINV0013924,,Critiqom,,,23/10/2025,,360.00
RESO - Resources,,AAE - Residual Leisure,,Agreed Contributions to provisions of use of Armed Forces Period - July/Aug/Sept 25,,,1,,CRINV0013930,,Hyndburn Leisure,,,23/10/2025,,"1,042.68"
RESO - Resources,,AAE - Residual Leisure,,Agreed Contributions to Provisions of LP Induction Period - July/Aug/Sept 25,,,1,,CRINV0013931,,Hyndburn Leisure,,,23/10/2025,,432.00
RESO - Resources,,AAE - Residual Leisure,,Agreed Contributions Towards Holiday Swims Period Q2 - July/Aug/Sept 25,,,1,,CRINV0013932,,Hyndburn Leisure,,,23/10/2025,,"3,258.00"
PLAN - Planning & Transportation,,EAD - Planning,,Agency staff - Week 46 - 22.09-26.09.25,,,1,,CRINV0013958,,Confido Consult Ltd,,,23/10/2025,,"3,878.70"
REGN - Regeneration & Housing,,FAB - Facilities,,ERG fees to end of Sept 25,,,1,,CRINV0013993,,Hyndburn Homewise Society Limited,,,23/10/2025,,"2,247.05"
LEGL - Legal & Democratic,,DAB - Human Resources,,Removing vinyls and signage,,,1,,CRINV0014039,,Media Village,,,23/10/2025,,"1,164.00"
REGN - Regeneration & Housing,,FAB - Facilities,,alarm responses at WL,,,1,,CRINV0014050,,Keyplus Security Ltd,,,23/10/2025,,287.32
REGN - Regeneration & Housing,,FAB - Facilities,,alarm responses for RSVC,,,1,,CRINV0014051,,Keyplus Security Ltd,,,23/10/2025,,265.20
REGN - Regeneration & Housing,,FAB - Facilities,,Alarm responses at CVMU,,,1,,CRINV0014052,,Keyplus Security Ltd,,,23/10/2025,,486.23
RESO - Resources,,AAB - Benefits & Customer Contact,,Recharge - Cleaning Materials Broadway Offices - Q2 July/Aug/Sept 25,,,1,,CRINV0014067,,Hyndburn Leisure,,,23/10/2025,,280.97
RESO - Resources,,AAB - Benefits & Customer Contact,,Elec Charges - Broadway Offices - Sept 25,,,1,,CRINV0014072,,Hyndburn Leisure,,,23/10/2025,,"1,334.32"
RESO - Resources,,AAB - Benefits & Customer Contact,,Gas Charges - Broadway Offices - Sept 25,,,2,,CRINV0014072,,Hyndburn Leisure,,,23/10/2025,,144.04
RESO - Resources,,AAB - Benefits & Customer Contact,,Water Charges - Broadway Offices - Sept 25,,,3,,CRINV0014072,,Hyndburn Leisure,,,23/10/2025,,44.20
ENVS - Environmental Services,,CAB - Other Environmental Services,,Vehicle Hire - 29.09.25 ,,,1,,CRINV0014091,,Stanley Brothers (Tippers) Ltd,,,23/10/2025,,744.00
LEGL - Legal & Democratic,,DAB - Human Resources,,cost management services,,,1,,CRINV0014126,,Rihbell Ltd,,,23/10/2025,,"4,800.00"
ENVS - Environmental Services,,CAB - Other Environmental Services,,Kenneling charges - Sept 25,,,1,,CRINV0014139,,Aspen Valley Boarding Kennels & Cattery,,,23/10/2025,,"2,105.80"
ENVS - Environmental Services,,CAE - Waste Services,,Landfill tax - Sept 25,,,1,,CRINV0014140,,Suez Recycling And Recovery Uk Ltd,,,23/10/2025,,"2,930.17"
ENVS - Environmental Services,,CAE - Waste Services,,Landfill Tax - Sept 25,,,2,,CRINV0014140,,Suez Recycling And Recovery Uk Ltd,,,23/10/2025,,"13,475.87"
ENVS - Environmental Services,,CAD - Town Centre & Markets,,TM for soapbox challenge,,,1,,CRINV0014143,,Kays Highways Ltd,,,23/10/2025,,"3,246.16"
ENVS - Environmental Services,,CAA - Environmental Maintenance,,Sept 25 - Acc Town Square- phase 2,,,1,,CRINV0014162,,Ma Cost Consulting Limited,,,23/10/2025,,"1,950.00"
ENVS - Environmental Services,,CAA - Environmental Maintenance,,Sept 25 Fees - Acc Town Sqaure - phase 2,,,2,,CRINV0014162,,Ma Cost Consulting Limited,,,23/10/2025,,"1,950.00"
REGN - Regeneration & Housing,,FAA - Economic Development,,UKSPF Business Support Grant 2025-26,,,1,,CRINV0014234,,Best Destinations Ltd,,,23/10/2025,,"5,000.00"
ENVS - Environmental Services,,CAF - CVMU,,Tyre Repairs & Tyres,,,1,,CRINV0014265,,Rossendale Vulcanising (Sales Ltd),,,23/10/2025,,"6,859.20"
ENVS - Environmental Services,,CAC - Parks & Cemeteries,,Water charges 10/09/25 - 09/10/25,,,1,,CRINV0014304,,Water Plus - 4082158321 Park Entrance Peel Park Av,,,23/10/2025,,310.09
RESO - Resources,,AAF - Finance,,Staff 12.10.25,,,1,,CRINV0014315,,Macdonald & Company,,,23/10/2025,,861.00
RESO - Resources,,AAF - Finance,,Staff 12.10.25,,,2,,CRINV0014315,,Macdonald & Company,,,23/10/2025,,861.00
ENVS - Environmental Services,,CAA - Environmental Maintenance,,Artwork and print production costs,,,1,,CRINV0014316,,Scott Dawson Advertising Ltd,,,23/10/2025,,264.00
ENVS - Environmental Services,,CAA - Environmental Maintenance,,Artwork and print production costs,,,2,,CRINV0014316,,Scott Dawson Advertising Ltd,,,23/10/2025,,264.00
