Service Cost Centre,Account Detail,Description,HBC ref no,Name,Payment date,Net Amount(œ)
CUSTOMER SERVICES,AGENCY STAFF,STAFF W/E 13.12.20,B000021501/46341,MORGAN HUNT UK LTD,21-Dec-20,803.4
CUSTOMER SERVICES,AGENCY STAFF,STAFF W/E 13.12.20,B000021498/55150,VENN GROUP LIMITED,21-Dec-20,879.25
CUSTOMER SERVICES,AGENCY STAFF,STAFF W/E 13.12.20,B000021501/46341,MORGAN HUNT UK LTD,21-Dec-20,884.58
ACC TOWN HALL,CLEANING OF BUILDINGS,CLEANING BROADWAY DEC 20,B000021501/29112,HYNDBURN LEISURE,21-Dec-20,936
CORPORATE PROPERTY,ASSET MAINT R&M,ASBESTOS SURVEY,B000021498/59301,CONSULTANTS & SPEC SURVEYORS LTD,21-Dec-20,950
HOUSING BENEFIT ADMINISTRATION,AGENCY STAFF,STAFF W/E 13.12.20,B000021501/33923,EDEN BROWN LIMITED,21-Dec-20,1010.1
HAWORTH ART GALLERY,ASSET MAINT R&M,HAWORTH AG - WATER RA IMPROVEMENT WORKS,B000021500/57133,INTERSERVE FS (UK) LTD,21-Dec-20,1216.15
HOUSING ADVICE,AGENCY STAFF,AGENCY STAFF P/E 13.12.20,B000021501/61860,VIVID RESOURCING,21-Dec-20,1261.67
LEISURE IN HYNDBURN,LEISURE TRUST MANAGEMENT FEE,RECHARGE CLAYTON CIVIC,B000021497/29112,HYNDBURN LEISURE,21-Dec-20,1600
MARKETS - OPERATIONS,ELECTRICITY,ACC MARKET OCT 20,B000021495/59343,EDF ENERGY,21-Dec-20,2428.81
DFG Affordable Warmth Grant,CONTRACTOR OTHER,NEW HEATING SYSTEM,B000021500/64557,HARRIS HEATING (NW) LTD,21-Dec-20,2670
Electical works various,CONTRACTOR OTHER,WILLOWS LANE WIRING,B000021498/60330,CALBARRIE COMPLIANCE SERVICES,21-Dec-20,3255
SCAITCLIFFE HOUSE,ELECTRICITY,SCAITCLIFFE OCT 20,B000021495/59343,EDF ENERGY,21-Dec-20,3994.97
SCAITCLIFFE HOUSE,ELECTRICITY,SCAITCLIFFE NOV 20,B000021495/59343,EDF ENERGY,21-Dec-20,3998
DISABLED FACILITIES GENERAL,CONTRACTOR OTHER,DISABLED FACILITIES GRANT,B000021498/30178,B3P SERVICES LTD,21-Dec-20,6168
DISABLED FACILITIES GENERAL,CONTRACTOR OTHER,DISABLED FACILITIES GRANT,B000021498/30178,B3P SERVICES LTD,21-Dec-20,7772
DISABLED FACILITIES GENERAL,CONTRACTOR OTHER,DISABLED FACILITIES GRANT,B000021500/993,COOKSON BUILDERS LTD,21-Dec-20,14994
MAINT. OF H'WAYS & CYCLEWAYS,WORK DONE DLO-HIGHWAYS,WHITE ASH BRIDGE,B000021498/52330,JOHN WADE GROUNDWORKS LTD,21-Dec-20,23931.68
LIBRARY ST DEPOT,GENERAL REPAIR & MAINT BLDGS,WRC,B000021501/52330,JOHN WADE GROUNDWORKS LTD,21-Dec-20,40499.66
GYPSY SITE,RENT AND HIRE OF PREMISES,SEPT- DEC 20,B000021502/45458,GLOSSOP CARAVANS LTD,22-Dec-20,7260
P & C G,CENTRAL ADMIN,STATIONERY,P-CARD - DEC 20,OFFICE DEPOT,17-Nov-20,395.41
ENVIRONMENTAL SERVICES,CVMU,ROAD TAX,P-CARD - DEC 20,DVLA,18-Nov-20,267.50
P & C G,CENTRAL ADMIN,SUBSCRIPTIONS,P-CARD - DEC 20,THE LAW SOCIETY,19-Nov-20,328.00
P & C G,CENTRAL ADMIN,EYE CARE VOUCEHRS,P-CARD - DEC 20,EDENRED,25-Nov-20,756.75
P & C G,HR,TRAINING,P-CARD - DEC 20,LOW COST LEARNING,26-Nov-20,695.00
ENVIRONMENTAL SERVICES,CVMU,ROAD TAX,P-CARD - DEC 20,DVLA,10-Dec-20,267.50
BANK CHARGES,SECURITY SERVICE,G4S JUNE-NOVEMBER,33565,G4S CASH SOLUTIONS,15-Dec-20,280.46
BANK CHARGES,BANK CHARGES,STREAMLINE,33574,WORLDPAY,21-Dec-20,1060.08
BANK CHARGES,BANK CHARGES,STREAMLINE,33574,WORLDPAY,21-Dec-20,1390.84
BANK CHARGES,BANK CHARGES,STREAMLINE,33574,WORLDPAY,21-Dec-20,623.60
BANK CHARGES,BANK CHARGES,STREAMLINE,33574,WORLDPAY,21-Dec-20,588.61
HOUSING BENEFIT ADMIN,SWIPE CARDS,NOVEMBER,33577,ALLPAY.NET LTD,29-Dec-20,1177.93
BANK CHARGES,BANK CHARGES,ON GROUP,33577,ON GROUP BANK CHARGES 31.12.20,31-Dec-20,3303.39
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
