Department Area,,Service Area,,Description,,,Line,,HBC Ref No.,,Name:  ,,,Payment Date,,Amount Paid
ENVS - Environmental Services,,CAC - Parks & Cemeteries,,Charges - 03.05.25 - 02.06.25,,,1,,CRINV0011239,,Water Plus - 6002491027 White Ash Playing Fields,,,10/06/2025,,379.57
ENVS - Environmental Services,,CAD - Town Centre & Markets,,Late Payment Fee,,,1,,CRINV0011244,,Water Plus - 4078336520 Public Conv Acc Market,,,10/06/2025,,40.00
ENVS - Environmental Services,,CAD - Town Centre & Markets,,Charges - 06.05.25 - 05.06.25,,,2,,CRINV0011244,,Water Plus - 4078336520 Public Conv Acc Market,,,10/06/2025,,882.67
ENVS - Environmental Services,,CAA - Environmental Maintenance,,Planning Inspectorate Cost - Final Market Chamber CPO,,,1,,CRINV0011252,,The planning Inspectorate,,,10/06/2025,,"3,641.40"
ENVS - Environmental Services,,CAA - Environmental Maintenance,,Professional Services - re - Acc Town Centre Regen,,,1,,CRINV0011259,,Ma Cost Consulting Limited,,,10/06/2025,,"4,590.00"
ENVS - Environmental Services,,CAA - Environmental Maintenance,,Professional Services - re - Accrington Town Centre Regen.,,,2,,CRINV0011259,,Ma Cost Consulting Limited,,,10/06/2025,,"4,590.00"
ENVS - Environmental Services,,CAA - Environmental Maintenance,,Professional Services - re Accrington Town Centre Regen,,,3,,CRINV0011259,,Ma Cost Consulting Limited,,,10/06/2025,,"4,590.00"
PLAN - Planning & Transportation,,EAD - Planning,,Press notice,,,1,,CRPOI0010697,,People Scout Limited,,,10/06/2025,,422.21
ENVS - Environmental Services,,CAC - Parks & Cemeteries,,Provide resurfacing and path repairs including new gulleys ,,,1,,CRPOI0010698,,John Wade Groundworks Ltd,,,10/06/2025,,"8,118.84"
REGN - Regeneration & Housing,,FAB - Facilities,,Supply and install a new bottom pivoton the main building reception door,,,1,,CRPOI0010703,,Automatic Door Company,,,10/06/2025,,618.00
ENVS - Environmental Services,,CAC - Parks & Cemeteries,,540 X 60ltr bags of well-rotted farm manure ,,,1,,CRPOI0010731,,Origin Amenity Solutions,,,10/06/2025,,"3,304.80"
REGN - Regeneration & Housing,,FAB - Facilities,,Haworth Art Gallery - replacement vessel and 3 port mixing valve,,,1,,CRPOI0010754,,Lancashire Gas Services,,,10/06/2025,,"2,673.00"
ENVS - Environmental Services,,CAC - Parks & Cemeteries,,2 X size 9 safety boots ,,,1,,CRPOI0010834,,"Bubbles, Brushes & Wiper Co Ltd",,,10/06/2025,,104.81
ENVS - Environmental Services,,CAC - Parks & Cemeteries,,2 X size 11 safety boots ,,,2,,CRPOI0010834,,"Bubbles, Brushes & Wiper Co Ltd",,,10/06/2025,,104.81
ENVS - Environmental Services,,CAC - Parks & Cemeteries,,2 X size 6 safety boots ,,,3,,CRPOI0010834,,"Bubbles, Brushes & Wiper Co Ltd",,,10/06/2025,,104.81
ENVS - Environmental Services,,CAC - Parks & Cemeteries,,2 X size 10 safety boots ,,,4,,CRPOI0010834,,"Bubbles, Brushes & Wiper Co Ltd",,,10/06/2025,,104.81
ENVS - Environmental Services,,CAC - Parks & Cemeteries,,13 X hoodies in blue,,,5,,CRPOI0010834,,"Bubbles, Brushes & Wiper Co Ltd",,,10/06/2025,,179.24
ENVS - Environmental Services,,CAC - Parks & Cemeteries,,5 X xl hoodies in blue ,,,6,,CRPOI0010834,,"Bubbles, Brushes & Wiper Co Ltd",,,10/06/2025,,68.94
ENVS - Environmental Services,,CAC - Parks & Cemeteries,,5 X medium hoodies in blue ,,,7,,CRPOI0010834,,"Bubbles, Brushes & Wiper Co Ltd",,,10/06/2025,,68.94
ENVS - Environmental Services,,CAC - Parks & Cemeteries,,5 X large blue t-shirts ,,,8,,CRPOI0010834,,"Bubbles, Brushes & Wiper Co Ltd",,,10/06/2025,,35.94
ENVS - Environmental Services,,CAC - Parks & Cemeteries,,5 X 34 waist shorts in blue,,,9,,CRPOI0010834,,"Bubbles, Brushes & Wiper Co Ltd",,,10/06/2025,,107.70
ENVS - Environmental Services,,CAC - Parks & Cemeteries,,5 X 36 waist shorts in blue ,,,10,,CRPOI0010834,,"Bubbles, Brushes & Wiper Co Ltd",,,10/06/2025,,64.62
ENVS - Environmental Services,,CAC - Parks & Cemeteries,,5 X 36 waist pants in blue ,,,11,,CRPOI0010834,,"Bubbles, Brushes & Wiper Co Ltd",,,10/06/2025,,117.18
ENVS - Environmental Services,,CAC - Parks & Cemeteries,,2 X boxes of safety glasses (12 pairs),,,12,,CRPOI0010834,,"Bubbles, Brushes & Wiper Co Ltd",,,10/06/2025,,56.16
ENVS - Environmental Services,,CAC - Parks & Cemeteries,,20 X packs of grey nitrate gloves,,,13,,CRPOI0010834,,"Bubbles, Brushes & Wiper Co Ltd",,,10/06/2025,,194.40
ENVS - Environmental Services,,CAC - Parks & Cemeteries,,9 X ear defenders ,,,14,,CRPOI0010834,,"Bubbles, Brushes & Wiper Co Ltd",,,10/06/2025,,215.67
ENVS - Environmental Services,,CAC - Parks & Cemeteries,,4 X boxes of disposable gloves ,,,15,,CRPOI0010834,,"Bubbles, Brushes & Wiper Co Ltd",,,10/06/2025,,14.16
REGN - Regeneration & Housing,,FAG - Regeneration,,Temp staff,,,1,,CRPOI0010934,,Vivid Resourcing,,,10/06/2025,,"8,400.00"
ENVS - Environmental Services,,CAC - Parks & Cemeteries,,Provide lighting upgrade to Game Street car park ,,,1,,CRPOI0011143,,Lighting And Building Services Ltd,,,10/06/2025,,"1,530.00"
ENVS - Environmental Services,,CAC - Parks & Cemeteries,,Make an electrical connection to an existing feeder pillar,,,1,,CRPOI0011207,,Lancashire County Council,,,10/06/2025,,960.00
LEGL - Legal & Democratic,,DAB - Human Resources,,LGA Annual Conference and Exhibition 2025,,,1,,CRPOI0011249,,Local Government Association,,,10/06/2025,,693.60
LEGL - Legal & Democratic,,DAK - Community Safety,,Contribution to the domestic abuse element of the OPPC Victims Contract,,,1,,CRPOI0011251,,Office of the Police and Crime Commissioner,,,10/06/2025,,"9,478.00"
ENVS - Environmental Services,,CAF - CVMU,,Filter Service,,,1,,CRINV0010736,,Lancashire Leyland Daf Ltd,,,12/06/2025,,325.20
REGN - Regeneration & Housing,,FAD - Housing Advice,,Agency staff - w/e 18.05.25,,,1,,CRINV0010752,,Vivid Resourcing,,,12/06/2025,,"1,710.00"
ENVH - Environmental Health,,BAB - Environmental Protection,,Agency Costs Period Ending 11/05/2025,,,1,,CRINV0010764,,Vivid Resourcing,,,12/06/2025,,788.14
PLAN - Planning & Transportation,,EAD - Planning,,Agency Costs Period Ending: 18/05/2025,,,1,,CRINV0010765,,Vivid Resourcing,,,12/06/2025,,"2,160.00"
LEGL - Legal & Democratic,,DAB - Human Resources,,Job Advertising ,,,1,,CRINV0010773,,Local Government Lawyer,,,12/06/2025,,714.00
RESO - Resources,,AAF - Finance,,Hardware Lease 20-06-2025 - 19-09-2025,,,1,,CRINV0010774,,Siemens Financial Services Ltd,,,12/06/2025,,"3,700.00"
RESO - Resources,,AAF - Finance,,Hardware Lease 20-06-2025 - 19-09-2025,,,2,,CRINV0010774,,Siemens Financial Services Ltd,,,12/06/2025,,200.00
RESO - Resources,,AAF - Finance,,Hardware Lease 20-06-2025 - 19-09-2025,,,3,,CRINV0010774,,Siemens Financial Services Ltd,,,12/06/2025,,600.00
REGN - Regeneration & Housing,,FAB - Facilities,,Deep Clean,,,1,,CRINV0010775,,ServiceMaster Clean Contract Services AAA,,,12/06/2025,,298.80
REGN - Regeneration & Housing,,FAB - Facilities,,Deep cleaning 30/04/2025,,,1,,CRINV0010776,,ServiceMaster Clean Contract Services AAA,,,12/06/2025,,238.80
REGN - Regeneration & Housing,,FAB - Facilities,,Deep cleaning 30/04/2025,,,2,,CRINV0010776,,ServiceMaster Clean Contract Services AAA,,,12/06/2025,,238.80
LEGL - Legal & Democratic,,DAB - Human Resources,,General design - 19.05.25,,,1,,CRINV0010787,,Brands Inside Out Limited,,,12/06/2025,,420.00
PLAN - Planning & Transportation,,EAD - Planning,,Agency staff - w/c 12.05.25,,,1,,CRINV0010815,,Oyster Partnership,,,12/06/2025,,"2,647.90"
ENVS - Environmental Services,,CAF - CVMU,,Agency staff - w.c 12.05.25,,,1,,CRINV0010818,,Proactive Personnel Ltd,,,12/06/2025,,"1,800.00"
PLAN - Planning & Transportation,,EAD - Planning,,Agency staff - p/e 13.04.25,,,1,,CRINV0010839,,Carrington West Limited,,,12/06/2025,,"1,568.26"
PLAN - Planning & Transportation,,EAD - Planning,,Agency staff - p/e 20.04.25,,,1,,CRINV0010841,,Carrington West Limited,,,12/06/2025,,313.66
PLAN - Planning & Transportation,,EAD - Planning,,Agency staff - p/e 27.04.25,,,1,,CRINV0010842,,Carrington West Limited,,,12/06/2025,,"1,254.60"
PLAN - Planning & Transportation,,EAD - Planning,,Agency staff - p/e 04.05.25,,,1,,CRINV0010843,,Carrington West Limited,,,12/06/2025,,"1,568.26"
PLAN - Planning & Transportation,,EAD - Planning,,Staff 11.05.25,,,1,,CRINV0010848,,Carrington West Limited,,,12/06/2025,,"1,254.60"
ENVS - Environmental Services,,CAF - CVMU,,Air filter,,,1,,CRINV0010853,,Pennine Pneumatic Services Ltd,,,12/06/2025,,387.34
PLAN - Planning & Transportation,,EAD - Planning,,Biodiversity training day,,,1,,CRINV0010854,,Tyrer Ecological Consultants Ltd,,,12/06/2025,,"1,380.00"
PLAN - Planning & Transportation,,EAD - Planning,,Agency staff - p/e 18.05.25,,,1,,CRINV0010857,,Carrington West Limited,,,12/06/2025,,"1,568.26"
PLAN - Planning & Transportation,,EAD - Planning,,Agency staff - p/e 06.04.25,,,1,,CRINV0010858,,Carrington West Limited,,,12/06/2025,,"1,568.26"
ENVS - Environmental Services,,CAF - CVMU,,Parts,,,1,,CRINV0010860,,JDS Trucks Ltd,,,12/06/2025,,661.54
ENVS - Environmental Services,,CAF - CVMU,,XB Filter Service,,,1,,CRINV0010861,,Lancashire Leyland Daf Ltd,,,12/06/2025,,325.20
ENVS - Environmental Services,,CAC - Parks & Cemeteries,,Bench - Baxenden,,,1,,CRINV0010864,,Ark Plastics Ltd,,,12/06/2025,,918.00
ENVS - Environmental Services,,CAB - Other Environmental Services,,Vehicle Hire - 15.05.25,,,1,,CRINV0010871,,Stanley Brothers (Tippers) Ltd,,,12/06/2025,,744.00
ENVH - Environmental Health,,BAA - Housing Standards,,Agency staff - w/c 12.05.25,,,1,,CRINV0010872,,Oyster Partnership,,,12/06/2025,,"1,263.60"
LEGL - Legal & Democratic,,DAD - Management Legal & Dem,,Searches - April 2025,,,1,,CRINV0010873,,Lancashire County Council,,,12/06/2025,,475.20
PLAN - Planning & Transportation,,EAD - Planning,,Agency staff - Week 29 - 12.05.25 - 16.05.25,,,1,,CRINV0010881,,Confido Consult Ltd,,,12/06/2025,,"3,796.38"
PLAN - Planning & Transportation,,EAD - Planning,,Agency staff - w/e 25.05.25,,,1,,CRINV0010924,,Vivid Resourcing,,,12/06/2025,,"2,160.00"
ENVH - Environmental Health,,BAB - Environmental Protection,,Agency staff - w/e 25.05.25,,,1,,CRINV0010933,,Vivid Resourcing,,,12/06/2025,,368.56
REGN - Regeneration & Housing,,FAD - Housing Advice,,Agency staff - w/e 25.05.25,,,1,,CRINV0010935,,Vivid Resourcing,,,12/06/2025,,"1,710.00"
RESO - Resources,,AAF - Finance,,Copier charges for period: 22.2.25 to 21.5.25,,,1,,CRINV0010943,,Canon (Uk) Ltd,,,12/06/2025,,290.29
ENVS - Environmental Services,,CAF - CVMU,,Subscription 2025,,,1,,CRINV0010945,,Freight Transport Association,,,12/06/2025,,"1,320.00"
ENVS - Environmental Services,,CAF - CVMU,,Mirror glass & Mud flap,,,1,,CRINV0010947,,Dennis Eagle Limited,,,12/06/2025,,305.71
PLAN - Planning & Transportation,,EAC - Green Infrastructure,,Climate Action fund project at Brookside,,,1,,CRINV0010952,,Lancashire Wildlife Trust,,,12/06/2025,,"7,690.80"
PLAN - Planning & Transportation,,EAB - Engineers & Transportation,,Work at Jubille Gardens,,,1,,CRINV0010969,,Sterling Construction (Services) Ltd,,,12/06/2025,,348.00
RESO - Resources,,AAB - Benefits & Customer Contact,,Temp staff w/e 18.5.25,,,1,,CRINV0010970,,Venn Group Limited,,,12/06/2025,,"1,278.28"
ENVS - Environmental Services,,CAB - Other Environmental Services,,Vehicle Hire 20.05.25,,,1,,CRINV0010999,,Stanley Brothers (Tippers) Ltd,,,12/06/2025,,744.00
ENVS - Environmental Services,,CAC - Parks & Cemeteries,,Agency Staff - w/c 12.05.25,,,1,,CRINV0011017,,Proman Supply Chain Ltd,,,12/06/2025,,"2,869.11"
PLAN - Planning & Transportation,,EAD - Planning,,Agency staff - Week 30 - 19.05 - 23.05.25,,,1,,CRINV0011044,,Confido Consult Ltd,,,12/06/2025,,"2,336.94"
ENVS - Environmental Services,,CAF - CVMU,,Oxygen,,,1,,CRINV0011098,,British Oxygen Co Ltd,,,12/06/2025,,569.04
PLAN - Planning & Transportation,,EAD - Planning,,Agency staff - w/e 25.05.25,,,1,,CRINV0011114,,Macdonald & Company,,,12/06/2025,,"1,434.99"
PLAN - Planning & Transportation,,EAD - Planning,,Agency staff - w/e 01.06.25,,,2,,CRINV0011114,,Macdonald & Company,,,12/06/2025,,"1,435.00"
ENVS - Environmental Services,,CAC - Parks & Cemeteries,,Gully Cleaning and Report,,,1,,CRINV0011122,,L D Dirt Warriors Ltd,,,12/06/2025,,700.00
ENVS - Environmental Services,,CAB - Other Environmental Services,,Vehicle Hire - 27.05.25,,,1,,CRINV0011144,,Stanley Brothers (Tippers) Ltd,,,12/06/2025,,744.00
ENVS - Environmental Services,,CAE - Waste Services,,Agency staff - w/e 25.05.25,,,1,,CRINV0011147,,Rapid Recruitment Ltd,,,12/06/2025,,662.83
ENVS - Environmental Services,,CAB - Other Environmental Services,,Additional clean Apr 25 Willows Lane,,,1,,CRINV0011184,,ServiceMaster Clean Contract Services AAA,,,12/06/2025,,305.28
ENVS - Environmental Services,,CAC - Parks & Cemeteries,,Agency staff - w/e 25.05.25,,,1,,CRINV0011199,,Rapid Recruitment Ltd,,,12/06/2025,,"1,608.05"
RESO - Resources,,AAG - Management Resources,,Excess Payment,,,1,,CRINV0011245,,Protector Insurance,,,12/06/2025,,"19,842.10"
RESO - Resources,,AAG - Management Resources,,Lease / Service Rental,,,1,,CRINV0011246,,Lex Autolease Ltd,,,12/06/2025,,369.83
RESO - Resources,,AAG - Management Resources,,Lease / Service Rental,,,2,,CRINV0011246,,Lex Autolease Ltd,,,12/06/2025,,369.81
RESO - Resources,,AAG - Management Resources,,Lease / Rental Charges,,,3,,CRINV0011246,,Lex Autolease Ltd,,,12/06/2025,,52.40
ENVS - Environmental Services,,CAA - Environmental Maintenance,,SCAPE NCF E&W - Accrington Town Square Payment 18,,,1,,CRINV0011250,,Morgan Sindall Construction & Infrastructure Ltd,,,12/06/2025,,"235,970.88"
ENVS - Environmental Services,,CAA - Environmental Maintenance,,SCAPE NCF E&W - Accrington Town Square Payment 18,,,2,,CRINV0011250,,Morgan Sindall Construction & Infrastructure Ltd,,,12/06/2025,,"70,289.20"
ENVS - Environmental Services,,CAA - Environmental Maintenance,,SCAPE NCF E&W - Accrington Town Square Payment 18,,,3,,CRINV0011250,,Morgan Sindall Construction & Infrastructure Ltd,,,12/06/2025,,"195,805.63"
PLAN - Planning & Transportation,,EAD - Planning,,Planning App Refund,,,1,,CRINV0011254,,Portal Plan Quest Ltd,,,12/06/2025,,"2,310.00"
RESO - Resources,,AAD - ICT,,Samsung A16 (128GB) x 3,,,1,,CRINV0011267,,Aspire Technology Solutions Limited,,,12/06/2025,,552.00
RESO - Resources,,AAD - ICT,,Charges - 01.04.25 - 31.08.25,,,1,,CRINV0011268,,British Telecommunications Plc,,,12/06/2025,,"1,803.25"
LEGL - Legal & Democratic,,DAA - Democratic Services,,31/05/2025 Flowers for Mayor Making,,,1,,CRINV0011271,,Victoria Flower Shop,,,12/06/2025,,"1,000.00"
ENVS - Environmental Services,,CAF - CVMU,,CVMU Staff 08.06.25,,,1,,CRINV0011289,,Autotech Recruit,,,12/06/2025,,"1,287.60"
LEGL - Legal & Democratic,,DAB - Human Resources,,General design work,,,1,,CRINV0011302,,Brands Inside Out Limited,,,12/06/2025,,600.00
RESO - Resources,,AAA - Assurance,,Licence fee for the National Anti Fraud Network for 01.04.2025 to 31.03.2026,,,1,,CRPOI0010173,,Tameside MBC,,,12/06/2025,,"2,070.00"
RESO - Resources,,AAF - Finance,,Agency Costs P/E 11.05.2025,,,1,,CRPOI0010564,,G2 Recruitment Solutions,,,12/06/2025,,"4,680.00"
REGN - Regeneration & Housing,,FAB - Facilities,,"General repairs, breakdown",,,1,,CRPOI0010830,,Affordable Bar & Catering Equipment Direct,,,12/06/2025,,318.00
REGN - Regeneration & Housing,,FAB - Facilities,,"General repairs, breakdown and callouts",,,1,,CRPOI0010836,,Affordable Bar & Catering Equipment Direct,,,12/06/2025,,462.00
REGN - Regeneration & Housing,,FAB - Facilities,,"Lift 1 (Foyer Broadway Entrance) - 3 Floor 
Electric Lift Ser: M708

1. Strip down motor gearbox and investigate cause of leaks
2. Rebuild system and reseal as required
(FURTHER COSTS MAY APPLY)",,,1,,CRPOI0010923,,R J Lift Services Ltd,,,12/06/2025,,"6,150.00"
ENVS - Environmental Services,,CAC - Parks & Cemeteries,,1 x Lider 42350 trailer c/w ramp tailgate ,,,1,,CRPOI0011050,,T H Motors,,,12/06/2025,,"1,805.00"
RESO - Resources,,AAF - Finance,,Temp staff,,,1,,CRPOI0011076,,G2 Recruitment Solutions,,,12/06/2025,,"5,850.00"
RESO - Resources,,AAF - Finance,,Temp staff,,,1,,CRPOI0011088,,G2 Recruitment Solutions,,,12/06/2025,,"5,850.00"
ENVS - Environmental Services,,CAE - Waste Services,,Willows Lane Stationary Order May 2025,,,1,,CRPOI0011234,,Paragon Customer Communications Limited,,,12/06/2025,,259.21
REGN - Regeneration & Housing,,FAB - Facilities,,Works,,,1,,CRINV0011255,,Greenable Construction Ltd,,,17/06/2025,,"3,260.00"
REGN - Regeneration & Housing,,FAD - Housing Advice,,Accomodation,,,1,,CRINV0011295,,Hill View (Private) Hotel,,,17/06/2025,,975.00
REGN - Regeneration & Housing,,FAD - Housing Advice,,Accommodation,,,1,,CRINV0011296,,Hill View (Private) Hotel,,,17/06/2025,,"1,287.00"
REGN - Regeneration & Housing,,FAD - Housing Advice,,Accommodation,,,1,,CRINV0011298,,Hill View (Private) Hotel,,,17/06/2025,,"1,044.00"
REGN - Regeneration & Housing,,FAD - Housing Advice,,Accommodation,,,1,,CRINV0011299,,Hill View (Private) Hotel,,,17/06/2025,,"1,157.00"
PLAN - Planning & Transportation,,EAC - Green Infrastructure,,Wildfire Poster Panels,,,1,,CRINV0011315,,Ellison Printing Co.,,,17/06/2025,,477.60
ENVH - Environmental Health,,BAA - Housing Standards,,Boarding and waste removal,,,1,,CRINV0011319,,Waste Busters Waste Removal,,,17/06/2025,,348.00
PLAN - Planning & Transportation,,EAA - Building Control,,Staff 06.06.25,,,1,,CRINV0011349,,Deekay Tech Recruitment Ltd,,,17/06/2025,,"1,503.97"
LEGL - Legal & Democratic,,DAB - Human Resources,,"29.05.25 Day, design and travel",,,1,,CRINV0011363,,Happy Chalk,,,17/06/2025,,270.00
REGN - Regeneration & Housing,,FAD - Housing Advice,,Rent Deposit ,,,1,,CRINV0011369,,Great Places Housing Group,,,17/06/2025,,494.56
ENVH - Environmental Health,,BAB - Environmental Protection,,Services for Event,,,1,,CRINV0011371,,Willowcroft Industries Ltd,,,17/06/2025,,"2,441.00"
LEGL - Legal & Democratic,,DAG - Elections,,Printing and Postage Charges,,,1,,CRINV0011377,,Civica Election Services,,,17/06/2025,,574.51
LEGL - Legal & Democratic,,DAG - Elections,,May 25 Election,,,1,,CRINV0011392,,Civica Election Services,,,17/06/2025,,"32,537.30"
ENVS - Environmental Services,,CAA - Environmental Maintenance,,High Street Accelerator Programme,,,1,,CRINV0011423,,Mellows Lounge Bar & Eatery Ltd,,,17/06/2025,,"2,153.00"
ENVS - Environmental Services,,CAD - Town Centre & Markets,,Acc Carnival Road closurers,,,1,,CRINV0011425,,Accrington Community Events,,,17/06/2025,,"1,250.00"
LEGL - Legal & Democratic,,DAG - Elections,,Ballot Papers,,,1,,CRINV0011430,,Civica Election Services,,,17/06/2025,,"5,907.79"
LEGL - Legal & Democratic,,DAG - Elections,,Postage May 2025,,,1,,CRINV0011441,,Royal Mail Group Ltd,,,17/06/2025,,"9,822.66"
RESO - Resources,,AAG - Management Resources,,Car lease,,,1,,CRINV0011442,,Lex Autolease Ltd,,,17/06/2025,,556.74
RESO - Resources,,AAG - Management Resources,,Car Lease,,,2,,CRINV0011442,,Lex Autolease Ltd,,,17/06/2025,,556.74
RESO - Resources,,AAG - Management Resources,,Car Lease,,,3,,CRINV0011442,,Lex Autolease Ltd,,,17/06/2025,,46.54
REGN - Regeneration & Housing,,FAB - Facilities,,Carpets,,,1,,CRINV0011444,,Mobile Carpets Lancashire LTD,,,17/06/2025,,"1,150.00"
REGN - Regeneration & Housing,,FAB - Facilities,,"General repairs, breakdown and callouts",,,1,,CRPOI0011038,,Full Circuit Fire & Security Ltd,,,17/06/2025,,339.00
REGN - Regeneration & Housing,,FAB - Facilities,,"General repairs, breakdown and callouts",,,1,,CRPOI0011041,,Pilkington Bros (Church) Ltd,,,17/06/2025,,990.77
ENVS - Environmental Services,,CAC - Parks & Cemeteries,,Provide a pump track to Game Street Gt Harwood,,,1,,CRPOI0011309,,Clark & Kent Contractors,,,17/06/2025,,"33,600.00"
ENVS - Environmental Services,,CAD - Town Centre & Markets,,CCTV Broadband,,,1,,CRINV0010671,,British Telecommunications Plc,,,19/06/2025,,"26,836.90"
REGN - Regeneration & Housing,,FAB - Facilities,,Charges - 01.05.25 - 31.05.25,,,1,,CRINV0011260,,Crown Gas and Power Ltd - P002258 Ossy Civic Theat,,,19/06/2025,,811.90
RESO - Resources,,AAF - Finance,,Charges - 01.05.25 - 31.05.25,,,1,,CRINV0011370,,Lloyds Bank Cardnet,,,19/06/2025,,"2,853.43"
REGN - Regeneration & Housing,,FAB - Facilities,,Period: 1.4.25 to 30.4.25,,,1,,CRINV0011380,,SSE - 8700906000 Amenity Lighting Unmetered Supply,,,19/06/2025,,19.48
REGN - Regeneration & Housing,,FAB - Facilities,,Period: 1.4.25 to 30.4.25,,,2,,CRINV0011380,,SSE - 8700906000 Amenity Lighting Unmetered Supply,,,19/06/2025,,574.55
REGN - Regeneration & Housing,,FAB - Facilities,,Period: 1.4.25 to 30.4.25,,,3,,CRINV0011380,,SSE - 8700906000 Amenity Lighting Unmetered Supply,,,19/06/2025,,211.00
REGN - Regeneration & Housing,,FAB - Facilities,,Period: 1.4.25 to 30.4.25,,,4,,CRINV0011380,,SSE - 8700906000 Amenity Lighting Unmetered Supply,,,19/06/2025,,454.44
REGN - Regeneration & Housing,,FAB - Facilities,,Period: 1.4.25 to 30.4.25,,,5,,CRINV0011380,,SSE - 8700906000 Amenity Lighting Unmetered Supply,,,19/06/2025,,38.94
ENVS - Environmental Services,,CAB - Other Environmental Services,,LRF Secretary Contribution,,,1,,CRINV0011382,,Lancashire Police Authority,,,19/06/2025,,"1,159.00"
REGN - Regeneration & Housing,,FAB - Facilities,,Period: 1.5.25 to 26.5.25,,,1,,CRINV0011424,,SSE - 8700906000 Amenity Lighting Unmetered Supply,,,19/06/2025,,28.61
REGN - Regeneration & Housing,,FAB - Facilities,,Period: 1.5.25 to 26.5.25,,,2,,CRINV0011424,,SSE - 8700906000 Amenity Lighting Unmetered Supply,,,19/06/2025,,843.92
REGN - Regeneration & Housing,,FAB - Facilities,,Period: 1.5.25 to 26.5.25,,,3,,CRINV0011424,,SSE - 8700906000 Amenity Lighting Unmetered Supply,,,19/06/2025,,309.91
REGN - Regeneration & Housing,,FAB - Facilities,,Period: 1.5.25 to 26.5.25,,,4,,CRINV0011424,,SSE - 8700906000 Amenity Lighting Unmetered Supply,,,19/06/2025,,667.51
REGN - Regeneration & Housing,,FAB - Facilities,,Period: 1.5.25 to 26.5.25,,,5,,CRINV0011424,,SSE - 8700906000 Amenity Lighting Unmetered Supply,,,19/06/2025,,57.23
RESO - Resources,,AAB - Benefits & Customer Contact,,Whinney Hill - June 25,,,1,,CRINV0011452,,Ada Glossop Ltd,,,19/06/2025,,"1,204.94"
RESO - Resources,,AAB - Benefits & Customer Contact,,Whinney Hill - June 25,,,1,,CRINV0011453,,Cheval Social Management,,,19/06/2025,,"1,107.70"
REGN - Regeneration & Housing,,FAB - Facilities,,"Site 1 02/05/2025 - 01/06/2025 Haworth
  Park",,,1,,CRINV0011454,,EDF Energy - 9044031649 Consolidated Invoice,,,19/06/2025,,817.00
REGN - Regeneration & Housing,,FAB - Facilities,,"Site 2 23/04/2025 -
  01/06/2025 Crematorium Burnley Road",,,2,,CRINV0011454,,EDF Energy - 9044031649 Consolidated Invoice,,,19/06/2025,,"2,290.97"
REGN - Regeneration & Housing,,FAB - Facilities,,"Site 3 01/05/2025 -
  01/06/2025 Service Building Great Harwood Ceme",,,3,,CRINV0011454,,EDF Energy - 9044031649 Consolidated Invoice,,,19/06/2025,,"1,065.64"
REGN - Regeneration & Housing,,FAB - Facilities,,"Site 4 01/05/2025 -
  31/05/2025 Memorial Park Church Lane",,,4,,CRINV0011454,,EDF Energy - 9044031649 Consolidated Invoice,,,19/06/2025,,252.02
REGN - Regeneration & Housing,,FAB - Facilities,,"01/05/2025 -
  31/05/2025 Vehicle Maintenance Depot",,,5,,CRINV0011454,,EDF Energy - 9044031649 Consolidated Invoice,,,19/06/2025,,"2,525.70"
REGN - Regeneration & Housing,,FAB - Facilities,,"Site 5 01/05/2025 -
  31/05/2025 Foxhill Bank Pavillion",,,6,,CRINV0011454,,EDF Energy - 9044031649 Consolidated Invoice,,,19/06/2025,,699.69
REGN - Regeneration & Housing,,FAB - Facilities,,"Site 6 01/05/2025 -
  01/06/2025 Free Gardeners Bowling Green",,,7,,CRINV0011454,,EDF Energy - 9044031649 Consolidated Invoice,,,19/06/2025,,27.75
REGN - Regeneration & Housing,,FAB - Facilities,,"Site 7 01/05/2025 -
  31/05/2025 Peel Park Bowling Kiosk",,,8,,CRINV0011454,,EDF Energy - 9044031649 Consolidated Invoice,,,19/06/2025,,76.85
REGN - Regeneration & Housing,,FAB - Facilities,,"Site 8 01/05/2025 -
  31/05/2025 Feeder Pillar Rear of Accrington To",,,9,,CRINV0011454,,EDF Energy - 9044031649 Consolidated Invoice,,,19/06/2025,,50.01
REGN - Regeneration & Housing,,FAB - Facilities,,"Site 9 01/05/2025 -
  31/05/2025 Bowls House Rhyddings Park",,,10,,CRINV0011454,,EDF Energy - 9044031649 Consolidated Invoice,,,19/06/2025,,58.62
REGN - Regeneration & Housing,,FAB - Facilities,,"Site 11 02/12/2024 -
  01/01/2025 20 Environmental Health Offices",,,11,,CRINV0011454,,EDF Energy - 9044031649 Consolidated Invoice,,,19/06/2025,,819.37-
REGN - Regeneration & Housing,,FAB - Facilities,,"Site 11 02/12/2024 -
  01/01/2025 20 Environmental Health Offices",,,12,,CRINV0011454,,EDF Energy - 9044031649 Consolidated Invoice,,,19/06/2025,,100.54
REGN - Regeneration & Housing,,FAB - Facilities,,"Site 11 02/01/2025 -
  01/02/2025 20 Environmental Health Offices",,,13,,CRINV0011454,,EDF Energy - 9044031649 Consolidated Invoice,,,19/06/2025,,819.37-
REGN - Regeneration & Housing,,FAB - Facilities,,"Site 11 02/01/2025 -
  01/02/2025 20 Environmental Health Offices",,,14,,CRINV0011454,,EDF Energy - 9044031649 Consolidated Invoice,,,19/06/2025,,100.07
