Department Area,Service Area,Description,Line,HBC Ref No.,Name:  ,Payment Date,Amount Paid
REGN - Regeneration & Housing,FAD - Housing Advice,17 Nights - 23.2.24 to 11.3.24 ,1,CRINV0000406,Hotel 99,19/03/2024,"£3,485.00"
REGN - Regeneration & Housing,FAD - Housing Advice,4 Nights - 7.3.24 To 11.3.24 ,1,CRINV0000407,Hotel 99,19/03/2024,£580.00
REGN - Regeneration & Housing,FAD - Housing Advice,21 Nights - 19.2.24 to 11.3.24,1,CRINV0000408,Hotel 99,19/03/2024,"£2,205.00"
REGN - Regeneration & Housing,FAD - Housing Advice,4 Nights - 19.2.24 to 23.2.24,1,CRINV0000410,Hotel 99,19/03/2024,£640.00
REGN - Regeneration & Housing,FAF - Strategic Housing,Affordable warmth Grant 182,1,CRINV0000009,Harris Heating (Nw) Ltd,21/03/2024,"£2,460.00"
REGN - Regeneration & Housing,FAF - Strategic Housing,Affordable warmth Grant 13 ,1,CRINV0000047,Rhea Projects,21/03/2024,"£5,824.80"
REGN - Regeneration & Housing,FAF - Strategic Housing,Affordable Warmth Grant 163,1,CRINV0000049,Trade Windows (Preston) Limited,21/03/2024,"£5,015.00"
REGN - Regeneration & Housing,FAF - Strategic Housing,Affordable Warmth Grant- 177 ,1,CRINV0000051,A G S Heating & Plumbing Ltd,21/03/2024,"£2,460.00"
RESO - Resources,AAB - Benefits & Customer Contact,Annual Council Reduction Scheme & DWP Mou report,1,CRINV0000064,Acs Ltd,21/03/2024,£660.00
RESO - Resources,AAB - Benefits & Customer Contact,Annual Council Reduction scheme & DWP Mou report,2,CRINV0000064,Acs Ltd,21/03/2024,£660.00
REGN - Regeneration & Housing,FAC - Haworth Art Gallery,Epos system Initial payment,1,CRINV0000086,North West Business Machines Ltd,21/03/2024,£900.00
PLAN - Planning & Transportation,EAA - Building Control,Temp staff W/e 25.2.24,1,CRINV0000163,Matchtech Group (UK) Limited,21/03/2024,"£1,116.00"
ENVS - Environmental Services,CAA - Environmental Maintenance,Sub-consultancy fees for the Market Hall. Phase 1,1,CRINV0000168,CBRE Ltd,21/03/2024,"£12,000.00"
PLAN - Planning & Transportation,EAA - Building Control,Temp staff W/E 3.3.24 ,1,CRINV0000212,Matchtech Group (UK) Limited,21/03/2024,"£1,116.00"
ENVS - Environmental Services,CAF - CVMU,Call out 8.2.24 - Install new equipment,1,CRINV0000213,Gate Automation Solutions Ltd,21/03/2024,£399.60
REGN - Regeneration & Housing,FAC - Haworth Art Gallery,EPOS System Annual Charge,1,CRINV0000252,North West Business Machines Ltd,21/03/2024,£432.00
RESO - Resources,AAF - Finance,Grant funding,1,CRINV0000284,Canal & River Trust,21/03/2024,£500.00
ENVS - Environmental Services,CAA - Environmental Maintenance,Various security related items,1,CRINV0000285,Vps (Uk) Limited,21/03/2024,"£1,983.42"
ENVS - Environmental Services,CAA - Environmental Maintenance,Security items for Burtons Chambers ,1,CRINV0000286,Vps (Uk) Limited,21/03/2024,£927.25
ENVS - Environmental Services,CAC - Parks & Cemeteries,Agency Staff -  - w/c 26.02.24,1,CRINV0000293,Proman Supply Chain Ltd,21/03/2024,£509.98
ENVS - Environmental Services,CAA - Environmental Maintenance,Security equipment ,1,CRINV0000295,Vps (Uk) Limited,21/03/2024,£937.14
ENVS - Environmental Services,CAA - Environmental Maintenance,"Response to alarm activation, security equipment ",1,CRINV0000297,Vps (Uk) Limited,21/03/2024,£638.03
ENVS - Environmental Services,CAC - Parks & Cemeteries,Inseego Fleet,1,CRINV0000299,Inseego,21/03/2024,£288.00
ENVS - Environmental Services,CAF - CVMU,Cleaning of refuse vehicles 19.2.24,1,CRINV0000312,Keep Em Clean,21/03/2024,£262.50
ENVS - Environmental Services,CAF - CVMU,Steam clean vehicle - 12.2.24,1,CRINV0000313,Keep Em Clean,21/03/2024,£262.50
ENVS - Environmental Services,CAF - CVMU,12 mths service & maintenance,1,CRINV0000328,Pennine Pump & Tank Co,21/03/2024,£840.00
ENVS - Environmental Services,CAC - Parks & Cemeteries,Steel litter Bins,1,CRINV0000329,Broxap Ltd,21/03/2024,"£1,366.80"
ENVS - Environmental Services,CAE - Waste Services,Temp staff W/E 11.2.24 ,1,CRINV0000333,Proman Supply Chain Ltd,21/03/2024,£509.98
ENVS - Environmental Services,CAC - Parks & Cemeteries,Temp staff w/e 25.2.24 ,1,CRINV0000334,Proman Supply Chain Ltd,21/03/2024,£509.98
ENVS - Environmental Services,CAC - Parks & Cemeteries,Litter picker & safety specs ets,1,CRINV0000335,Landscape Supply Company,21/03/2024,£690.67
ENVS - Environmental Services,CAC - Parks & Cemeteries,"Works at Church Street Gardens, Acc",1,CRINV0000336,Lighting And Building Services Ltd,21/03/2024,"£10,989.00"
ENVH - Environmental Health,BAA - Housing Standards,Agency staff - w/e 03.03.24,1,CRINV0000340,G2 Recruitment Solutions,21/03/2024,"£2,417.02"
ENVS - Environmental Services,CAC - Parks & Cemeteries,CCTV Hire - 3.2.24 to 1.3.24,1,CRINV0000342,Ross Lee Construction Ltd,21/03/2024,"£1,056.00"
ENVH - Environmental Health,BAA - Housing Standards,Agency staff - w/c 26.02.24 ,1,CRINV0000347,Oyster Partnership,21/03/2024,"£1,279.20"
ENVS - Environmental Services,CAE - Waste Services,Waste charges - Feb 24,1,CRINV0000348,Suez Recycling And Recovery Uk Ltd,21/03/2024,"£3,005.36"
ENVS - Environmental Services,CAE - Waste Services,Waste charges - Feb 24,2,CRINV0000348,Suez Recycling And Recovery Uk Ltd,21/03/2024,"£12,215.25"
ENVS - Environmental Services,CAE - Waste Services,Temp staff w/e 3.3.24 ,1,CRINV0000352,Rapid Recruitment Ltd,21/03/2024,£697.52
ENVS - Environmental Services,CAC - Parks & Cemeteries,CCTV upgrade to camera ,1,CRINV0000359,Blackburn With Darwen Borough Council,21/03/2024,"£8,880.00"
ENVH - Environmental Health,BAB - Environmental Protection,Temp staff w/e 3.3.24 ,1,CRINV0000361,Vivid Resourcing,21/03/2024,£665.28
ENVH - Environmental Health,BAB - Environmental Protection,Temp staff w/e 3.3.24 ,1,CRINV0000362,Vivid Resourcing,21/03/2024,"£2,220.00"
ENVH - Environmental Health,BAA - Housing Standards,Emergency Works Grant EWG2023/06,1,CRINV0000367,Damp Resolutions Limited,21/03/2024,"£3,810.00"
ENVH - Environmental Health,BAA - Housing Standards,Allergen testing of 37 food samples ,1,CRINV0000370,Lancashire County Council,21/03/2024,"£3,951.60"
ENVS - Environmental Services,CAF - CVMU,Cleaning materials,1,CRINV0000383,Wurth Uk Ltd,21/03/2024,£349.13
RESO - Resources,AAB - Benefits & Customer Contact,Subscription to Hbinfo Ltd until 31.03.25,1,CRINV0000394,Hbinfo Limited,21/03/2024,£624.00
ENVS - Environmental Services,CAA - Environmental Maintenance,Retesting of 9no hight safety cable systems.,1,CRINV0000395,Highwire Ltd,21/03/2024,£720.00
ENVS - Environmental Services,CAA - Environmental Maintenance,Professional services in relation to AccTown Centre Regeneration ,1,CRINV0000396,Ma Cost Consulting Limited,21/03/2024,"£3,200.00"
ENVS - Environmental Services,CAA - Environmental Maintenance,Professional services in relation to Acc Town Centre Regeneration,2,CRINV0000396,Ma Cost Consulting Limited,21/03/2024,"£3,200.01"
ENVS - Environmental Services,CAA - Environmental Maintenance,Professional services in relation to Acc Town Centre Regeneration,3,CRINV0000396,Ma Cost Consulting Limited,21/03/2024,"£3,199.99"
ENVS - Environmental Services,CAA - Environmental Maintenance,Rental of units,1,CRINV0000397,Rapid Retail Limited,21/03/2024,"£16,284.06"
ENVS - Environmental Services,CAA - Environmental Maintenance,"Measured survey at Market Chambers, Accrington in accordance with the agreed scope of service",1,CRINV0000398,Ma Cost Consulting Limited,21/03/2024,"£1,320.00"
ENVS - Environmental Services,CAA - Environmental Maintenance,Final invoice for removal of festoon lighting outside Accrington Market Hall,1,CRINV0000404,Lancashire County Council,21/03/2024,"£2,160.00"
ENVS - Environmental Services,CAF - CVMU,Steam clean 26.2.24,1,CRINV0000418,Keep Em Clean,21/03/2024,£262.50
ENVS - Environmental Services,CAA - Environmental Maintenance, Electricity charges - 01.02.24 - 29.02.24,1,CRINV0000420,E-On Next Energy - A-B930C930 73 Blackburn Road,21/03/2024,£399.68
LEGL - Legal & Democratic,DAB - Human Resources,Culture & Heritage Strategy - Final Handover,1,CRINV0000424,Creative Tourist Limited,21/03/2024,"£11,064.00"
RESO - Resources,AAG - Management Resources,"Wilson Playing Field Leisure Centre Construction, Valuation 12",1,CRINV0000425,Alliance Leisure Services Limited,21/03/2024,"£464,969.89"
REGN - Regeneration & Housing,FAF - Strategic Housing,Telephone interpreting service - Feb 24,1,CRINV0000426,Clear Voice,21/03/2024,£488.35
ENVH - Environmental Health,BAA - Housing Standards,Clear rear yard ,1,CRINV0000430,Waste Busters Waste Removal,21/03/2024,£260.00
REGN - Regeneration & Housing,FAD - Housing Advice,Temp Accommodation - 12.2.24 to 11.3.24,1,CRINV0000436,Blackwood Investment Group Limited,21/03/2024,"£3,944.00"
REGN - Regeneration & Housing,FAF - Strategic Housing,Heritage & Cultural Regeneration services,1,CRINV0000440,Cheregen,21/03/2024,"£3,900.00"
REGN - Regeneration & Housing,FAF - Strategic Housing,Huncoat Garden Village -For work undertaken up to 29th February 2024 ,1,CRINV0000448,Arcadis Consulting (Uk) Ltd,21/03/2024,"£156,000.00"
REGN - Regeneration & Housing,FAF - Strategic Housing,Work undertaken to end Feb 2024 ,1,CRINV0000449,Avison Young (Uk) Ltd,21/03/2024,"£11,646.00"
PLAN - Planning & Transportation,EAC - Green Infrastructure,Trees,1,CRINV0000355,Alba Trees Limited,26/03/2024,£387.00
ENVH - Environmental Health,BAA - Housing Standards,Roof repairs,1,CRINV0000427,B Mcdermott & Son (Lancs) Ltd,26/03/2024,£328.80
RESO - Resources,AAF - Finance,"100,000 Plain Window Envelopes",1,CRINV0000435,Encore Envelopes,26/03/2024,£996.00
RESO - Resources,AAF - Finance,"100,000 Plain Window Envelopes",2,CRINV0000435,Encore Envelopes,26/03/2024,£996.00
ENVS - Environmental Services,CAF - CVMU,Engineer visit 27.02.24,1,CRINV0000438,Calibration & Consultancy Services Uk Limited,26/03/2024,£729.00
REGN - Regeneration & Housing,FAB - Facilities,electric 01.12.23 - 31.12.23 civic theatre,1,CRINV0000439,Corona Energy - 60161120 Oswaldtwistle Civic Theat,26/03/2024,"£2,300.48"
REGN - Regeneration & Housing,FAB - Facilities,Electric 01.02.24 - 29.02.24 Civic theatre,1,CRINV0000441,Corona Energy - 60161120 Oswaldtwistle Civic Theat,26/03/2024,"£1,093.70"
PLAN - Planning & Transportation,EAD - Planning,Agency Staff - w/e 03.03.24,1,CRINV0000444,Macdonald & Company,26/03/2024,£680.60
PLAN - Planning & Transportation,EAD - Planning,Agency staff - w/e 25.02.24,1,CRINV0000445,Macdonald & Company,26/03/2024,£998.40
PLAN - Planning & Transportation,EAD - Planning,Interim payment  for thinning of Plantation larch at the Coppice,1,CRINV0000450,Woody (Hyndburn) C I C,26/03/2024,"£1,400.00"
PLAN - Planning & Transportation,EAC - Green Infrastructure,Ash safety felling at Hollins Wood ,1,CRINV0000452,Woody (Hyndburn) C I C,26/03/2024,£350.00
PLAN - Planning & Transportation,EAB - Engineers & Transportation,"Excavation of sink hole, investigate, repair and backfill with mot",1,CRINV0000461,Paul Walsh Groundwork & Plant Hire,26/03/2024,£780.00
PLAN - Planning & Transportation,EAC - Green Infrastructure,Year 3 of the Lancashire Woodland connect project,1,CRINV0000463,Ribble Rivers Trust,26/03/2024,"£15,000.00"
PLAN - Planning & Transportation,EAC - Green Infrastructure,Riverside Heritage Park & Riverside Walk Regeneration,1,CRINV0000464,Ribble Rivers Trust,26/03/2024,"£15,000.00"
RESO - Resources,AAG - Management Resources,Accrington Town Square,1,CRINV0000465,Morgan Sindall Construction & Infrastructure Ltd,26/03/2024,"£224,521.66"
PLAN - Planning & Transportation,EAB - Engineers & Transportation,Jet & Clean out gullies,1,CRINV0000466,Clear A Drain Ltd,26/03/2024,"£3,096.00"
PLAN - Planning & Transportation,EAB - Engineers & Transportation,Car Park Maintenance,1,CRINV0000497,Marchbridge Builders Ltd,26/03/2024,"£5,640.00"
PLAN - Planning & Transportation,EAB - Engineers & Transportation,To clear and jet road gullies and lift lids to check,1,CRINV0000498,Clear A Drain Ltd,26/03/2024,£672.00
RESO - Resources,AAD - ICT,"Line Rental Charges, Landline Call Charges, Misc Rentals & Charges",1,CRINV0000511,Cloudcoco Limited,26/03/2024,"£1,435.93"
LEGL - Legal & Democratic,DAB - Human Resources,Grant agreement relating to UK Shared Prosperity fund Events Funding,1,CRINV0000512,Hyndburn Leisure,26/03/2024,"£10,234.00"
LEGL - Legal & Democratic,DAB - Human Resources,Grant agreement relating to UK Shared Prosperity Fund Events Funding,2,CRINV0000512,Hyndburn Leisure,26/03/2024,"£26,325.00"
LEGL - Legal & Democratic,DAB - Human Resources,Grant agreement relating to UK Shared Prosperity Fund Events Funding,3,CRINV0000512,Hyndburn Leisure,26/03/2024,£4.00
ENVS - Environmental Services,CAC - Parks & Cemeteries,3 day AutoCAD Essentials training course - 15-17 April ,1,CRINV0000518,Armada Training Solutions Ltd,26/03/2024,£594.00
ENVS - Environmental Services,CAC - Parks & Cemeteries,Spin a Bounce and Mini Matrix and accessories,1,CRINV0000519,Wicksteed Leisure Limited,26/03/2024,"£10,419.84"
PLAN - Planning & Transportation,EAD - Planning,Agency staff - w/c 26.02.24 ,1,CRINV0000527,Oyster Partnership,26/03/2024,£555.84
RESO - Resources,AAD - ICT,05/02/2024-08/03/2024 Printing costs,1,CRINV0000528,Xbm Ltd,26/03/2024,£347.56
PLAN - Planning & Transportation,EAD - Planning,Agency staff - w/c 19.02.24,1,CRINV0000530,Oyster Partnership,26/03/2024,£555.84
RESO - Resources,AAD - ICT, March 2024,1,CRINV0000532,British Telecommunications Plc,26/03/2024,"£1,610.13"
REGN - Regeneration & Housing,FAB - Facilities,Scaitcliffe House: change of fire alarm panel,1,CRINV0000540,Full Circuit Fire & Security Ltd,26/03/2024,"£5,072.21"
REGN - Regeneration & Housing,FAB - Facilities,Oakhill- installation of IP CCTV system and 3G router. ,1,CRINV0000543,Full Circuit Fire & Security Ltd,26/03/2024,"£1,918.68"
LEGL - Legal & Democratic,DAD - Management Legal & Dem,UKSPF Funded Boost generic business support 2023-24,1,CRINV0000546,Lancashire County Council,26/03/2024,"£121,960.00"
REGN - Regeneration & Housing,FAB - Facilities,Feb 24,1,CRINV0000547,HSL Compliance,26/03/2024,£43.20
REGN - Regeneration & Housing,FAB - Facilities,Feb 24,2,CRINV0000547,HSL Compliance,26/03/2024,£43.20
REGN - Regeneration & Housing,FAB - Facilities,Feb 24,3,CRINV0000547,HSL Compliance,26/03/2024,£42.00
REGN - Regeneration & Housing,FAB - Facilities,Feb 24,4,CRINV0000547,HSL Compliance,26/03/2024,£93.60
REGN - Regeneration & Housing,FAB - Facilities,Feb 24,5,CRINV0000547,HSL Compliance,26/03/2024,£99.60
REGN - Regeneration & Housing,FAB - Facilities,Feb 24,6,CRINV0000547,HSL Compliance,26/03/2024,£62.40
REGN - Regeneration & Housing,FAB - Facilities,Feb 24,7,CRINV0000547,HSL Compliance,26/03/2024,£74.40
REGN - Regeneration & Housing,FAB - Facilities,Feb 24,8,CRINV0000547,HSL Compliance,26/03/2024,£78.00
REGN - Regeneration & Housing,FAB - Facilities,Feb 24,9,CRINV0000547,HSL Compliance,26/03/2024,£50.40
REGN - Regeneration & Housing,FAB - Facilities,Feb 24,10,CRINV0000547,HSL Compliance,26/03/2024,£34.80
REGN - Regeneration & Housing,FAB - Facilities,Feb 24,11,CRINV0000547,HSL Compliance,26/03/2024,£43.20
REGN - Regeneration & Housing,FAB - Facilities,Feb 24,12,CRINV0000547,HSL Compliance,26/03/2024,£54.00
REGN - Regeneration & Housing,FAB - Facilities,Feb 24,13,CRINV0000547,HSL Compliance,26/03/2024,£51.60
REGN - Regeneration & Housing,FAB - Facilities,Feb 24,14,CRINV0000547,HSL Compliance,26/03/2024,£37.20
REGN - Regeneration & Housing,FAB - Facilities,Feb 24,15,CRINV0000547,HSL Compliance,26/03/2024,£33.60
REGN - Regeneration & Housing,FAB - Facilities,Feb 24,16,CRINV0000547,HSL Compliance,26/03/2024,£40.80
REGN - Regeneration & Housing,FAB - Facilities,Feb 24,17,CRINV0000547,HSL Compliance,26/03/2024,£37.20
REGN - Regeneration & Housing,FAB - Facilities,Feb 24,18,CRINV0000547,HSL Compliance,26/03/2024,£37.20
REGN - Regeneration & Housing,FAB - Facilities,Feb 24,19,CRINV0000547,HSL Compliance,26/03/2024,£51.60
REGN - Regeneration & Housing,FAB - Facilities,Feb 24,20,CRINV0000547,HSL Compliance,26/03/2024,£46.80
REGN - Regeneration & Housing,FAB - Facilities,Feb 24,21,CRINV0000547,HSL Compliance,26/03/2024,£37.20
REGN - Regeneration & Housing,FAB - Facilities,Feb 24,22,CRINV0000547,HSL Compliance,26/03/2024,£76.80
REGN - Regeneration & Housing,FAB - Facilities,Feb 24,23,CRINV0000547,HSL Compliance,26/03/2024,£50.40
REGN - Regeneration & Housing,FAB - Facilities,Feb 24,24,CRINV0000547,HSL Compliance,26/03/2024,£45.60
REGN - Regeneration & Housing,FAB - Facilities,Feb 24,25,CRINV0000547,HSL Compliance,26/03/2024,£37.20
REGN - Regeneration & Housing,FAB - Facilities,Feb 24,26,CRINV0000547,HSL Compliance,26/03/2024,£37.20
RESO - Resources,AAF - Finance,Postage charges,1,CRINV0000569,Pitney Bowes Ltd,26/03/2024,£15.60
RESO - Resources,AAF - Finance,Postage charges,2,CRINV0000569,Pitney Bowes Ltd,26/03/2024,"£11,954.15"
ENVS - Environmental Services,CAC - Parks & Cemeteries,6meter Glassfibre Flagpole + Delivery,1,CRINV0000584,Hampshire Flag Company,26/03/2024,£515.93
ENVS - Environmental Services,CAE - Waste Services,Hire of vehicle - 11 weeks ,1,CRINV0000585,Scarab Sweepers Limited,26/03/2024,"£10,644.00"
ENVS - Environmental Services,CAA - Environmental Maintenance,"Great Harwood, High Street Accelerator - Economic Advisor",1,CRINV0000587,Perfect Circle JV Ltd,26/03/2024,"£59,034.72"
ENVS - Environmental Services,CAA - Environmental Maintenance,Continuation of service and mtce contract  from 1st February 2024,1,CRINV0000590,North West Trading Company Ltd,26/03/2024,£789.60
ENVS - Environmental Services,CAE - Waste Services,Temp staff  W/E 04/02/2024 ,1,CRINV0000592,Rapid Recruitment Ltd,26/03/2024,£976.54
ENVS - Environmental Services,CAE - Waste Services,Parts ,1,CRINV0000594,Earth Anchors Ltd,26/03/2024,"£3,016.80"
ENVS - Environmental Services,CAD - Town Centre & Markets,CCTV upgrade to camera ,1,CRINV0000596,Blackburn With Darwen Borough Council,26/03/2024,"£7,181.12"
ENVS - Environmental Services,CAC - Parks & Cemeteries,Supply and Delivery of trees,1,CRINV0000598,James Coles & Sons (Nurseries) Ltd,26/03/2024,£156.00
ENVS - Environmental Services,CAC - Parks & Cemeteries,Supply and delivery of trees,2,CRINV0000598,James Coles & Sons (Nurseries) Ltd,26/03/2024,£786.00
ENVS - Environmental Services,CAC - Parks & Cemeteries,SmartAccess Netcode Subscription,1,CRINV0000612,Cia Fire & Security Ltd,26/03/2024,£668.40
ENVS - Environmental Services,CAC - Parks & Cemeteries,Kellen Breccia Grigio - Cero Paving ,1,CRINV0000643,HardScape Products Ltd,26/03/2024,"£10,419.84"
ENVS - Environmental Services,CAC - Parks & Cemeteries,1908/APC Accrington Pals Cemetery - Stone Supplied,1,CRINV0000644,John Wade Groundworks Ltd,26/03/2024,"£22,987.08"
RESO - Resources,AAF - Finance,Financial Intelligence Toolkit Subs 24/25 ,1,CRINV0000652,LG Futures Limited,26/03/2024,"£2,514.00"
RESO - Resources,AAF - Finance,Financial Intelligence Toolkit Subs 24/25 ,2,CRINV0000652,LG Futures Limited,26/03/2024,"£9,594.00"
ENVS - Environmental Services,CAA - Environmental Maintenance,Town Hall Cabins,1,CRINV0000662,Smartest Energy - 100011736903 77-79 Blackburn Rd,26/03/2024,"£2,212.38"
REGN - Regeneration & Housing,FAB - Facilities,Period: 01-Feb-24 to 29-Feb-24,1,CRINV0000666,"SSE - 8700277599 Christmas Lighting, Facilities",26/03/2024,"£2,106.01"
HOUSING BENEFIT ADMIN,ALLPAY,FEBRUARY,,,ALLPAY.NET LTD,26/03/2024,£531.88
RESO - Resources,AAF - Finance,Charges 01.01.24 - 31.01.24,1,CRINV0000478,G4S Cash Solutions (UK) Limited,27/03/2024,£553.22
RESO - Resources,AAF - Finance,Benefits and Revenues charges February 2024,1,CRINV0000507,Allpay Ltd,27/03/2024,£531.88
RESO - Resources,AAF - Finance,Monthly transaction charges - 01.02.24 - 29.02.24,1,CRINV0000514,Lloyds Bank Cardnet,27/03/2024,"£1,158.92"
RESO - Resources,AAF - Finance,RVBC Tariff due March 2024,1,CRINV0000647,(DD ONLY) Ribble Valley Borough Council,27/03/2024,"£388,161.00"
REGN - Regeneration & Housing,FAA - Economic Development,Professional fees,1,CRINV0000271,Lea Hough And Co,28/03/2024,"£7,572.00"
REGN - Regeneration & Housing,FAA - Economic Development,Professional fees,1,CRINV0000273,Lea Hough And Co,28/03/2024,"£28,077.60"
REGN - Regeneration & Housing,FAB - Facilities,Installation & Removal of all festive decorations,1,CRINV0000319,Lancashire County Council,28/03/2024,"£81,840.00"
REGN - Regeneration & Housing,FAB - Facilities,Replace connection boxes to all festive trees,1,CRINV0000320,Lancashire County Council,28/03/2024,"£1,774.80"
REGN - Regeneration & Housing,FAB - Facilities,Replace connection boxes to all festive trees,2,CRINV0000320,Lancashire County Council,28/03/2024,"£2,185.20"
REGN - Regeneration & Housing,FAB - Facilities,Works to cleaners cupboard - remover shower tray & new flooring,1,CRINV0000323,George Pearce & Sons Ltd,28/03/2024,"£2,205.60"
ENVS - Environmental Services,CAE - Waste Services,Repairs to Vehicle ,1,CRINV0000330,Leeds Commercial Vehicle Hire,28/03/2024,£356.50
PLAN - Planning & Transportation,EAD - Planning,Temp staff w/c 4.3.24,1,CRINV0000339,Oyster Partnership,28/03/2024,£555.84
ENVS - Environmental Services,CAC - Parks & Cemeteries,Temp staff w/e 10.3.24,1,CRINV0000341,Rapid Recruitment Ltd,28/03/2024,£697.52
ENVH - Environmental Health,BAA - Housing Standards,Agency staff - w/c 04.03.24,1,CRINV0000349,Oyster Partnership,28/03/2024,"£1,872.00"
ENVH - Environmental Health,BAA - Housing Standards,Agency Staff - w/c 04.03.24 ,1,CRINV0000350,Oyster Partnership,28/03/2024,"£1,326.00"
ENVH - Environmental Health,BAA - Housing Standards,Agency staff - w/c 26.02.24 ,1,CRINV0000351,Oyster Partnership,28/03/2024,"£2,688.19"
REGN - Regeneration & Housing,FAE - Property,Asset valuation fees 22/23,1,CRINV0000353,Lea Hough And Co,28/03/2024,"£3,576.00"
PLAN - Planning & Transportation,EAC - Green Infrastructure,Trees and stakes,1,CRINV0000354,Cheviot Trees Ltd,28/03/2024,£808.22
ENVS - Environmental Services,CAF - CVMU,Industrial battery & brushless wrench,1,CRINV0000356,R M Williams (Accrington) Ltd,28/03/2024,£283.62
ENVH - Environmental Health,BAA - Housing Standards,Temp staff w/e 10.3.24,1,CRINV0000360,G2 Recruitment Solutions,28/03/2024,"£2,485.91"
ENVH - Environmental Health,BAB - Environmental Protection,Temp staff w/e 10.3.24 ,1,CRINV0000363,Vivid Resourcing,28/03/2024,"£2,220.00"
ENVH - Environmental Health,BAB - Environmental Protection,Temp staff w/e 10.3.24 ,1,CRINV0000364,Vivid Resourcing,28/03/2024,£482.89
REGN - Regeneration & Housing,FAB - Facilities,Broken hot water tap,1,CRINV0000371,Pilkington Bros (Church) Ltd,28/03/2024,£268.28
REGN - Regeneration & Housing,FAB - Facilities,Repairs to external bib tap,1,CRINV0000372,Pilkington Bros (Church) Ltd,28/03/2024,£395.45
ENVS - Environmental Services,CAF - CVMU,Steam Clean - 11.3.24,1,CRINV0000385,Keep Em Clean,28/03/2024,£262.50
ENVS - Environmental Services,CAF - CVMU,Steam clean - 4.3.24,1,CRINV0000386,Keep Em Clean,28/03/2024,£262.50
ENVS - Environmental Services,CAF - CVMU,Knorr Apu and connector,1,CRINV0000388,A&P Truck And Trailer Parts,28/03/2024,£609.68
ENVS - Environmental Services,CAF - CVMU,Side lamp,1,CRINV0000389,Dennis Eagle Limited,28/03/2024,£265.16
ENVS - Environmental Services,CAA - Environmental Maintenance,20 Accrington Town Square self inking stamps,1,CRINV0000409,Media Village,28/03/2024,£526.80
ENVS - Environmental Services,CAA - Environmental Maintenance,1000 Market on the Square Launch Leaflets.,1,CRINV0000414,Media Village,28/03/2024,£263.00
RESO - Resources,AAB - Benefits & Customer Contact,Annual software support,1,CRINV0000434,Nec Software Solutions Uk Ltd,28/03/2024,"£1,920.00"
RESO - Resources,AAB - Benefits & Customer Contact,Annual software support,2,CRINV0000434,Nec Software Solutions Uk Ltd,28/03/2024,"£1,920.00"
RESO - Resources,AAB - Benefits & Customer Contact,Annual software support,3,CRINV0000434,Nec Software Solutions Uk Ltd,28/03/2024,£960.00
PLAN - Planning & Transportation,EAD - Planning,Agency staff - w/e 17.03.24,1,CRINV0000443,Macdonald & Company,28/03/2024,"£1,763.00"
PLAN - Planning & Transportation,EAC - Green Infrastructure,Ash safety felling at four woodland sites ,1,CRINV0000451,Woody (Hyndburn) C I C,28/03/2024,"£1,050.00"
PLAN - Planning & Transportation,EAC - Green Infrastructure,Ash safety felling at four woodland sites ,2,CRINV0000451,Woody (Hyndburn) C I C,28/03/2024,"£3,500.00"
PLAN - Planning & Transportation,EAD - Planning,Agency staff - P/E 20.08.23,1,CRINV0000453,Carrington West Limited,28/03/2024,"£1,568.26"
PLAN - Planning & Transportation,EAD - Planning,Agency staff - P/E 03.09.23 ,1,CRINV0000454,Carrington West Limited,28/03/2024,"£1,275.50"
PLAN - Planning & Transportation,EAD - Planning,Agency staff - P/E 10.09.23,1,CRINV0000455,Carrington West Limited,28/03/2024,"£1,568.26"
PLAN - Planning & Transportation,EAD - Planning,Agency staff - P/E 17.09.23 ,1,CRINV0000456,Carrington West Limited,28/03/2024,"£1,568.26"
REGN - Regeneration & Housing,FAB - Facilities,HBC - Annual Gas Safety Inspections,1,CRINV0000457,Lancashire Gas Services,28/03/2024,£280.80
REGN - Regeneration & Housing,FAB - Facilities,HBC - Annual Gas Safety Inspections,2,CRINV0000457,Lancashire Gas Services,28/03/2024,£280.80
REGN - Regeneration & Housing,FAB - Facilities,HBC - Annual Gas Safety Inspections,3,CRINV0000457,Lancashire Gas Services,28/03/2024,£288.00
REGN - Regeneration & Housing,FAB - Facilities,HBC - Annual Gas Safety Inspection,4,CRINV0000457,Lancashire Gas Services,28/03/2024,£960.00
REGN - Regeneration & Housing,FAB - Facilities,HBC - Annual Gas Safety Inspections,5,CRINV0000457,Lancashire Gas Services,28/03/2024,£187.20
REGN - Regeneration & Housing,FAB - Facilities,HBC Annual Gas Safety Inspections,6,CRINV0000457,Lancashire Gas Services,28/03/2024,£187.20
REGN - Regeneration & Housing,FAB - Facilities,HBC - Annual Gas Safety Inspections,7,CRINV0000457,Lancashire Gas Services,28/03/2024,£93.60
REGN - Regeneration & Housing,FAB - Facilities,HBC - Annual Gas Safety Inspections,8,CRINV0000457,Lancashire Gas Services,28/03/2024,£93.60
REGN - Regeneration & Housing,FAB - Facilities,HBC - Annual Gas Safety Inspections,9,CRINV0000457,Lancashire Gas Services,28/03/2024,£93.60
REGN - Regeneration & Housing,FAB - Facilities,HBC - Annual Gas Safety Inspections,10,CRINV0000457,Lancashire Gas Services,28/03/2024,£93.60
