,,,,,,
Service Cost Centre,Account Detail,Description,HBC ref no,Name,Payment Date,Net Amount (£)
Affordable Warmth Intervention,Contractor Other,AWG 2023/24,B000024385/62221,Rhea Projects,19/10/23,"2,887.50"
Dfg Affordable Warmth Grant,Contractor Other,AWG 149,B000024385/64557,Harris Heating (Nw) Ltd,19/10/23,"2,425.00"
Psds Scaitcliffe,Contractor Other,SCAITCLIFFE DECARBON - RELEASE OF RETENTION - IFC WITH CD 31.01.22,B000024385/67024,Airco,19/10/23,"4,777.39"
New Financial Package,Software,CE01111-SERVICE-TEST SERVER FOR HR & PAYROLL PROJECT,B000024386/17209,Civica Uk Limited,19/10/23,"18,270.75"
Disabled Facilities General,Contractor Other,DT02489-SERVICE-DFG ,B000024386/68141,P A Cookson Ltd,19/10/23,"4,675.00"
Disabled Facilities General,Contractor Other,DT02511-SERVICE-DFG ,B000024386/7874,Stannah Lift Services Limited,19/10/23,"4,317.00"
Computer Services,Rental & Maint Software Misc,FINANCIAL + HRP LICENSE FEES,B000024387/17209,Civica Uk Limited,19/10/23,"48,868.00"
Dev Control,Dev Control System,IDOX MAINTENANCE 1/04/2023 - 31/03/2024 - SOFTWARE,B000024387/61564,Idox Software Ltd,19/10/23,"7,374.78"
Disabled Facilities General,Contractor Other,DFG 11500 ,B000024387/68658,1st Choice Frames Ltd,19/10/23,"1,240.00"
Burton Chambers  - Luf,Miscellaneous,ELECTRICITY,B000024233/65135,E-On Next Energy Ltd,24/10/23,296.41
Markets - Operations,Electricity,ELEC STALL 31 -35 JUL 23,B000024246/65135,E-On Next Energy Ltd,24/10/23,159.96
Housing Advice,Agency Staff,AGENCY STAFF P/E 24/09/23,B000024348/61860,Vivid Resourcing,24/10/23,790.56
Registration Of Electors,Document Management,WEEKLY PRINT RUN,B000024348/62168,Civica Election Services,24/10/23,"1,130.53"
Hmo,Agency Staff,CONTRACTOR W/C 18/09/23,B000024349/58852,Oyster Partnership,24/10/23,"1,170.00"
Housing Standards,Agency Staff,CONTRACTOR W/C 18/09/23,B000024349/58852,Oyster Partnership,24/10/23,759.15
Housing Standards,Agency Staff,CONTRACTOR W/E 24/09/23,B000024349/61657,G2 Recruitment Solutions,24/10/23,"1,837.75"
Environmental Protection,Agency Staff,CONTRACTOR W/E 24/09/23,B000024349/61860,Vivid Resourcing,24/10/23,"1,850.00"
Environmental Protection,Agency Staff,CONTRACTOR W/E 17/09/23,B000024349/61860,Vivid Resourcing,24/10/23,974.30
Accrington Town Centre,Event Expenditure,TRAFFIC MANAGEMENT FOR SOAPBOX CHALLENGE,B000024351/64476,Kays Highways Ltd,24/10/23,"1,115.00"
Building Control B.U.,Agency Staff,TEMP STAFF W/E 18.9.23,B000024353/58852,Oyster Partnership,24/10/23,504.00
Development Control B.U.,Agency Staff,TEMP STAFF W/E 18.9.23,B000024353/58852,Oyster Partnership,24/10/23,463.20
Planning Policy B.U.,Agency Staff,TEMP STAFF W/E 18.9.23,B000024353/58852,Oyster Partnership,24/10/23,"1,646.50"
Corp & Dem Core,Marketing Communications,FABRIC STAND,B000024356/1344,Ellison Printing,24/10/23,504.00
Dfg (Area Improvement),External Charges - Dfg,DESIGN FEES - 7 MARSLAND GARDENS,B000024356/52714,The Intelligent Design Centre Ltd,24/10/23,670.00
Corp & Dem Core,Marketing Communications,DESIGN TIME,B000024356/65011,Brands Inside Out Limited,24/10/23,500.00
Haworth Art Gallery,Asset Maint R&M,FT00986- HBC DISPLAY ENERGY CERTIFICATES,B000024358/65915,Briar Consulting Engineers Ltd,24/10/23,150.00
Leisure In Hyndburn,Lih R&M,FT00986- HBC DISPLAY ENERGY CERTIFICATES,B000024358/65915,Briar Consulting Engineers Ltd,24/10/23,450.00
Markets - Operations,Asset Maint R&M,FT00986- HBC DISPLAY ENERGY CERTIFICATES,B000024358/65915,Briar Consulting Engineers Ltd,24/10/23,150.00
Scaitcliffe House,Asset Maint R&M,FT00986- HBC DISPLAY ENERGY CERTIFICATES,B000024358/65915,Briar Consulting Engineers Ltd,24/10/23,150.00
Recycling Collection,Vehicle Tracker / Fuel/ Cctv,AS ABOVE,B000024359/60522,Trakm8 Holdings Plc,24/10/23,88.96
Refuse Collection,Vehicle Tracker / Fuel/ Cctv,VEHICLE TRACKERS,B000024359/60522,Trakm8 Holdings Plc,24/10/23,88.96
Street Cleansing,Vehicle Tracker / Fuel/ Cctv,AS ABOVE,B000024359/60522,Trakm8 Holdings Plc,24/10/23,88.96
Parks & Open Spaces,Vehicle Tracker / Fuel/ Cctv,PARKS TRACKERS,B000024359/65244,Inseego,24/10/23,240.00
Parks & Open Spaces,Equipmnt Repair & Maint,VEHICLE RECOVERED,B000024360/39746,Assured Automobile Assessors Ltd,24/10/23,240.00
Hyndburn Cemeteries,Equipmnt Repair & Maint,REPAIR BY MERCERS,B000024360/68556,Rob Mercer,24/10/23,"1,101.88"
Housing Benefit Administration,Franking Machine Lease,WEB BENEFIT CALCULATOR,B000024362/19244,Ovaltech Ltd,24/10/23,840.00
Registration Of Electors,Publications & Periodicals,RELEASE,B000024362/50652,Thomson Reuters Professional Uk Ltd,24/10/23,343.00
Human Resources,Member Training,INDEPENDENT PERSON'S TRAINING,B000024362/55451,Hoey Ainscough Associates Ltd,24/10/23,450.00
Computer Services,Telephones,VODAPHONE UK13114488 PERIOD OCTOBER 2023,B000024363/40272,Vodafone Ltd,24/10/23,792.51
Tech. Refresh (Annual Replacem,Equipment,TELECOMS ENGINEER AT CVMU SITE,B000024363/46800,Cloudcoco Limited,24/10/23,650.00
Willows Lane Depot,Equipmnt Repair & Maint,3 X TELEPHONE HANDSETS,B000024363/46800,Cloudcoco Limited,24/10/23,429.00
Hyndburn Cemeteries,New Seats,MEMORIAL BENCH AND REFURB,B000024365/54326,Ark Plastics Ltd,24/10/23,775.00
Maint. Of H'Ways & Cycleways,Work Done Dlo-Highways,"CUTTING BACK, STRIMMING, CHIPPING AND ASSOCIATED WORKS ON THE BLACK PATH",B000024366/14998,Sterling Construction (Services) Ltd,24/10/23,"4,150.00"
Street Nameplates Gen,Work Done Dlo-Highways,TAKE OUT AND RELOCATE 2 X ROAD NAME PLATES,B000024366/14998,Sterling Construction (Services) Ltd,24/10/23,410.00
Housing Standards,Agency Staff,TEMP STAFF -  01.10.23 ,B000024366/61657,G2 Recruitment Solutions,24/10/23,282.80
Parks & Open Spaces,Implements & Tools,CS03547-SERVICE-ECOPLUG MAX TREE STUMP CONTROL PK 100,B000024367/54462,Tudor Environmental,24/10/23,211.26
Parks & Open Spaces,Implements & Tools,CS03547-SERVICE-LONG-HANDLED LAWN EDGING SHEARS,B000024367/54462,Tudor Environmental,24/10/23,24.30
Parks & Open Spaces,Implements & Tools,CS03533-SERVICE-TEST AND EXAMINE TREE LIFTING EQUIPMENT,B000024367/61184,Procranes Ltd,24/10/23,284.00
Underspends Bids,Private Contractors Work,CS03534-SERVICE-TO FELL TWO ASH TREES WITH ASH DIEBACK,B000024367/68795,Tree Care Extraordinaire,24/10/23,850.00
Recycling Collection,Vehicle Tracker / Fuel/ Cctv,CS03525-SERVICE-AS ABOVE,B000024367/8388,Vision Techniques Ltd,24/10/23,510.00
Refuse Collection,Vehicle Tracker / Fuel/ Cctv,CS03525-SERVICE-12 MONTHS SIM AND SERVER PACKAGE,B000024367/8388,Vision Techniques Ltd,24/10/23,510.00
Haworth Art Gallery,Wedding Expenditure,G K SHARE OF 3 X AUGUST WEDDINGS,B000024368/57628,S.R.S. Catering Ltd,24/10/23,"5,250.00"
Haworth Art Gallery,Wedding Expenditure,G K SHARE OF 3 X SEPTEMBER WEDDINGS,B000024368/57628,S.R.S. Catering Ltd,24/10/23,"5,250.00"
Oswaldtwistle Civic Theatre,General Repair & Maint Bldgs,OSWALDTWISTLE CIVIC THEATRE - EICR - 5YR FIXED WIRING TEST AND INSPECTIONS,B000024368/60330,Calbarrie Compliance Services,24/10/23,"1,306.60"
Parks & Open Spaces,Asset Maint R&M,OAKHILL PARK SERVICE BUILDING - WATER RISK ASSESSMENT,B000024368/68680,H S L Compliance,24/10/23,230.00
Allotments,Photocopying,PHOTOCOPIER,B000024369/60165,Specialist Computer Centres Plc,24/10/23,14.68
Building Control B.U.,Photocopying,PHOTOCOPIER,B000024369/60165,Specialist Computer Centres Plc,24/10/23,58.72
Consultancy-Engineering Div,Photocopying,PHOTOCOPIER,B000024369/60165,Specialist Computer Centres Plc,24/10/23,29.34
Development,Photocopying,PHOTOCOPIER,B000024369/60165,Specialist Computer Centres Plc,24/10/23,117.36
Development Control B.U.,Photocopying,PHOTOCOPIER,B000024369/60165,Specialist Computer Centres Plc,24/10/23,117.44
Environmental Initiatives B.U.,Photocopying,PHOTOCOPIER,B000024369/60165,Specialist Computer Centres Plc,24/10/23,29.34
Housing Advice,Photocopying,PHOTOCOPIER,B000024369/60165,Specialist Computer Centres Plc,24/10/23,73.40
Management Business Unit,Photocopying,PHOTOCOPIER,B000024369/60165,Specialist Computer Centres Plc,24/10/23,14.68
Planning Policy B.U.,Photocopying,PHOTOCOPIER,B000024369/60165,Specialist Computer Centres Plc,24/10/23,14.68
Building Control B.U.,Agency Staff,W/C 04.09.23 & 18.09.23,B000024369/68845,Brg Interim Solutions Limited,24/10/23,"2,383.55"
Development,Contbn Hyndburn Homewise,HOME IMPROVEMENT AGENCY OCT- DEC 2023,B000024371/1957,Homewise Society Ltd,24/10/23,"6,233.13"
Customer Services,Computer Rental & Maint,UNIVERSAL CAPTURE LICENCES X50,B000024371/65823,Nec Software Solutions Uk Ltd,24/10/23,158.12
Housing Benefit Administration,Computer Rental & Maint,UNIVERSAL CAPTURE LICENCES X50,B000024371/65823,Nec Software Solutions Uk Ltd,24/10/23,316.29
Local Taxation,Computer Rental & Maint,UNIVERSAL CAPTURE LICENCES X50,B000024371/65823,Nec Software Solutions Uk Ltd,24/10/23,316.28
General Expenses,Cabinet Action Fund,CONTRIBUTION - REPAIR TO CHIMES OF CLOCK,B000024372/68848,Great Harwood Civic Society,24/10/23,"1,500.00"
Cvmu,Materials-Direct,RADIO,B000024375/64658,Keith Clement Auto Electrical Service Limited,24/10/23,255.00
Ds7159 The Plough Tanpits Rd,General Repair & Maint Bldgs,ROAD CLOSURE SIGNAGE & MANAGEMENT,B000024376/64476,Kays Highways Ltd,24/10/23,805.00
Accrington Crematorium,Urns & Caskets,MUSIC/MEDIA CHARGES,B000024379/55609,Obitus (Vivedia Ltd),24/10/23,"1,188.00"
Waste Services,Agency Staff,AGENCY STAFF W/C 25.9.23,B000024379/61971,Rapid Recruit Ltd,24/10/23,"1,490.80"
Waste Services,Protective Clothing,CS03536-SERVICE-198A SIOEN MONORAY HI VIS JACKET M/L,B000024382/666,"Bubbles, Brushes & Wiper Co Ltd",24/10/23,109.98
Waste Services,Protective Clothing,CS03536-SERVICE-199A SIOEN MONORAY HI VIS TROUSERS M/L,B000024382/666,"Bubbles, Brushes & Wiper Co Ltd",24/10/23,206.82
Waste Services,Protective Clothing,CS03536-SERVICE-ORIGINAL MCKENZIE LUMBER SUPPORT,B000024382/666,"Bubbles, Brushes & Wiper Co Ltd",24/10/23,29.95
Waste Services,Protective Clothing,CS03536-SERVICE-RT22 PORTWEST HI VIS ORANGE POLO M/L/XL,B000024382/666,"Bubbles, Brushes & Wiper Co Ltd",24/10/23,69.93
Waste Services,Protective Clothing,CS03536-SERVICE-S919 PORTWEST HI VIS TROUSERS M,B000024382/666,"Bubbles, Brushes & Wiper Co Ltd",24/10/23,127.48
Waste Services,Protective Clothing,CS03536-SERVICE-UF-01-012 3M ULTRAFIT EAR PLUGS SNR 20,B000024382/666,"Bubbles, Brushes & Wiper Co Ltd",24/10/23,69.98
Cvmu,Materials-Direct,BODY PANEL COVER,B000024383/7688,Aebi Schmidt Uk Ltd,24/10/23,862.08
Library St Depot,Water Charges,WATER CHARGES CVMU 07.9.23-06.10.23,B000024383/8325,Water Plus Ltd,24/10/23,375.67
Housing Benefit Administration,Agency Staff,TEMP STAFF - W/E 08.10.23,B000024390/33923,Eden Brown Limited,24/10/23,"1,010.10"
Housing Benefit Administration,Agency Staff,TEMP STAFF - W/E 15.10.23,B000024390/33923,Eden Brown Limited,24/10/23,"1,010.10"
Corporate Property,Electricity,ELECTRICITY - 12 BROADWAY - 06.09.23 - 30.09.23,B000024390/65135,E-On Next Energy Ltd,24/10/23,299.39
Development Control B.U.,Agency Staff,TEMP STAFF - W/E 15.10.23,B000024390/67448,Macdonald & Company,24/10/23,"1,216.33"
Planning Policy B.U.,Agency Staff,TEMP STAFF - W.E 15.10.23,B000024390/67448,Macdonald & Company,24/10/23,"1,040.00"
Leisure In Hyndburn,Grants-General,HLT ARMED FORCES CONTRIBUTIONS - JULY / AUG / SEPT 23,B000024391/29112,Hyndburn Leisure,24/10/23,818.30
Leisure In Hyndburn,Grants-General,HLT CONTRIBUTIONS - JULY / AUG / SEPT 23,B000024391/29112,Hyndburn Leisure,24/10/23,345.00
Leisure In Hyndburn,Grants-General,HLT SWIMING CONTRIBUTIONS - JULY / AUG / SEPT 23,B000024391/29112,Hyndburn Leisure,24/10/23,"2,838.00"
Markets - Operations,Water Charges,MARKET HALL - 23.07.23 - 22.08.23,B000024392/8325,Water Plus Ltd,24/10/23,802.08
Markets - Operations,Water Charges,MARKET HALL - 23.08.23 - 22.09.23,B000024392/8325,Water Plus Ltd,24/10/23,802.08
Disabled Facilities General,Contractor Other,DFG - 11201 ,B000024395/67621,Buildeasi Nw Ltd,24/10/23,"4,890.10"
Emergency Works Grant,Contractor Other,EMERGENCY WORKS GRANT,B000024395/68216,Scl Building Services Limited,24/10/23,"5,668.02"
Building Control B.U.,Agency Staff,TEMP STAFF - W/C 11.09.23,B000024395/68845,Brg Interim Solutions Limited,24/10/23,"1,473.55"
Administration Services,Postages,POSTAGE,B000024395/7231,Pitney Bowes Ltd,24/10/23,"11,963.40"
Disabled Facilities General,Contractor Other,DT02466-SERVICE-DFG 11418,B000024396/68658,1st Choice Frames Ltd,24/10/23,"1,350.00"
Disabled Facilities General,Contractor Other,DT02525-SERVICE-DFG 11549,B000024396/7874,Stannah Lift Services Limited,24/10/23,"2,767.00"
Leisure In Hyndburn,Lih R&M,FT00950- ACCRINGTON TOWN HALL- ANNUAL INSPECTION OF FALL PROTECTION SYSTEM,B000024358/66640,Highwire Ltd,26/10/23,620.00
Human Resources,Training Expenses,AEA CONFERENCE,B000024362/40897,The Association Of Electoral Administrators,26/10/23,500.00
Registration Of Electors,Training Expenses,AEA CONFERENCE,B000024362/40897,The Association Of Electoral Administrators,26/10/23,175.00
Housing Benefit Administration,Legal Fees,DEBT COLLECTION,B000024362/66036,Marston (Holdings) Ltd,26/10/23,619.42
Tipping Charges,Hired Vehicle,EMPTY WASTE BAYS W/L,B000024364/9294,Stanley Brothers (Tippers) Ltd,26/10/23,540.00
Accrington Crematorium,Medical Referee Fees,MEDICAL REFEREE AUTHORISATION,B000024365/7171,Peel House Medical Practice,26/10/23,"5,456.00"
Corporate Property Bus Unit,Subsidised Professional Subs,SUBS TAYO OLANITE,B000024384/35163,Rics,26/10/23,161.00
Human Resources,Training Expenses,SUBS TAYO OLANITE,B000024384/35163,Rics,26/10/23,502.00
Haworth Art Gallery,Wedding Expenditure,GALLERY KITCHEN SHARE OF OCTOBER WEDDINGS,B000024384/57628,S.R.S. Catering Ltd,26/10/23,"3,500.00"
Parks & Open Spaces,Agency Staff,AGENCY STAFF PARKS W/C 02.10.2023,B000024393/19414,Proman Supply Chain Ltd,26/10/23,"1,845.96"
Dog Warden,Kenneling - Daytime,KENNELLING CONTRACT,B000024393/36271,Aspen Valley Boarding Kennels & Cattery,26/10/23,"1,282.28"
Mercer Park Play Area,Contractor Other,3RD PARTY CONTRIBUTION PAYMENT FOR MERCER PARK PLAY AREA GRANT OFFER,B000024393/60889,Lancashire Environmental Fund,26/10/23,"4,400.00"
Commercial Collections,Landfill Tax,AS ABOVE,B000024393/8810,Suez Recycling And Recovery Uk Ltd,26/10/23,"9,376.88"
Commercial Collections,Waste Disposal Charges,TRADE WASTE,B000024393/8810,Suez Recycling And Recovery Uk Ltd,26/10/23,"2,307.04"
Library St Depot,Water Charges,WATER CHARGES CVMU 7.9.23-6.10.23,B000024394/8325,Water Plus Ltd,26/10/23,375.67
Fire Risk Assess Works Various,Contractor Other,OAKHILL TENNIS PAVILION - INSTALL FIRE ALARM SYSTEM FOLLOWING RECENT FRA,B000024398/24998,Full Circuit Fire & Security Ltd,26/10/23,"3,172.04"
Fire Risk Assess Works Various,Contractor Other,SCAITCLIFFE HOUSE - REMEDIAL WORKS FOLLOWING FRA,B000024398/24998,Full Circuit Fire & Security Ltd,26/10/23,"1,697.90"
Market Chambers - Luf,Legal Fees,LEGAL FEES - MARKET CHAMBER,B000024398/66553,Womble Bond Dickinson,26/10/23,821.50
Market Chambers - Luf,Legal Fees,LEGAL FEES - MARKET CHAMBERS,B000024398/66553,Womble Bond Dickinson,26/10/23,"3,090.50"
Accrington Crematorium,Electricity,ELECTRIC 16.09.23 - 16.10.23 SITE 2 ACC CREM,B000024399/59343,Edf Energy,26/10/23,"2,149.60"
Acc Town Hall,Energy,ELECTRIC 16.09.23 - 16.10.23 SITE 8 FEEDER PILLAR ACC TOWN HALL,B000024399/59343,Edf Energy,26/10/23,49.29
Cannon St Acc,Electricity,ELECTRIC 16.09.23 - 16.10.23 SITE 11 CANNON ST,B000024399/59343,Edf Energy,26/10/23,65.87
Corporate Property,Electricity,ELECTRIC 16.09.23 - 16.10.23 SITE 31 GH CLOCK TOWER,B000024399/59343,Edf Energy,26/10/23,45.20
Elmfield Hall Flats,Electricity,ELECTRIC 16.09.23 - 16.10.23 SITE 13 ELMFIELD FLATS,B000024399/59343,Edf Energy,26/10/23,48.95
Haworth Art Gallery,Electricity,ELECTRIC 16.09.23 - 16.10.23 SITE 1 HAWORTH PARK,B000024399/59343,Edf Energy,26/10/23,547.50
Haworth Art Gallery,Electricity,ELECTRIC 16.09.23 - 16.10.23 SITE 21 HAWORTH ART GALLERY,B000024399/59343,Edf Energy,26/10/23,764.03
Haworth Stables,Electricity,ELECTRIC 16.09.23 - 16.10.23 SITE 27 HAWORTH STABLES AND MOTOR HOUSE,B000024399/59343,Edf Energy,26/10/23,364.28
Hyndburn Cemeteries,Electricity,ELECTRIC 16.09.23 - 16.10.23 SITE 20 DILL HALL CEM,B000024399/59343,Edf Energy,26/10/23,24.41
Hyndburn Cemeteries,Electricity,ELECTRIC 16.09.23 - 16.10.23 SITE 25 WALL OF REMEMBRANCE,B000024399/59343,Edf Energy,26/10/23,22.46
Hyndburn Cemeteries,Electricity,ELECTRIC 16.09.23 - 16.10.23 SITE 28 ACC CEM OFFICE,B000024399/59343,Edf Energy,26/10/23,661.35
Hyndburn Cemeteries,Electricity,ELECTRIC 16.09.23 - 16.10.23 SITE 3 GH CEM SERV BLDG,B000024399/59343,Edf Energy,26/10/23,933.58
Leisure In Hyndburn,Electricity,ELECTRIC 16.09.23 - 16.10.23 HYND LEISURE,B000024399/59343,Edf Energy,26/10/23,"39,300.63"
Markets - Operations,Electricity,ELECTRIC 16.09.23 - 16.10.23 SITE 15 UNIT 15 PEEL ST,B000024399/59343,Edf Energy,26/10/23,611.14
Markets - Operations,Electricity,ELECTRIC 16.09.23 - 16.10.23 SITE 18 UNIT 5-6 PEEL ST,B000024399/59343,Edf Energy,26/10/23,952.86
Markets - Operations,Electricity,ELECTRIC 16.09.23 - 16.10.23 SITE 29 SERV YARD ACC MRKET HALL,B000024399/59343,Edf Energy,26/10/23,69.83
Parks & Open Spaces,Electricity,ELECTRIC 16.09.23 - 16.10.23 SITE 12 MEMORIUAL PARK,B000024399/59343,Edf Energy,26/10/23,14.15
Parks & Open Spaces,Electricity,ELECTRIC 16.09.23 - 16.10.23 SITE 14 OAKHILL PARK BANDSTAND,B000024399/59343,Edf Energy,26/10/23,41.55
Parks & Open Spaces,Electricity,ELECTRIC 16.09.23 - 16.10.23 SITE 16 MERCR HOUSE FLOODLIGHTING,B000024399/59343,Edf Energy,26/10/23,82.37
Parks & Open Spaces,Electricity,ELECTRIC 16.09.23 - 16.10.23 SITE 17 OAKHILL PARK,B000024399/59343,Edf Energy,26/10/23,298.04
Parks & Open Spaces,Electricity,ELECTRIC 16.09.23 - 16.10.23 SITE 19 WILSONS,B000024399/59343,Edf Energy,26/10/23,400.41
Parks & Open Spaces,Electricity,ELECTRIC 16.09.23 - 16.10.23 SITE 23 GATTY PARK GREENHOUSES,B000024399/59343,Edf Energy,26/10/23,60.21
Parks & Open Spaces,Electricity,ELECTRIC 16.09.23 - 16.10.23 SITE 26 MILNSHAW PARK,B000024399/59343,Edf Energy,26/10/23,78.03
Parks & Open Spaces,Electricity,ELECTRIC 16.09.23 - 16.10.23 SITE 30 LOWERFOLD PAV,B000024399/59343,Edf Energy,26/10/23,51.18
Parks & Open Spaces,Electricity,ELECTRIC 16.09.23 - 16.10.23 SITE 32 BULLOUGH PARK PAV,B000024399/59343,Edf Energy,26/10/23,581.04
Parks & Open Spaces,Electricity,ELECTRIC 16.09.23 - 16.10.23 SITE 4 MEMORIAL PARK,B000024399/59343,Edf Energy,26/10/23,199.74
Parks & Open Spaces,Electricity,ELECTRIC 16.09.23 - 16.10.23 SITE 5 WHITE ASH,B000024399/59343,Edf Energy,26/10/23,439.82
Parks & Open Spaces,Electricity,ELECTRIC 16.09.23 - 16.10.23 SITE 6 PARKER ST BOWLS,B000024399/59343,Edf Energy,26/10/23,25.86
Parks & Open Spaces,Electricity,ELECTRIC 16.09.23 - 16.10.23 SITE 7 PEEL PARK,B000024399/59343,Edf Energy,26/10/23,52.15
Parks & Open Spaces,Electricity,ELECTRIC 16.09.23 - 16.10.23 SITE 9 RHYDDINGS PARK BOWLS,B000024399/59343,Edf Energy,26/10/23,45.53
Ranger St Compound & Depot,Electricity,ELECTRIC 16.09.23 - 16.10.23 RANGER ST,B000024399/59343,Edf Energy,26/10/23,180.50
Willows Lane Depot,Electricity,ELECTRIC 16.09.23 - 16.10.23 SITE 24 WILLOWS LANE DEPOT,B000024399/59343,Edf Energy,26/10/23,"15,076.07"
Licensing,Barristers Fees,BARRISTER FEES,B000024400/61448,Trinity Chambers,26/10/23,700.00
Administration Expenses,Stationery,STATIONERY,B000024400/67355,Ot Group Limited,26/10/23,222.15
Customer Services,Office Consumables,STATIONERY,B000024400/67355,Ot Group Limited,26/10/23,274.71
Disabled Facilities General,Contractor Other,DT02508-SERVICE-DFG 11213,B000024401/59301,Consultants & Spec Surveyors Ltd,26/10/23,495.00
Housing Advice,Temporary Accommodation,X 47 NIGHTS,B000024402/67383,Molesworth Hotel,26/10/23,"3,713.00"
Housing Advice,Temporary Accommodation,X 54 NIGHTS,B000024402/67383,Molesworth Hotel,26/10/23,"4,266.00"
Disabled Facilities General,Contractor Other,DT02520-SERVICE-DFG 11561,B000024406/30178,B3p Services Ltd,26/10/23,"5,247.00"
Computer Services,Rental & Maint Software Misc,AT03129-SERVICE-100MB CIRCUIT SH TO CEM 01102023 - 30092024,B000024406/57313,Networking People (North West) Ltd,26/10/23,"2,282.61"
Disabled Facilities General,Contractor Other,DT02524-SERVICE-DFG 11268,B000024406/59301,Consultants & Spec Surveyors Ltd,26/10/23,295.00
Burton Chambers  - Luf,Miscellaneous,RELOCATION SURVERY COST- BETFRED,B000024362/34808,Done Brothers (Cash Betting) Ltd,31/10/23,"2,858.00"
Environmental Protection,Agency Staff,VIVID RESOURCING P/E 01/10/23,B000024362/61860,Vivid Resourcing,31/10/23,"1,850.00"
Environmental Protection,Agency Staff,"VIVID RESOURCING P/E 24-09-23, 30-09-23 & 01-10-23",B000024362/61860,Vivid Resourcing,31/10/23,"1,756.76"
Vat Only Suspense,Misc Expenses Other,VAT INVOICE,B000024362/66036,Marston (Holdings) Ltd,31/10/23,"4,339.37"
Housing Advice,Agency Staff,AGENCY STAFF  W/E  29/09/2023,B000024363/61860,Vivid Resourcing,31/10/23,"1,237.68"
Haworth Art Gallery,Collections Care,ANNUAL SERVICE PLAN - FROM 1ST OCTOBER 2023,B000024366/20441,Meaco Measurements,31/10/23,444.00
Land Charges,Search Fees,LOCAL LAND CHAFGE SEARCHES - SEPT 2023,B000024366/2496,Lancashire County Council,31/10/23,323.40
Building Control B.U.,Agency Staff,TEMP STAFF - W/C 25.09.23,B000024366/58852,Oyster Partnership,31/10/23,"1,002.96"
Development Control B.U.,Agency Staff,TEMP STAFF - W/C 11.09.23,B000024366/58852,Oyster Partnership,31/10/23,463.20
Development Control B.U.,Agency Staff,TEMP STAFF - W/C 25.09.23,B000024366/58852,Oyster Partnership,31/10/23,463.20
Hmo,Agency Staff,TEMP STAFF - W/C 18.09.23,B000024366/58852,Oyster Partnership,31/10/23,"1,415.96"
Hmo,Agency Staff,TEMP STAFF - W/C 25.09.23,B000024366/58852,Oyster Partnership,31/10/23,949.00
Hmo,Agency Staff,TEMP STAFF = W/C 25.09.23,B000024366/58852,Oyster Partnership,31/10/23,"1,640.60"
Housing Standards,Agency Staff,TEMP STAFF - W/C 25.09.23,B000024366/58852,Oyster Partnership,31/10/23,873.90
Planning Policy B.U.,Agency Staff,TEMP STAFF - W/C 25.09.23,B000024366/58852,Oyster Partnership,31/10/23,"1,335.00"
Building Control B.U.,Agency Staff,W/C 25.09.23,B000024369/68845,Brg Interim Solutions Limited,31/10/23,"1,518.46"
Huncoat Housing Zone,Fees-Analysts & Consultants,"RELIEF ROAD, SURVEYS ETC",B000024371/59167,Arcadis Consulting (Uk) Ltd,31/10/23,"54,000.00"
Accountancy,Agency Staff,TEMP STAFF W/E 25.9.23,B000024372/58852,Oyster Partnership,31/10/23,"3,550.00"
General Expenses,Cabinet Action Fund,CONTRIBUTION TOWARDS NEW FLOOR,B000024372/68849,West End Methodist Church,31/10/23,750.00
Cvmu,Materials-Direct,BEARINGS AND TRACK ROD,B000024375/1164,Dennis Eagle Limited,31/10/23,877.33
Corporate Property,Asset Maint R&M,"FT00986- PARADISE STREET CAR PARK- REPLACE GATE, CUT DOWN TREE & CHIP ONSITE",B000024376/14998,Sterling Construction (Services) Ltd,31/10/23,650.00
General Maintenance,Work Done Dlo-Highways,BAMFORD CRESCENT TRASH SCREEN CLEARANCE,B000024376/14998,Sterling Construction (Services) Ltd,31/10/23,300.00
Land Charges,Agency Staff,LAND CHARGES OFFICER STAFF COSTS,B000024376/45531,Borough Of Pendle,31/10/23,"16,441.56"
Hmo,Agency Staff,HOUSING CONTRACTOR- W/C 02/10/23,B000024376/58852,Oyster Partnership,31/10/23,"1,300.00"
Allotments,General Repair & Maint Bldgs,URGENT REMOVAL FLYTIPPING,B000024376/59338,Waste Busters Waste Removal,31/10/23,"1,500.00"
Dev Control,Fees-Analysts & Consultants,(WHATMORE UK LTD V HBC) ADVISING,B000024376/68858,Miss Constanze Bell,31/10/23,"1,750.00"
General Maintenance,Work Done Dlo-Highways,"WOODLANDS TRASH SCREEN, REMOVAL OF DEBRIS FROM SITE",B000024377/14998,Sterling Construction (Services) Ltd,31/10/23,600.00
Building Control B.U.,Agency Staff,CONTRACTOR- PLANNING- W/C 02/10/23,B000024377/58852,Oyster Partnership,31/10/23,945.00
Development Control B.U.,Agency Staff,CONTRACTOR- PLANNING- W/C 02/10/23,B000024377/58852,Oyster Partnership,31/10/23,463.20
Hmo,Agency Staff,CONTRACTOR- HOUSING-W/C 02/10/23,B000024377/58852,Oyster Partnership,31/10/23,"1,940.64"
Housing Standards,Agency Staff,CONTRACTOR- HOUSING-W/C 02/10/23,B000024377/58852,Oyster Partnership,31/10/23,769.50
Ukspf - Regeneration,Marketing/Promotion,WINDOW DECALS,B000024377/66163,Media Village,31/10/23,"1,437.00"
