Service Cost Centre,Account Detail,Description,HBC ref no,Name,Payment date,Net Amount(œ)
SOUND/VISUAL SYSTEM CREM,CONTRACTOR OTHER,OOH CALL OUT FOR MUSIC SYSTEM ,B000018799/55609,OBITUS (VIVEDIA LTD),24-Apr-17,1560.00
STREET CLEANSING,AGENCY STAFF,AGENCY STAFF WASTE SERVICES  W,B000018799/55740,RAPID RECRUITMENT LTD,24-Apr-17,2865.26
STREET CLEANSING,AGENCY STAFF,AGENCY STAFF WASTE SERVICES X ,B000018799/55740,RAPID RECRUITMENT LTD,24-Apr-17,3236.72
WILLOWS LANE DEPOT,DEPOT COSTS,"DRILL, RACHET SET AND POWER TO",B000018799/8487,WHEWELLS OF ACCRINGTON,24-Apr-17,363.98
WILLOWS LANE DEPOT,DEPOT COSTS,TIMBER FOR WILLOWS LANE DEPOT,B000018799/8487,WHEWELLS OF ACCRINGTON,24-Apr-17,324.92
TIPPING CHARGES,HIRED VEHICLE,TIPPING CHARGES 11/4/17 WILLOW,B000018799/9294,STANLEY BROTHERS (TIPPERS) LTD,24-Apr-17,390.00
TIPPING CHARGES,HIRED VEHICLE,TIPPER HIRE FOR WASTE REMOVAL ,B000018799/9294,STANLEY BROTHERS (TIPPERS) LTD,24-Apr-17,390.00
TIPPING CHARGES,HIRED VEHICLE,TIPPING COSTS FOR WILLOWS LANE,B000018799/9294,STANLEY BROTHERS (TIPPERS) LTD,24-Apr-17,390.00
HYNDBURN CEMETERIES,NEW EQUIPMENT,HONDA HRH 536 QX WITH REAR ROL,B000018800/1640,GIBSONS GARDEN MACHINERY LTD,24-Apr-17,1194.00
STREET SEATS GENERAL,WORK DONE DLO-HIGHWAYS,TIMBER TO REPAIR BENCHES OUTSI,B000018800/2102,JAS TIMBER,24-Apr-17,543.38
RHYDDINGS PARK LOTTERY,MISCELLANEOUS,TO CARRY OUT DITUES IN RESPECT,B000018800/24110,NEWGROUND CIC,24-Apr-17,5994.00
RHYDDINGS PARK LOTTERY,MISCELLANEOUS,TO CARRY OUT TEMPORARY REMOVAL,B000018800/2506,LANCASHIRE COUNTY COUNCIL,24-Apr-17,378.80
GREEN INFRASTRUCTURE,MISC EXPENSES OTHER,PROVIDE A TOPOGRAPHICAL SITE S,B000018800/44721,SITE SURVEYING SERVICES,24-Apr-17,275.00
VEHICLE MAINT SUPERVISION,CONTRACT HIRE,HIRE AGREEMENT NO 105307,B000018800/46880,SPECIALIST FLEET SERVICES LTD,24-Apr-17,2644.75
VEHICLE MAINT SUPERVISION,CONTRACT HIRE,HIRE AGREEMENT NO 105477,B000018800/46880,SPECIALIST FLEET SERVICES LTD,24-Apr-17,2644.75
VEHICLE MAINT SUPERVISION,CONTRACT HIRE,HIRE AGREEMENT NO. 105478,B000018800/46880,SPECIALIST FLEET SERVICES LTD,24-Apr-17,2644.75
VEHICLE MAINT SUPERVISION,CONTRACT HIRE,AGREEMENT NUMBER 105305,B000018800/46880,SPECIALIST FLEET SERVICES LTD,24-Apr-17,2644.75
VEHICLE MAINT SUPERVISION,CONTRACT HIRE,œ2644.75 PER MONTH PER VEHICLE,B000018800/46880,SPECIALIST FLEET SERVICES LTD,24-Apr-17,2644.75
PARKS & OPEN SPACES,PLAYGROUND REPAIRS,CRADLE SWING SEATS,B000018800/55573,HAGS - SMP LTD,24-Apr-17,548.00
ACCRINGTON CREMATORIUM,NEW EQUIPMENT,Support Charge - Crematorium M,B000018800/55609,OBITUS (VIVEDIA LTD),24-Apr-17,1198.00
PARKS & OPEN SPACES,GRASS CUTTING CONTRACT,GRASS CUTTING HIGHAMS,B000018800/57700,MASTER GROUND SERVICES,24-Apr-17,7226.56
RHYDDINGS PARK LOTTERY,MISCELLANEOUS,IN THE ATTACHED JCLI CONTRACT ,B000018800/58933,HORTICON LTD,24-Apr-17,33423.46
PARKS & OPEN SPACES,PRIVATE CONTRACTORS WORK,6 x steel benches,B000018800/59499,S L WROUGHT IRON LTD,24-Apr-17,1530.00
ACCRINGTON CREMATORIUM,MEDICAL REFEREE FEES,INVOICED QUARTERLY,B000018800/7171,PEEL HOUSE MEDICAL PRACTICE,24-Apr-17,3170.00
DISABLED FACILITIES GENERAL,CONTRACTOR OTHER,DFG 10085 - 34 MILTON STREET,B000018801/25868,HYNDBURN PLUMBING & HEATING SERVICES,24-Apr-17,3375.00
DISABLED FACILITIES GENERAL,CONTRACTOR OTHER,DFG 10085 - 34 MILTON STREET,B000018801/50640,PRISM MEDICAL UK,24-Apr-17,3048.93
ACC TOWN HALL,CLEANING OF BUILDINGS,CLEANING - FEB 17,B000018802/29112,HYNDBURN LEISURE,24-Apr-17,860.54
ACC TOWN HALL,CLEANING OF BUILDINGS,CLEANING - MAR 17,B000018802/29112,HYNDBURN LEISURE,24-Apr-17,860.54
DISABLED FACILITIES GENERAL,CONTRACTOR OTHER,DFG 10085 - 34 MILTON STREET,B000018802/31295,ASTOR-BANNERMAN (MEDICAL)LTD,24-Apr-17,6009.00
PARKS & OPEN SPACES,ASSET MAINT R&M,WORKS TO DILL HALL CEM BOUNDAR,B000018802/45450,MERCERS BUILDERS LTD,24-Apr-17,6800.00
CORPORATE PROPERTY,BARRISTERS FEES,WRITTEN OPINION,B000018802/59682,MR RICHARD PRICE,24-Apr-17,450.00
INSURANCES,EXCESS PAYMENTS,INSURANCE CLAIM,B000018802/59685,MR ZAHID HUSSAIN,24-Apr-17,370.30
HEALTH OFFICERS,ADVERTISING,VACANCY ADVERT,B000018802/59687,BLUETOWNONLINE LTD,24-Apr-17,299.00
HYNDBURN CEMETERIES,ADVERTISING,VACANCY ADVERT,B000018802/59687,BLUETOWNONLINE LTD,24-Apr-17,299.00
VEHICLE MAINT SUPERVISION,MATERIALS-STOCK ISSUES,FILTERS,B000018804/21709,BBC SUPERFACTORS LTD,26-Apr-17,318.60
VEHICLE MAINT WORK DONE,MATERIALS-DIRECT,ANTIFREEZE OILS ETC,B000018804/59186,SAR LUBRICANTS,26-Apr-17,388.25
VEHICLE MAINT WORK DONE,MATERIALS-DIRECT,HYDRAULIC PUMP,B000018804/59671,DYNAMIC PUMPS SERVICES LTD,26-Apr-17,515.00
VEHICLE MAINT WORK DONE,MATERIALS-DIRECT,FAN,B000018804/7688,AEBI SCHMIDT UK LTD,26-Apr-17,1156.63
VEHICLE MAINT SUPERVISION,MATERIALS-DIRECT,FAN,B000018804/7688,AEBI SCHMIDT UK LTD,26-Apr-17,1156.63
VEHICLE MAINT SUPERVISION,IMPLEMENTS & TOOLS,SIDE M ARKER LAMPS,B000018804/8429,WALSH AND MIDGLEY LTD,26-Apr-17,270.30
HOMELESSNESS-302 BURNLEY RD AC,RATES,HFU - 1.4.17-31.3.18,B000018805/1937,HYNDBURN BOROUGH COUNCIL,26-Apr-17,3095.07
HOMELESSNESS-302 BURNLEY RD AC,RATES,WARDENS FLAT - 1.4.17-31.3.18,B000018805/1937,HYNDBURN BOROUGH COUNCIL,26-Apr-17,1969.58
SCAITCLIFFE HOUSE,RATES,ORMEROD ST - 1.4.17-31.3.18,B000018805/1937,HYNDBURN BOROUGH COUNCIL,26-Apr-17,524.25
OFF STREET PARKING,RATES,MONARCH ST - 1.4.17 TO 31.3.18,B000018805/1937,HYNDBURN BOROUGH COUNCIL,26-Apr-17,419.40
GYPSY SITE,RATES,GYPSY SITE- 1.4.17-31.3.18,B000018805/1937,HYNDBURN BOROUGH COUNCIL,26-Apr-17,1152.33
ACCRINGTON MARKET,RATES,PEEL ST - 1.4.17-31.3.18,B000018805/1937,HYNDBURN BOROUGH COUNCIL,26-Apr-17,5126.00
OFF STREET PARKING,RATES,OAK STREET - 1.4.17-31.3.18,B000018805/1937,HYNDBURN BOROUGH COUNCIL,26-Apr-17,7106.50
OFF STREET PARKING,RATES,KAY STREET - 1.4.17-31.3.18,B000018805/1937,HYNDBURN BOROUGH COUNCIL,26-Apr-17,594.15
OFF STREET PARKING,RATES,UNION ROAD - 1.4.17-31.3.18,B000018805/1937,HYNDBURN BOROUGH COUNCIL,26-Apr-17,382.12
OFF STREET PARKING,RATES,WELLINGTON ST - 1.4.17-31.3.18,B000018805/1937,HYNDBURN BOROUGH COUNCIL,26-Apr-17,803.85
OFF STREET PARKING,RATES,SCHOOL ST - 1.4..17-31.3.18,B000018805/1937,HYNDBURN BOROUGH COUNCIL,26-Apr-17,780.55
OFF STREET PARKING,RATES,ELLISON STREET - 1.4.17-31.3.1,B000018805/1937,HYNDBURN BOROUGH COUNCIL,26-Apr-17,1537.80
OFF STREET PARKING,RATES,WARD ST - 1.4.17-31.3.18,B000018805/1937,HYNDBURN BOROUGH COUNCIL,26-Apr-17,349.50
OFF STREET PARKING,RATES,KING STREET - 1.4.17-31.3.18,B000018805/1937,HYNDBURN BOROUGH COUNCIL,26-Apr-17,3541.60
OFF STREET PARKING,RATES,PARADISE ST - 1.4.17-31.3.18,B000018805/1937,HYNDBURN BOROUGH COUNCIL,26-Apr-17,3262.00
OFF STREET PARKING,RATES,CROSS ST - 1.4.17 TO 31.3.18,B000018805/1937,HYNDBURN BOROUGH COUNCIL,26-Apr-17,1677.60
OFF STREET PARKING,RATES,DERBY ST - 1.4.17 TO 31.3.18,B000018805/1937,HYNDBURN BOROUGH COUNCIL,26-Apr-17,838.80
OFF STREET PARKING,RATES,CURATE ST 1.4.17-31.3.18,B000018805/1937,HYNDBURN BOROUGH COUNCIL,26-Apr-17,1631.00
OFF STREET PARKING,RATES,COMMERCIAL ST 1.4.17-31.3.18,B000018805/1937,HYNDBURN BOROUGH COUNCIL,26-Apr-17,279.60
OFF STREET PARKING,RATES,549 MANCHESTER RD- 1.4.17-31.3,B000018805/1937,HYNDBURN BOROUGH COUNCIL,26-Apr-17,363.48
OFF STREET PARKING,RATES,EASTGATE - 1.4.17-31.3.17,B000018805/1937,HYNDBURN BOROUGH COUNCIL,26-Apr-17,4566.80
INSURANCES,PREMIUMS PAID,TERRORISM INSURANCE 2017/18,B000018806/57918,AON UK LTD,26-Apr-17,4950.00
INSURANCES,BROKERS FEES,BROKERS FEES 2017/18,B000018806/57918,AON UK LTD,26-Apr-17,7000.00
INSURANCES,PREMIUMS PAID,PERSONAL ACCIDENT INSURANCE 20,B000018806/57918,AON UK LTD,26-Apr-17,780.34
INSURANCES,PREMIUMS PAID,FINE ARTS INSURANCE 2017/18,B000018806/57918,AON UK LTD,26-Apr-17,6249.69
INSURANCES,PREMIUMS PAID,ENGINEERING INSPECTION 2017/18,B000018806/57918,AON UK LTD,26-Apr-17,6188.04
INSURANCES,PREMIUMS PAID,EMPLOYERS LIABILITY 2017/18,B000018806/57918,AON UK LTD,26-Apr-17,102488.20
SUPERANNUATION,SALARIES PAYMY OVER SUSPENSE,APRIL 17,B000018806/59556,NHS BUSINESS SERVICES AUTHORITY,26-Apr-17,1432.96
HOUSING BENEFIT ADMINISTRATION,COMPUTER RENTAL & MAINT,DATA SOCKETS,B000018806/7968,T I S LTD,26-Apr-17,497.00
GENERAL MAINTENANCE,WORK DONE DLO-HIGHWAYS,TRASH SCREEN CLEARANCE,B000018810/38733,MARCHBRIDGE BUILDERS LTD,28-Apr-17,310.50
EXTERNAL ELECTIONS 2017,PREPARATION POLL CARDS,EMPTY RPOPERTY POLL CARDS,B000018810/44031,PRINT IMAGE NETWORK LTD,28-Apr-17,4053.06
AFFORDABLE WARMTH GRANT,CONTRACTOR OTHER,REPLACEMENT BOILER - 30 FOUNTA,B000018810/50717,HIGH EFFICIENCY LTD,28-Apr-17,1675.00
ALTHAM PARISH PRECEPT,MISC EXPENSES OTHER,PRECEPT 2017/18,B000018810/55299,ALTHAM PARISH COUNCIL,28-Apr-17,12282.00
ACC TOWN CENTRE,T C PROMOTIONS,SPONSORSHIP - APRIL ISSUE,B000018811/17546,SCOTT DAWSON ADVERTISING LTD,28-Apr-17,2500.00
ACC TOWN CENTRE,T C PROMOTIONS,ACCRINGTON XMAS 2016,B000018811/17546,SCOTT DAWSON ADVERTISING LTD,28-Apr-17,4485.00
ACCRINGTON MARKET,MARKETING INITIATIVES,ADVERTS - FEB 17,B000018811/55711,TRINITY MIRROR PUBLISHING LTD,28-Apr-17,340.00
ACCRINGTON MARKET,MARKETING INITIATIVES,ADVERTS - MAR 10,B000018811/55711,TRINITY MIRROR PUBLISHING LTD,28-Apr-17,340.00
ACCRINGTON MARKET,MARKETING INITIATIVES,ADVERTS MAR 17,B000018811/55711,TRINITY MIRROR PUBLISHING LTD,28-Apr-17,510.00
HAWORTH ART GALLERY,OTHER FEES,SHOP SALES,B000018811/56304,GEORGE POTT,28-Apr-17,384.00
HAWORTH ART GALLERY,OTHER FEES,SHOP SALES,B000018811/57957,DENNIS MARKUSS,28-Apr-17,502.40
ACCOUNTANCY,SEVERANCE PAYMENTS,REDUNDANCY,B000018811/59704,ALEXANDER JOHNSON,28-Apr-17,3139.58
ACCRINGTON MARKET,YARD CLEANING,REFUSE REMOVAL W/E 8.4.17,B000018811/8287,TRIPLE C SKIPS,28-Apr-17,480.00
ACCRINGTON MARKET,SEWERAGE,ACC MARKET - 1.4.17-31.3.18,B000018811/8325,UNITED UTILITIES WATER,28-Apr-17,3561.50
DISABLED FACILITIES GENERAL,CONTRACTOR OTHER,DFG 10326 - 306 BLACKBURN ROAD,B000018812/7874,STANNAH LIFT SERVICES LIMITED,28-Apr-17,2739.00
DISABLED FACILITIES GENERAL,CONTRACTOR OTHER,DFG 10247 - 7 LANGFORD ST,B000018812/7874,STANNAH LIFT SERVICES LIMITED,28-Apr-17,3031.00
DISABLED FACILITIES GENERAL,CONTRACTOR OTHER,DFG 10274 - FLAT 2 BRIDGE HOUS,B000018812/993,COOKSON BUILDERS LTD,28-Apr-17,5767.00
