Service Cost Centre,Account Detail,Description,HBC ref no,Name,Payment date,Net Amount(œ)
PARKS & OPEN SPACES,ASSET MAINT R&M,ASBETSO INSPECTION - OAKHILL,B000021375/59301,CONSULTANTS & SPEC SURVEYORS LTD,24-Nov-20,345
COVID 19 Waste Services,HIRED VEHICLE,MONTHLY VEHICLE CHARGES ,B000021370/2062,INTACK SELF DRIVE,24-Nov-20,380
COVID 19 Waste Services,HIRED VEHICLE,MONTHLY VEHICLE CHARGES ,B000021370/2062,INTACK SELF DRIVE,24-Nov-20,380
COVID 19 Waste Services,HIRED VEHICLE,MONTHLY VEHICLE CHARGES ,B000021370/2062,INTACK SELF DRIVE,24-Nov-20,380
COVID 19,HIRED VEHICLE,VEHICLE HIRE 21.7.20 TO 18.8.20,B000021369/2062,INTACK SELF DRIVE,24-Nov-20,506.4
COVID 19,HIRED VEHICLE,VEHICLE RENTAL 18-8-20 TO 15-9-20 ,B000021369/2062,INTACK SELF DRIVE,24-Nov-20,506.4
MAINT. OF H'WAYS & CYCLEWAYS,WORK DONE DLO-HIGHWAYS,RE- PALLET FLAGS,B000021375/28458,MARCHBRIDGE BUILDERS LTD,24-Nov-20,650
LEISURE IN HYNDBURN,ASSET MAINT R&M,ASBESTOS INSPECTION - CIVIC HALL,B000021375/59301,CONSULTANTS & SPEC SURVEYORS LTD,24-Nov-20,670
COVID 19,HIRED VEHICLE,VEHICLE HIRE 17.10.20 - 14.11.20,B000021369/2062,INTACK SELF DRIVE,24-Nov-20,786.4
TOWNSCAPE HERITAGE INITIATIVE,OTHER FEES,CLAIM NO 3,B000021375/60321,AGE UK,24-Nov-20,14795
VEHICLE MAINT SUPERVISION,FUEL STOCK,(FUEL) DIESEL,B000021370/64492,CERTAS ENERGY,24-Nov-20,19051.14
DEVELOPMENT CONTROL B.U.,SUBSIDISED PROFESSIONAL SUBS,SUBSCRIPTIONS RTPI 2021,B000021381/39694,ROYAL TOWN PLANNING INSTITUTE,25-Nov-20,315
DEVELOPMENT CONTROL B.U.,SUBSIDISED PROFESSIONAL SUBS,SUBSCRIPTIONS RTPI - 2021,B000021381/39694,ROYAL TOWN PLANNING INSTITUTE,25-Nov-20,315
WILLOWS LANE DEPOT,ASSET MAINT R&M,ASBESTOS RE-INSPECTION,B000021381/59301,CONSULTANTS & SPEC SURVEYORS LTD,25-Nov-20,490
HOUSING BENEFIT ADMINISTRATION,COMPUTER RENTAL & MAINT,EXCESS TRANSACTIONS - PARIS,B000021381/17209,CIVICA UK LIMITED,25-Nov-20,532.68
WILLOWS LANE DEPOT,ASSET MAINT R&M,WATER SAMPLES - WILLOWS LANE,B000021376/57133,INTERSERVE FS (UK) LTD,25-Nov-20,696.15
DEV CONTROL,COMPUTER LEASING CHARGES,MISC SOFTWARE,B000021381/62138,MISO,25-Nov-20,780
MAINT. OF H'WAYS & CYCLEWAYS,WORK DONE DLO-HIGHWAYS,GT HARWOOD / RISHTON CYCLE WAYS,B000021381/64886,HOWE2 LANDSCAPE AND TREES LIMITED,25-Nov-20,2100
REGISTRATION OF ELECTORS,CANVASS,CANVASS 20 - FINAL ISSUE + POSTAGE,B000021381/62168,CIVICA ELECTION SERVICES,25-Nov-20,2506.21
MARKETS - OPERATIONS,ASSET MAINT R&M,LIFT PIT REPAIRS,B000021376/64522,R J LIFT SERVICES LTD,25-Nov-20,3974.8
TOWNSCAPE HERITAGE INITIATIVE,OTHER FEES,SHOP RESTORATION GRANT CLAIM 2,B000021381/410,B MCDERMOTT & SON (LANCS) LTD,25-Nov-20,23012
COVID 19,PRIVATE CONTRACTORS WORK,CLEANING WILSONS OCTOBER 20,B000021383/50873,SERVICEMASTER,26-Nov-20,292.5
COVID 19,PRIVATE CONTRACTORS WORK,OAKHILL PARK CLEANING OCTOBER 20,B000021383/50873,SERVICEMASTER,26-Nov-20,292.5
COVID 19,PRIVATE CONTRACTORS WORK,OAKHILL PARK CLEANING NOVEMBER 20,B000021383/50873,SERVICEMASTER,26-Nov-20,292.5
COVID 19,PRIVATE CONTRACTORS WORK,WILSONS CLEANING SEPTEMBER 20,B000021383/50873,SERVICEMASTER,26-Nov-20,292.5
COVID 19,PRIVATE CONTRACTORS WORK,OAKHILL PARK OFFICE SEPTEMBER 20,B000021383/50873,SERVICEMASTER,26-Nov-20,292.5
WASTE SERVICES,AGENCY STAFF,AGENCY STAFF  WK 14.9.20 - 20.9.20,B000021383/55740,RAPID RECRUITMENT LTD,26-Nov-20,400.23
COVID 19,PRIVATE CONTRACTORS WORK,CLEANING WILSONS NOVEMBER 20,B000021383/50873,SERVICEMASTER,26-Nov-20,438.75
GENERAL FUND B/S,RHYDDINGS PARK HLF REVENUE,CONTRIBUTION TO GRANT FOR EVENTS ,B000021383/60670,FRIENDS OF RHYDDINGS PARK,26-Nov-20,500
FIRE RISK ASSESS WORKS VARIOUS,CONTRACTOR OTHER,RHYDDINGS  COACH HOUSE FRA WORKS,B000021386/24998,FULL CIRCUIT FIRE & SECURITY LTD,26-Nov-20,532.64
COVID 19,PRIVATE CONTRACTORS WORK,ACCRINGTON CEM SEPTEMBER 20,B000021383/50873,SERVICEMASTER,26-Nov-20,585
COVID 19,PRIVATE CONTRACTORS WORK,ACCRINGTON CEM NOVEMBER 20,B000021383/50873,SERVICEMASTER,26-Nov-20,585
COVID 19,PRIVATE CONTRACTORS WORK,ACCRINGTON CEM OCTOBER 20,B000021383/50873,SERVICEMASTER,26-Nov-20,585
COVID 19,PRIVATE CONTRACTORS WORK,RHYDDINGS CLEANING OCTOBER 20,B000021383/50873,SERVICEMASTER,26-Nov-20,658.13
COVID 19,PRIVATE CONTRACTORS WORK,RHYDDINGS CLEANING SEPTEMBER 20,B000021383/50873,SERVICEMASTER,26-Nov-20,658.13
COVID 19,PRIVATE CONTRACTORS WORK,RHYDDINGS PARK NOVEMBER 20,B000021383/50873,SERVICEMASTER,26-Nov-20,658.13
WASTE SERVICES,AGENCY STAFF,AGENCY STAFF WK 17.8.20 - 23.8.20 ,B000021383/55740,RAPID RECRUITMENT LTD,26-Nov-20,967.92
WILLOWS LANE DEPOT,WATER CHARGES,WASTE WATER  TOWNS YARD 12.8.20 TO 27.10.20 INV05951581 429.00M3 6278-6707,B000021383/8325,WATER PLUS LTD,26-Nov-20,1382.08
PARKS & OPEN SPACES,AGENCY STAFF,AGENCY STAFF WK  15.11.20 ,B000021383/19414,HEADS RECRUITMENT LIMITED,26-Nov-20,1562.03
WASTE SERVICES,AGENCY STAFF,AGENCY STAFF  09.11.20 TO 15.11.20 ,B000021383/55740,RAPID RECRUITMENT LTD,26-Nov-20,1824.25
PARKS & OPEN SPACES,AGENCY STAFF,AGENCY STAFF WK 1.11.20,B000021383/19414,HEADS RECRUITMENT LIMITED,26-Nov-20,2057.27
ACCRINGTON TOWN CENTRE,EVENT EXPENDITURE,DESIGN PRINT AND DISTRIBUTION OF XMAS CAMPAIGN BROCHURE,B000021383/52885,ACORN COMMUNITY NEWS,26-Nov-20,9000
ACCRINGTON TOWN CENTRE,EVENT EXPENDITURE,AMAZING ACCRINGTON MAGAZINE CONTRIBUTION FOR HYNDBURN RESIDENT S,B000021383/17546,SCOTT DAWSON ADVERTISING LTD,26-Nov-20,15000
HOUSING ADVICE,RENT DEPOSIT SCHEME,RENT DEPOSIT,B000021396/55105,PROPERTY SHOP (ACCRINGTON) LTD,30-Nov-20,424.61
CUSTOMER SERVICES,AGENCY STAFF,TEMP STAFF W/E 22.11.20,B000021396/46341,MORGAN HUNT UK LTD,30-Nov-20,803.4
CUSTOMER SERVICES,AGENCY STAFF,TEMP STAFF W/E 15.11.20,B000021396/46341,MORGAN HUNT UK LTD,30-Nov-20,803.4
CUSTOMER SERVICES,AGENCY STAFF,TEMP STAFF W/E 22.11.20,B000021396/46341,MORGAN HUNT UK LTD,30-Nov-20,871.76
CUSTOMER SERVICES,AGENCY STAFF,TEMP STAFF W/E 15.11.20,B000021396/55150,VENN GROUP LIMITED,30-Nov-20,891.75
HOUSING BENEFIT ADMINISTRATION,AGENCY STAFF,TEMP STAFF W/E 8.11.20,B000021396/55150,VENN GROUP LIMITED,30-Nov-20,925
CUSTOMER SERVICES,AGENCY STAFF,TEMP STAFF W/E 15.11.20,B000021396/46341,MORGAN HUNT UK LTD,30-Nov-20,948.68
HOUSING BENEFIT ADMINISTRATION,AGENCY STAFF,TEMP STAFF W/E 15.11.20,B000021396/33923,EDEN BROWN LIMITED,30-Nov-20,1010.1
HOUSING ADVICE,AGENCY STAFF,TEMP STAFF W/E 22.11.20,B000021396/61860,VIVID RESOURCING,30-Nov-20,1011.54
ENVIRONMENTAL PROTECTION TEAM,AGENCY STAFF,TEMP STAFF W/E 15.11.20,B000021396/61657,G2 RECRUITMENT SOLUTIONS,30-Nov-20,1095.12
ENVIRONMENTAL PROTECTION TEAM,AGENCY STAFF,TEMP STAFF W/E 22.11.20,B000021396/61657,G2 RECRUITMENT SOLUTIONS,30-Nov-20,1119.6
DISABLED FACILITIES GENERAL,CONTRACTOR OTHER,DISABLED FACILITIES GRANT,B000021397/25868,HYNDBURN PLUMBING & HEATING SERVICES,30-Nov-20,1275
LOCAL TAXATION,LEGAL FEES,COUNSEL'S ADVICE,B000021396/64928,MR FREDDIE HUMPHREYS,30-Nov-20,1350
DFG Affordable Warmth Grant,CONTRACTOR OTHER,NEW BOILER,B000021396/64888,L W PLUMBING AND HEATING,30-Nov-20,1530
VEHICLE MAINT SUPERVISION,VEHICLE LEASING,4 COMPACT SWEEPERS,B000021396/57276,CHRYSTAL MEDICAL,30-Nov-20,1583
ENVIRONMENTAL PROTECTION TEAM,AGENCY STAFF,TEMP STAFF W/E 15.11.20,B000021396/61657,G2 RECRUITMENT SOLUTIONS,30-Nov-20,2062.32
DISABLED FACILITIES GENERAL,CONTRACTOR OTHER,DISABLED FACILITIES GRANT,B000021397/25868,HYNDBURN PLUMBING & HEATING SERVICES,30-Nov-20,4757
ENVIRONMENTAL PROTECTION TEAM,AGENCY STAFF,TEMP STAFF  18.10.20-15.11.20,B000021396/61657,G2 RECRUITMENT SOLUTIONS,30-Nov-20,5655.92
P & C G,LEGAL,SUBSCRIPTION,P-CARD - NOV 20,THE LAW SOCIETY,21-Oct-20,328.00
P & C G,LEGAL,SUBSCRIPTION,P-CARD - NOV 20,THE LAW SOCIETY,28-Oct-20,328.00
P & C G,LEGAL,SUBSCRIPTION,P-CARD - NOV 20,THE LAW SOCIETY,05-Nov-20,328
BANK CHARGES,SECURITY SERVICE,G4S JUNE-OCTOBER,33523,G4S CASH SOLUTIONS,13-Nov-20,377.08
BANK CHARGES,BANK CHARGES,STREAMLINE,33509,WORLDPAY,19-Nov-20,1112.94
BANK CHARGES,BANK CHARGES,STREAMLINE,33509,WORLDPAY,19-Nov-20,1340.66
HOUSING BENEFIT ADMIN,SWIPE CARDS,OCTOBER,33506,ALLPAY.NET LET,26-Nov-20,1276.97
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
