,,,,,,
Service Cost Centre,Account Detail,Description,HBC ref no,Name,Payment Date,Net Amount (£)
Market Hall - Luf,Consultants Fees,FEES - NOV-23,B000024506/68462,Rider Levett Bucknall Uk Ltd,14 Dec 2023,"4,766.67"
Burton Chambers  - Luf,Consultants Fees,NHS ACCRINGTON MARKET - ACCRINGTON LUF,B000024506/68608,Aecom Limited,14 Dec 2023,"170,524.26"
Market Chambers - Luf,Consultants Fees,NHS ACCRINGTON MARKET - ACCRINGTON LUF,B000024506/68608,Aecom Limited,14 Dec 2023,"170,524.27"
Market Hall - Luf,Consultants Fees,NHS ACCRINGTON MARKET - ACCRINGTON LUF,B000024506/68608,Aecom Limited,14 Dec 2023,"170,524.26"
Housing Advice,Cold Weather Fund,RENTAL CHARGES,B000024506/68972,High & Wide Property Ltd,14 Dec 2023,"1,300.00"
Market Hall - Luf,Design Work,ACCRINGTON MARKET MARKETING BROCHURE,B000024506/68973,Landmark Branding Ltd,14 Dec 2023,"2,000.00"
Local Taxation,Legal Fees,LEGAL FEES,B000024506/68975,Farleys Solicitors Llp,14 Dec 2023,"8,706.00"
Dfg Affordable Warmth Grant,Contractor Other,AFFORDABLE WARMTH GRANT,B000024506/68976,Arp Joiners,14 Dec 2023,720.00
Scaitcliffe House,Water Charges,WATER BILL SCAITCLIFFE HOUSE 01-11-23 - 30-11-23,B000024506/8325,Water Plus Ltd,14 Dec 2023,923.78
Disabled Facilities General,Contractor Other,DISABLED FACILITIES GRANT,B000024507/25868,Hyndburn Plumbing & Heating Services,14 Dec 2023,"8,350.00"
Disabled Facilities General,Contractor Other,DISABLED FACILITIES GRANT,B000024507/25868,Hyndburn Plumbing & Heating Services,14 Dec 2023,"4,730.00"
Disabled Facilities General,Contractor Other,DISABLED FACILITIES GRANT,B000024507/25868,Hyndburn Plumbing & Heating Services,14 Dec 2023,"4,928.00"
Disabled Facilities General,Contractor Other,DISABLED FACILITIES GRANT,B000024507/31295,Astor-Bannerman (Medical)Ltd,14 Dec 2023,"14,507.00"
Disabled Facilities General,Contractor Other,DISABLED FACILITIES GRANT,B000024507/61433,Jcm Steel Fabrications Ltd,14 Dec 2023,"3,900.00"
Disabled Facilities General,Contractor Other,DISABLED FACILITIES GRANT,B000024507/67621,Buildeasi Nw Ltd,14 Dec 2023,"1,104.00"
Disabled Facilities General,Contractor Other,DISABLED FACILITIES GRANT,B000024507/68141,P A Cookson Ltd,14 Dec 2023,"4,850.00"
HOUSING BENEFIT ADMIN,LLOYDS CARDNET,Cardnet 14.12.23,37090,CARDNET,14 Dec 2023,"1,596.15"
HOUSING BENEFIT ADMIN,SECURITY SERVICES,G4S,37090,G4S,15 Dec 2023,439.40
Cemetery Welfare & Depot Fac,Contractor Other,PROVIDE TEMPORARY CCTV AT ACCRINGTON CEMETERY,B000024495/7524,Ross Lee Construction Ltd,18 Dec 2023,880.00
Street Cleansing,Implements & Tools,"NEAT STREET SINGLE ACTION LITTER PICKER 33""",B000024469/36319,Landscape Supply Company,19 Dec 2023,239.52
Corporate Property Bus Unit,Fees-Analysts & Consultants,EPC,B000024482/29350,Oaklodge Energy Ltd,19 Dec 2023,550.00
Haworth Art Gallery,Equipment-Resale,GOODS FOR RESALE IN SHOP,B000024485/68924,Just Trade (Uk) Limited,19 Dec 2023,257.10
Willows Lane Depot,Hired Vehicle,EMPTY WASTE BAYS WILLOWS LANE,B000024486/9294,Stanley Brothers (Tippers) Ltd,19 Dec 2023,540.00
Waste Services,Agency Staff,AGENCY STAFF W/C 20.11.23,B000024493/61971,Rapid Recruit Ltd,19 Dec 2023,"1,338.07"
Memorial Park,Private Contractors Work,ADDITIONAL 2000 CROCUS BULBS,B000024495/55190,The Prospects Foundation,19 Dec 2023,500.00
Refuse Collection,Container Repairs & Spares,DARK GREY (FC030) 240LTR LIDS WITH PINS,B000024495/7059,Ese World Limited,19 Dec 2023,"2,646.00"
Cvmu,Materials-Direct,"WATER PUMP AND BUMPER, LIGHTS",B000024496/1164,Dennis Eagle Limited,19 Dec 2023,478.04
Dog Warden,Kenneling - Daytime,KENNELLING CONTRACT,B000024509/36271,Aspen Valley Boarding Kennels & Cattery,19 Dec 2023,"1,010.00"
Refuse Collection,Clinical Waste Collection,CLINICAL WASTE,B000024509/62108,Rentokil Initial Uk Ltd,19 Dec 2023,460.96
Willows Lane Depot,Water Charges,WATER CHARGES TOWNS YARD W/L 01.11.23-30.11.23,B000024509/8325,Water Plus Ltd,19 Dec 2023,276.54
Willows Lane Depot,Private Contractors Work,EXCAVATE AND REBUILD GULLIES,B000024510/14998,Sterling Construction (Services) Ltd,19 Dec 2023,"3,200.00"
Street Nameplates Gen,Work Done Dlo-Highways,STREET NAME PLATES,B000024510/24038,G & G Signs,19 Dec 2023,251.40
Development Control B.U.,Agency Staff,TEMP STAFF W/E 19.11.23 & 26.11.23,B000024510/67448,Macdonald & Company,19 Dec 2023,"2,887.08"
Development Control B.U.,Agency Staff,TEMP STAFF W/E 3 & 12.12.23 ,B000024510/67448,Macdonald & Company,19 Dec 2023,"1,715.17"
Development Control B.U.,Agency Staff,TEMP STAFF W/E 3.12.23,B000024510/67448,Macdonald & Company,19 Dec 2023,"1,185.58"
Planning Policy B.U.,Agency Staff,TEMP STAFF 19.11.23 - 3.12.23,B000024510/67448,Macdonald & Company,19 Dec 2023,"4,160.00"
Building Control B.U.,Agency Staff,TEMP STAFF W/C 20.11.23 -27.11.23,B000024510/68845,Brg Interim Solutions Limited,19 Dec 2023,"2,360.66"
Building Control B.U.,Agency Staff,TEMP STAFF W/C - 4.12.23 ,B000024510/68845,Brg Interim Solutions Limited,19 Dec 2023,"1,383.36"
Development Control B.U.,Subsidised Professional Subs,SUBS 24 ,B000024510/8757,The Royal Town Planning Institute,19 Dec 2023,354.00
Housing Benefit Administration,Agency Staff,TEMP STAFF W/E 3.12.23 ,B000024512/33923,Eden Brown Limited,19 Dec 2023,"1,010.10"
Dfg Affordable Warmth Grant,Contractor Other,AFFORDABLE WARMTH GRANT,B000024512/35745,Ags Heating & Plumbing Ltd,19 Dec 2023,"2,394.00"
Housing Standards,Kenneling - Out Of Hours,TEMP STAFF W/C 16.10.23 ,B000024512/58852,Oyster Partnership,19 Dec 2023,710.10
Environmental Protection,Agency Staff,TEMP STAFF W/E 5.11.23 ,B000024512/61860,Vivid Resourcing,19 Dec 2023,262.24
Disabled Facilities General,General Repair & Maint Bldgs,DISABLED FACILITIES GRANT,B000024512/62449,John Hogg Cleaning,19 Dec 2023,490.00
Dfg Affordable Warmth Grant,Contractor Other,AFFORDABLE WARMTH GRANT,B000024512/66471,Mccallott Windows,19 Dec 2023,"3,849.94"
Allotments,Water Charges,LEY FARM - 2.11.23 TO 1.12.23,B000024512/8325,Water Plus Ltd,19 Dec 2023,454.00
Cvmu,Materials-Direct,BOOMERANG AND SUSPENSION,B000024514/7688,Aebi Schmidt Uk Ltd,19 Dec 2023,917.41
Cvmu,Materials-Direct,COMPRESSION LEG,B000024514/7688,Aebi Schmidt Uk Ltd,19 Dec 2023,824.46
Corporate Property,Security System Maintenance,KEY PLUS SECURITY NOV .  UNIT 18 PEEL ST,B000024515/44845,Keyplus Security Ltd,19 Dec 2023,23.00
Corporate Property,Security System Maintenance,KEY PLUS SECURITY NOV .  UNIT 19 PEEL ST,B000024515/44845,Keyplus Security Ltd,19 Dec 2023,23.00
Hyndburn Cemeteries,Security System Maintenance,KEY PLUS SECURITY NOV .  CEM SERV BUILDING,B000024515/44845,Keyplus Security Ltd,19 Dec 2023,63.25
Hyndburn Cemeteries,Security System Maintenance,KEY PLUS SECURITY NOV . GT HAR CEM,B000024515/44845,Keyplus Security Ltd,19 Dec 2023,197.34
Oswaldtwistle Civic Theatre,Security System Maintenance,KEY PLUS SECURITY NOV . CIVIC,B000024515/44845,Keyplus Security Ltd,19 Dec 2023,65.78
Parks & Open Spaces,Security System Maintenance,KEY PLUS SECURITY NOV .WILSONS,B000024515/44845,Keyplus Security Ltd,19 Dec 2023,126.50
Ranger St Compound & Depot,Security System Maintenance,KEY PLUS SECURITY NOV . RANGER ST,B000024515/44845,Keyplus Security Ltd,19 Dec 2023,65.78
Willows Lane Depot,Security System Maintenance,KEY PLUS SECURITY NOV . WILLOWS LANE,B000024515/44845,Keyplus Security Ltd,19 Dec 2023,526.24
Dev Control,Fees-Analysts & Consultants,HYNDBURN LOCAL PLAN,B000024516/30073,Mr Ian Ponter,19 Dec 2023,"1,000.00"
Wpf Leisure Inv Prog,Other Fees,LEISURE TRANSFORMATION - WILSONS - VAL 1,B000024516/48468,Alliance Leisure Services Limited,19 Dec 2023,"212,704.00"
Hmo,Agency Staff,TEMP STAFF W/E 9.10.23,B000024516/58852,Oyster Partnership,19 Dec 2023,884.00
Disabled Facilities General,Contractor Other,DISABLED FACILITIES GRANT,B000024517/61433,Jcm Steel Fabrications Ltd,19 Dec 2023,"1,000.00"
Disabled Facilities General,Contractor Other,DISABLED FACILITIES GRANT,B000024517/68141,P A Cookson Ltd,19 Dec 2023,"4,000.00"
Disabled Facilities General,Contractor Other,DISABLED FACILITIES GRANT,B000024521/31295,Astor-Bannerman (Medical)Ltd,19 Dec 2023,"34,956.89"
Disabled Facilities General,Contractor Other,DISABLED FACILITIES GRANT,B000024521/45450,Mercers Builders Ltd,19 Dec 2023,"5,910.00"
Oswaldtwistle Civic Theatre,Electricity,OSW THEATRE - 1.11.23 TO 30.11.23,B000024521/68891,Corona Energy,19 Dec 2023,"1,325.94"
Burton Chambers  - Luf,Miscellaneous,ELECTRICITY 01/04/2023 - 31/10/2023,B000024454/65135,E-On Next Energy Ltd,21 Dec 2023,350.00
Scaitcliffe House,Equipmnt Repair & Maint,MAINTENANCE WATER COOLER SCAITCLIFFE,B000024484/16592,Select Marketing Nw Ltd,21 Dec 2023,392.00
Scaitcliffe House,Hospitality,MAINTENANCE WATER COOLER SCAITCLIFFE,B000024484/16592,Select Marketing Nw Ltd,21 Dec 2023,20.00
Burton Chambers  - Luf,Securing Premises,SECURITY NOV 23 BURTON CHAMBERS,B000024484/27659,Vps (Uk) Limited,21 Dec 2023,"1,322.28"
Market Chambers - Luf,Securing Premises,SECURITY NOV 23  49/51 BBURN RD,B000024484/27659,Vps (Uk) Limited,21 Dec 2023,624.76
Hmo,Agency Staff,STAFF WC 20.11.23,B000024484/58852,Oyster Partnership,21 Dec 2023,"1,274.00"
Hmo,Agency Staff,STAFF WC 20.11.23,B000024484/58852,Oyster Partnership,21 Dec 2023,"1,792.44"
Housing Standards,Agency Staff,STAFF WC 20.11.23 ,B000024484/58852,Oyster Partnership,21 Dec 2023,731.25
Environmental Protection,Agency Staff,CONSULTANCY FEES,B000024484/61860,Vivid Resourcing,21 Dec 2023,982.80
Local Taxation,Legal Fees,HORSFIELDS LEGAL FEE,B000024485/68959,Horsfields Ltd,21 Dec 2023,"1,144.15"
Accountancy,Agency Staff,AGENCY COSTS- W/C 20/11/23 ,B000024488/58852,Oyster Partnership,21 Dec 2023,"3,550.00"
Accountancy,Agency Staff,AGENCY STAFF W/C 13/11/23 ,B000024488/58852,Oyster Partnership,21 Dec 2023,"3,550.00"
Waste Services,Vehicle Tracker / Fuel/ Cctv,VEHICLE TRACKERS WASTE SERVICES,B000024493/60522,Trakm8 Holdings Plc,21 Dec 2023,266.88
Leisure In Hyndburn,Lih R&M,HYNDBURN LEISURE CENTRE- TESTING OF SURGE PROTECTION DEVICES,B000024494/64735,Premier Technical Services Group,21 Dec 2023,242.00
Parks & Open Spaces,Asset Maint R&M,WILSONS PAVILLION- TESTING OF SURGE PROTECTION DEVICES,B000024494/64735,Premier Technical Services Group,21 Dec 2023,242.00
Waste Services,Cpc Driver Training,DCPC REG - ACCRINGTON,B000024495/19112,Specialist Training Consultancy Ltd,21 Dec 2023,26.25
Waste Services,Cpc Driver Training,DRIVER HOURS AND TACHOGRAPHS 1.12.23,B000024495/19112,Specialist Training Consultancy Ltd,21 Dec 2023,228.75
Commercial Collections,New Containers,BROWN 1100L PLASTIC 4 WHEELED BINS,B000024495/60432,Weber Uk Ltd,21 Dec 2023,"4,048.50"
Commercial Collections,New Containers,CUSTOMER DOCUMENTS/ DELIVERY,B000024495/60432,Weber Uk Ltd,21 Dec 2023,110.00
Commercial Collections,New Containers,GREY 1100L PLASTIC 4 WHEELED BINS (BLUE LID),B000024495/60432,Weber Uk Ltd,21 Dec 2023,"3,738.00"
Parks & Open Spaces,Hired Vehicle,TO VERTI DRAIN 9 BOWLING GREENS IN HYNDBURN,B000024495/61016,Danvic Turfcare Ltd,21 Dec 2023,"2,025.00"
Hyndburn Cemeteries,Contractors Weekend Working,PROVISION OF A WEEKEND AND BANK HOLIDAY,B000024495/68755,James O Garnett Limited,21 Dec 2023,"1,400.00"
Refuse Collection,Hired Vehicle,7.5 BOX T/L 1.11.23-1.12.23,B000024495/68839,Leeds Commercial Vehicle Hire,21 Dec 2023,"1,694.00"
Refuse Collection,Hired Vehicle,CAGE TIPPER 31.10.23 - 1.12.23,B000024495/68839,Leeds Commercial Vehicle Hire,21 Dec 2023,"2,024.00"
Tmo General,Misc Expenses Other,C202 EURO6C ,B000024495/68853,Bucher Municipal Ltd,21 Dec 2023,"169,362.00"
Tmo General,Misc Expenses Other,ROAD FUND LICENCE,B000024495/68853,Bucher Municipal Ltd,21 Dec 2023,440.00
Cvmu,Materials-Direct,FILTERS AND SPRINGS,B000024496/1164,Dennis Eagle Limited,21 Dec 2023,"1,176.14"
Cvmu,Materials-Direct,SENSOR,B000024496/8014,Terberg Matec Uk,21 Dec 2023,747.50
Human Resources,Health Screening,EMPLOYEE ASSISTANCE PROGRAM SUB,B000024497/68121,Health Hero,21 Dec 2023,"2,604.45"
Oswaldtwistle Civic Theatre,Asset Maint R&M,OSW CIVIC THEATRE - FIRE EXTINGUISHER RECOMMENDED WIORKS,B000024499/20408,Pennine Fire & Safety Limited,21 Dec 2023,371.75
Acc Town Hall,Cleaning Of Buildings,CLEANING BROADWAY OFFICES - 01.11.23 - 30.11.23,B000024499/29112,Hyndburn Leisure,21 Dec 2023,"1,095.03"
Markets - Operations,Asset Maint R&M,ACC MARKET HALL - RE-SECURE HINGE PINS ON REAR EXIT DOUBLE DOORS,B000024499/37017,Pilkington Bros (Church) Ltd,21 Dec 2023,633.13
Vat Only Suspense,Amount Paid,PROFESSIONAL CHARGES ,B000024499/60106,Greenhalgh Kerr,21 Dec 2023,0.00
Oswaldtwistle Civic Theatre,Asset Maint R&M,OSWALDTWISTLE CIVIC THEATRE - EICR REMEDIAL WORKS,B000024499/60330,Calbarrie Compliance Services,21 Dec 2023,"1,131.00"
Local Taxation,Fees-Analysts & Consultants,NDR REVIEW,B000024499/61357,Capacity Grid,21 Dec 2023,"3,650.00"
Leisure In Hyndburn,Lih R&M,HYNDBURN LEISURE CENTRE - REPAIRS TO LIGHTNING PROTECTION SYSTEM,B000024499/64735,Premier Technical Services Group,21 Dec 2023,334.16
Local Taxation,Legal Fees,DEBT COLLECTION SERVICES,B000024499/66036,Marston (Holdings) Ltd,21 Dec 2023,524.35
Cvmu,Materials-Direct,REVERSE CAMERA,B000024501/1164,Dennis Eagle Limited,21 Dec 2023,361.81
Cvmu,Materials-Stock Issues,CLEARVIEW 1000L,B000024501/4467,Hope & Brown Ltd,21 Dec 2023,298.50
Cvmu,Materials-Direct,STEAM CLEAN X 2,B000024501/58642,Keep Em Clean,21 Dec 2023,525.00
Cvmu,Materials-Direct,STEAM X 2,B000024501/58642,Keep Em Clean,21 Dec 2023,262.50
Cvmu,Materials-Direct,LH/RH BUMPER AND LED,B000024501/60483,Wasteparts Uk Ltd,21 Dec 2023,570.64
Hmo,Agency Staff,TEMP STAFF - W/C 27.11.23 ,B000024502/58852,Oyster Partnership,21 Dec 2023,"1,040.00"
Hmo,Agency Staff,TEMP STAFF - W/C 27.11.23 ,B000024502/58852,Oyster Partnership,21 Dec 2023,"1,508.00"
Housing Standards,Agency Staff,TEMP STAFF - W/C 27.11.23,B000024502/58852,Oyster Partnership,21 Dec 2023,724.50
Housing Standards,Agency Staff,TEMP STAFF - P/E  03.12.23 ,B000024502/61657,G2 Recruitment Solutions,21 Dec 2023,"1,991.39"
Housing Standards,Agency Staff,TEMP STAFF - P/E 26.11.23 ,B000024502/61657,G2 Recruitment Solutions,21 Dec 2023,"1,975.35"
Accountancy,Agency Staff,"AGENCY COSTS -W/E 12.11.23, 19.11.23, & 26.11.23 ",B000024502/61860,Vivid Resourcing,21 Dec 2023,"8,850.00"
Environmental Protection,Agency Staff,TEMP STAFF - P/E 03.12.23,B000024502/61860,Vivid Resourcing,21 Dec 2023,"1,850.00"
Environmental Protection,Agency Staff,TEMP STAFF - P/E 03.12.23 ,B000024502/61860,Vivid Resourcing,21 Dec 2023,980.44
Environmental Protection,Agency Staff,TEMP STAFF - P/E 26.11.23 ,B000024502/61860,Vivid Resourcing,21 Dec 2023,"1,850.00"
Environmental Protection,Fees-Analysts & Consultants,ACOUSTIC CONSULTANCY SERVICES ,B000024502/68863,Han Tucker Associates,21 Dec 2023,"1,425.00"
Registration Of Electors,Publications & Periodicals,RELEASE 73 SCOFIELDS ELECTION LAW,B000024503/50652,Thomson Reuters Professional Uk Ltd,21 Dec 2023,343.00
Community Safety,General Subscriptions,WHITE RIBBON ACCREDITATION 23/23,B000024503/64998,White Ribbon Uk,21 Dec 2023,330.00
Ukspf - Regeneration,Marketing/Promotion,TCIP BRAND GUIDELINES,B000024503/66163,Media Village,21 Dec 2023,600.00
Homes For Ukraine-Housing & Ho,Event Expenditure,EVENT LOCATION AND REFRESHMENTS,B000024506/29112,Hyndburn Leisure,21 Dec 2023,982.50
Cvmu,Vehicle Leasing,SWEEPER LEASE TENDER + APPRAISAL,B000024506/57276,Chrystal Medical,21 Dec 2023,"1,338.54"
Homes For Ukraine-Comm Integra,Event Expenditure,EVENT ENTERTAINMENT,B000024506/68209,Just Imagine Events Limited,21 Dec 2023,"1,000.00"
Waste Services,Agency Staff,AGENCY STAFF W/E 3.12.23,B000024509/61971,Rapid Recruit Ltd,21 Dec 2023,"1,477.11"
Tmo General,Misc Expenses Other,NEW SWEEPER 607,B000024509/68853,Bucher Municipal Ltd,21 Dec 2023,"84,901.00"
Commercial Collections,Landfill Tax,TRADE WASTE,B000024509/8810,Suez Recycling And Recovery Uk Ltd,21 Dec 2023,"11,086.03"
Commercial Collections,Waste Disposal Charges,TRADE WASTE,B000024509/8810,Suez Recycling And Recovery Uk Ltd,21 Dec 2023,"2,727.52"
Willows Lane Depot,Hired Vehicle,EMPTY WASTE BAYS W/L,B000024509/9294,Stanley Brothers (Tippers) Ltd,21 Dec 2023,"1,080.00"
Administration Expenses,Photocopying,PHOTOCOPIER CHARGES,B000024509/999,Sharp Business Systems Uk Plc,21 Dec 2023,323.53
Cvmu,Photocopying,PHOTOCOPIER CHARGES,B000024509/999,Sharp Business Systems Uk Plc,21 Dec 2023,507.14
Street Nameplates Gen,Work Done Dlo-Highways,INSTALL ROAD SIGNS,B000024510/14998,Sterling Construction (Services) Ltd,21 Dec 2023,"1,590.00"
General Maintenance,Work Done Dlo-Highways,PLANTS,B000024510/45940,Brentwood Moss Nurseries,21 Dec 2023,"3,090.00"
Building Control B.U.,Agency Staff,TEMP STAFF W/C 13.11.23,B000024510/58852,Oyster Partnership,21 Dec 2023,934.29
Building Control B.U.,Agency Staff,TEMP STAFF W/C 20.11.23 ,B000024510/58852,Oyster Partnership,21 Dec 2023,945.00
Development Control B.U.,Agency Staff,TEMP STAFF W/E 20.11.23,B000024510/58852,Oyster Partnership,21 Dec 2023,463.20
Development Control B.U.,Agency Staff,TEMP STAFF W/E 27.11.23,B000024510/58852,Oyster Partnership,21 Dec 2023,463.20
Development Control B.U.,Agency Staff,TEMP STAFF W/E 16.7.23 ,B000024510/66417,Carrington West Limited,21 Dec 2023,"1,306.88"
Development Control B.U.,Agency Staff,TEMP STAFF W/E 25.6.23 ,B000024510/66417,Carrington West Limited,21 Dec 2023,"1,306.88"
Development Control B.U.,Agency Staff,TEMP STAFF W/E 2.7.23,B000024510/66417,Carrington West Limited,21 Dec 2023,"1,306.88"
Development Control B.U.,Agency Staff,TEMP STAFF W/E 9.7.23 ,B000024510/66417,Carrington West Limited,21 Dec 2023,"1,184.90"
Cvmu,Materials-Direct,FUEL FILTER,B000024511/1164,Dennis Eagle Limited,21 Dec 2023,808.91
Cvmu,Materials-Direct,HEADLAMP AND BUSH,B000024511/1164,Dennis Eagle Limited,21 Dec 2023,304.45
Cvmu,Materials-Direct,REPAIR REAR LIGHTS,B000024511/1164,Dennis Eagle Limited,21 Dec 2023,440.00
Cvmu,Materials-Direct,SUMP,B000024511/1164,Dennis Eagle Limited,21 Dec 2023,"1,353.00"
Cvmu,Materials-Direct,TYRES,B000024511/29877,Rossendale Vulcanising (Sales Ltd),21 Dec 2023,"5,170.00"
Cvmu,Materials-Direct,DRAG LINK,B000024511/66006,Alliance Automotive Uk Lv T/A Jpn Autoparts,21 Dec 2023,438.74
Cvmu,Equipmnt Repair & Maint,REPAIR SMOKE METER,B000024511/7773,Snap On Diagnostics,21 Dec 2023,356.02
Huncoat Housing Zone,Fees-Analysts & Consultants,RELIEF ROAD - NOV 23,B000024512/59167,Arcadis Consulting (Uk) Ltd,21 Dec 2023,"45,052.00"
Huncoat Housing Zone,Fees-Analysts & Consultants,PROJECT MANAGEMENT - NOV 23,B000024512/65514,Avison Young (Uk) Ltd,21 Dec 2023,"37,555.00"
Corporate Property,General Repair & Maint Bldgs,4 BROADWAY  INSTALLATION OF NON RETURN VALVE FOR SYSTEM CHLORINATION,B000024513/59248,Lancashire Gas Services,21 Dec 2023,319.50
Haworth Art Gallery,Asset Maint R&M,HAWORTH STABLE HEATING REPAIRS,B000024513/59248,Lancashire Gas Services,21 Dec 2023,763.29
Oswaldtwistle Civic Theatre,Asset Maint R&M,OSW CIVIC HEATING REPAIRS,B000024513/59248,Lancashire Gas Services,21 Dec 2023,454.25
Accrington Crematorium,Asset Maint R&M,WATER SYSTEM MONITIORING. NOV 23.CREMATORIUM,B000024513/68680,H S L Compliance,21 Dec 2023,36.00
Acc Town Hall,Asset Maint R&M,WATER SYSTEM MONITIORING. NOV 23. BROADWAY,B000024513/68680,H S L Compliance,21 Dec 2023,52.00
Corporate Property,Asset Maint R&M,WATER SYSTEM MONITIORING. NOV 23.  MERCER HOUSE,B000024513/68680,H S L Compliance,21 Dec 2023,28.00
Corporate Property,Asset Maint R&M,WATER SYSTEM MONITIORING. NOV 23.  PEEL ST TOILETS,B000024513/68680,H S L Compliance,21 Dec 2023,43.00
Haworth Art Gallery,Asset Maint R&M,WATER SYSTEM MONITIORING. NOV 23.  HAWORTH ART GALL,B000024513/68680,H S L Compliance,21 Dec 2023,45.00
Haworth Art Gallery,Asset Maint R&M,WATER SYSTEM MONITIORING. NOV 23.  HAWORTH STABLES,B000024513/68680,H S L Compliance,21 Dec 2023,43.00
Hyndburn Cemeteries,Asset Maint R&M,WATER SYSTEM MONITIORING. NOV 23. ACC CEM OFFICE,B000024513/68680,H S L Compliance,21 Dec 2023,35.00
Hyndburn Cemeteries,Asset Maint R&M,WATER SYSTEM MONITIORING. NOV 23. CEM OFFICE,B000024513/68680,H S L Compliance,21 Dec 2023,36.00
Hyndburn Cemeteries,Asset Maint R&M,WATER SYSTEM MONITIORING. NOV 23.  DILL HALL CEM,B000024513/68680,H S L Compliance,21 Dec 2023,29.00
Hyndburn Cemeteries,Asset Maint R&M,WATER SYSTEM MONITIORING. NOV 23.  GT H CEM,B000024513/68680,H S L Compliance,21 Dec 2023,36.00
Leisure In Hyndburn,Lih R&M,WATER SYSTEM MONITIORING. NOV 23. ACC TOWN HALL,B000024513/68680,H S L Compliance,21 Dec 2023,83.00
Library St Depot,Asset Maint R&M,WATER SYSTEM MONITIORING. NOV 23.  CVMU,B000024513/68680,H S L Compliance,21 Dec 2023,42.00
Markets - Operations,Asset Maint R&M,WATER SYSTEM MONITIORING. NOV 23. MARKET HALL,B000024513/68680,H S L Compliance,21 Dec 2023,78.00
Parks & Open Spaces,Asset Maint R&M,WATER SYSTEM MONITIORING. NOV 23. BRIAN WALMSLEY,B000024513/68680,H S L Compliance,21 Dec 2023,62.00
Parks & Open Spaces,Asset Maint R&M,WATER SYSTEM MONITIORING. NOV 23. BULLOUGH PARK,B000024513/68680,H S L Compliance,21 Dec 2023,65.00
Parks & Open Spaces,Asset Maint R&M,WATER SYSTEM MONITIORING. NOV 23.  LOWERFOLD,B000024513/68680,H S L Compliance,21 Dec 2023,31.00
Parks & Open Spaces,Asset Maint R&M,WATER SYSTEM MONITIORING. NOV 23.  MEMORIAL,B000024513/68680,H S L Compliance,21 Dec 2023,42.00
Parks & Open Spaces,Asset Maint R&M,WATER SYSTEM MONITIORING. NOV 23.  MERCER PARK BOWLS,B000024513/68680,H S L Compliance,21 Dec 2023,26.00
Parks & Open Spaces,Asset Maint R&M,WATER SYSTEM MONITIORING. NOV 23.  MERCER SERVICE BUILDING,B000024513/68680,H S L Compliance,21 Dec 2023,28.00
Parks & Open Spaces,Asset Maint R&M,WATER SYSTEM MONITIORING. NOV 23.  MILNSHAW BOWLS,B000024513/68680,H S L Compliance,21 Dec 2023,34.00
Parks & Open Spaces,Asset Maint R&M,WATER SYSTEM MONITIORING. NOV 23.  OAKHILL BANDSTAND,B000024513/68680,H S L Compliance,21 Dec 2023,29.00
Parks & Open Spaces,Asset Maint R&M,WATER SYSTEM MONITIORING. NOV 23.  OAKHILL BOWLS,B000024513/68680,H S L Compliance,21 Dec 2023,31.00
Parks & Open Spaces,Asset Maint R&M,WATER SYSTEM MONITIORING. NOV 23.  OAKHILL SERVICES,B000024513/68680,H S L Compliance,21 Dec 2023,31.00
Parks & Open Spaces,Asset Maint R&M,WATER SYSTEM MONITIORING. NOV 23.  OAKHILL TENNIS,B000024513/68680,H S L Compliance,21 Dec 2023,33.00
Parks & Open Spaces,Asset Maint R&M,WATER SYSTEM MONITIORING. NOV 23.  PARKER ST,B000024513/68680,H S L Compliance,21 Dec 2023,28.00
Parks & Open Spaces,Asset Maint R&M,WATER SYSTEM MONITIORING. NOV 23.  PEEL PARK,B000024513/68680,H S L Compliance,21 Dec 2023,31.00
Parks & Open Spaces,Asset Maint R&M,WATER SYSTEM MONITIORING. NOV 23.  RHYDDINGS PARK BOWLS,B000024513/68680,H S L Compliance,21 Dec 2023,31.00
Parks & Open Spaces,Asset Maint R&M,WATER SYSTEM MONITIORING. NOV 23.  WILLOWS LANE STORES,B000024513/68680,H S L Compliance,21 Dec 2023,31.00
Rhyddings Cafe,Asset Maint R&M,WATER SYSTEM MONITIORING. NOV 23.  RHYDDINGS COACH HOUSE,B000024513/68680,H S L Compliance,21 Dec 2023,70.00
Scaitcliffe House,Asset Maint R&M,WATER SYSTEM MONITIORING. NOV 23.  SCAITCLIFFE HOUSE,B000024513/68680,H S L Compliance,21 Dec 2023,64.00
Willows Lane Depot,Asset Maint R&M,WATER SYSTEM MONITIORING. NOV 23.  WILLOWS LANE,B000024513/68680,H S L Compliance,21 Dec 2023,42.00
Willows Lane Depot,Asset Maint R&M,WATER SYSTEM MONITIORING. NOV 23.  WILLOWS LANE CNATEEN,B000024513/68680,H S L Compliance,21 Dec 2023,38.00
Willows Lane Depot,Asset Maint R&M,WATER SYSTEM MONITIORING. NOV 23.  WILLOWS LANE STORES,B000024513/68680,H S L Compliance,21 Dec 2023,31.00
Accrington Crematorium,Asset Maint R&M,FIRE RISK ASSESSMENTS.  ACC CREM,B000024515/68104,Firesec Compliance Ltd,21 Dec 2023,455.00
Elmfield Hall Flats,General Repair & Maint Bldgs,ELMFIELD FLAT 1 RISK ASSESSMENT,B000024515/68104,Firesec Compliance Ltd,21 Dec 2023,455.00
