Service Cost Centre,Account Detail,Description,HBC ref no,Name,Payment date,Net Amount(œ)
VEHICLE MAINT WORK DONE,MATERIALS-DIRECT,HYDAULIC RAM,B000018735/58215,REDGOLD HYDRAULICS LTD,22/03/2017,257.00
GENERAL EXPENSES,CABINET ACTION FUND,MAYORS BALL - MAR 17,B000018736/56701,GARLANDS EVENTS LTD,22/03/2017,275.00
PARKS & OPEN SPACES,WATER CHARGES,WATER BILL WILSONS,B000018738/24576,UNITED UTILITIES WATER PLC,22/03/2017,333.86
ADMINISTRATION EXPENSES,STATIONERY,PHOTOCOPIER,B000018738/999,SHARP BUSINESS SYSTEMS UK PLC,22/03/2017,350.85
STREET CLEANSING,AGENCY STAFF,SEASONAL STAFF,B000018738/19414,HEADS RECRUITMENT LIMITED,22/03/2017,403.30
VEHICLE MAINT WORK DONE,MATERIALS-DIRECT,MIRROR MONITOR SYSTEM,B000018735/8388,VISION TECHNIQUES LTD,22/03/2017,425.00
VEHICLE MAINT SUPERVISION,NEW EQUIPMENT,MIRROR MONITORING SYSTEM,B000018735/8388,VISION TECHNIQUES LTD,22/03/2017,425.00
VEHICLE MAINT SUPERVISION,NEW EQUIPMENT,REVERSE ALARM,B000018735/8388,VISION TECHNIQUES LTD,22/03/2017,425.00
GREEN INFRASTRUCTURE,PRIVATE CONTRACTORS WORK,OAK BENCH,B000018736/56673,ACORN WOODCRAFT,22/03/2017,450.00
PARKS & OPEN SPACES,AGENCY STAFF,SEASONAL STAFF,B000018738/19414,HEADS RECRUITMENT LIMITED,22/03/2017,850.20
HEALTH OFFICERS,AGENCY STAFF,TEMP STAFF,B000018738/58023,BUCKINGHAM FUTURES LTD,22/03/2017,937.50
HEALTH OFFICERS,AGENCY STAFF,TEMP STAFF,B000018738/58023,BUCKINGHAM FUTURES LTD,22/03/2017,937.50
GYPSY SITE,ELECTRICITY,GYPSY SITE - 6.1.17-31.1.17,B000018736/59343,EDF ENERGY,22/03/2017,984.84
ACCRINGTON CREMATORIUM,PRIVATE COMM SERVICE,ANNUAL CONTRACT,B000018738/44845,KEYPLUS SECURITY LTD,22/03/2017,1010.00
GYPSY SITE,ELECTRICITY,GYPSY - 1.2.17-28.2.17,B000018736/59343,EDF ENERGY,22/03/2017,1094.97
RECYCLING COLLECTION,HIRED VEHICLE,VEHICLE HIRE,B000018738/38664,LEEDS COMMERCIAL LTD,22/03/2017,1150.00
ENVIRONMENTAL PROTECTION TEAM,AIR QUALITY REVIEW,TEMP STAFF W/E 12.3.17,B000018736/58023,BUCKINGHAM FUTURES LTD,22/03/2017,1375.00
SCAITCLIFFE HOUSE,WATER CHARGES,4.11.16-1.2.17 - SCAITCLIFFE,B000018736/8325,UNITED UTILITIES WATER,22/03/2017,1553.75
VEHICLE MAINT WORK DONE,MATERIALS-DIRECT,TYRES,B000018735/29877,ROSSENDALE VULCANISING (SALES LTD),22/03/2017,2410.00
VEHICLE MAINT SUPERVISION,NEW EQUIPMENT,CAMERA SYSYTEM,B000018735/8388,VISION TECHNIQUES LTD,22/03/2017,2654.00
RECYCLING COLLECTION,CANS PLASTICS 50% INCOME LCC,SPLIT FOR PLASTICS&CANS,B000018738/2496,LANCASHIRE COUNTY COUNCIL,22/03/2017,6806.03
COMPUTER SERVICES,RENTAL & MAINT SOFTWARE MISC,SUPPORT - 27.3.17-26.3.19,B000018737/42067,XICON LIMITED,22/03/2017,8539.55
ADMINISTRATION SERVICES,EQUIPMNT REPAIR & MAINT,NEW PART FOR FRANKING MACHINE,B000018744/7231,PITNEY BOWES LTD,24/03/2017,340.30
VEHICLE MAINT WORK DONE,MATERIALS-DIRECT,KNOX SENSOR,B000018741/1918,HYDRAIR,24/03/2017,343.20
ENFORCEMENT,TRAINING EXPENSES,REFRESHMENTS - MARCH 17,B000018744/58358,BULLOUGHS,24/03/2017,385.00
VEHICLE MAINT SUPERVISION,MATERIALS-STOCK ISSUES,SENSOR,B000018741/8014,TERBERG MATTEC UK LTD,24/03/2017,416.64
UNDERSPENDS,PRIVATE CONTRACTORS WORK,WALL REBUILD,B000018742/58554,PETER ISHERWOOD LTD,24/03/2017,420.00
HUMAN RESOURCES,OD AND EQUALITY,TRAINING,B000018744/41978,MYERSCOUGH COLLEGE,24/03/2017,423.80
VEHICLE MAINT SUPERVISION,NEW EQUIPMENT,REVERSE ALARM,B000018741/8388,VISION TECHNIQUES LTD,24/03/2017,425.00
GREEN INFRASTRUCTURE,GENERAL GROUNDS MAINTENANCE,WOODLAND TREE THINNING,B000018744/55411,WOODY (HYNDBURN) C I C,24/03/2017,500.00
VEHICLE MAINT SUPERVISION,TRAINING EXPENSES,MOT TRAINING COURSE,B000018741/23328,BLACKPOOL AND THE FYLDE COLLEGE,24/03/2017,525.00
HOUSING BENEFIT ADMINISTRATION,AGENCY STAFF,TEMP STAFF W/E 26.2.17,B000018742/33923,EDEN BROWN LTD,24/03/2017,850.00
HOUSING BENEFIT ADMINISTRATION,AGENCY STAFF,TEMP STAFF W/E 20.3.17,B000018742/33923,EDEN BROWN LTD,24/03/2017,850.00
HOUSING BENEFIT ADMINISTRATION,AGENCY STAFF,TEMP STAFF W/E 19.3.17,B000018742/33923,EDEN BROWN LTD,24/03/2017,858.00
HOUSING BENEFIT ADMINISTRATION,AGENCY STAFF,TEMP STAFF W/E 12.3.17,B000018744/33923,EDEN BROWN LTD,24/03/2017,858.00
CUSTOMER SERVICES,AGENCY STAFF,TEMP STAFF W/E 19.3.17,B000018742/46341,MORGAN HUNT UK LTD,24/03/2017,888.00
CUSTOMER SERVICES,AGENCY STAFF,TEMP STAFF W/E 12.3.17,B000018744/46341,MORGAN HUNT UK LTD,24/03/2017,888.00
HOUSING BENEFIT ADMINISTRATION,COMPUTER RENTAL & MAINT,PARIS XML PARSER,B000018744/35967,NORTHGATE PUBLIC SERVICES (UK) LTD,24/03/2017,950.00
UNDERSPENDS,GENERAL GROUNDS MAINTENANCE,MEADOW MOWING,B000018744/2529,LANCASHIRE WILDLIFE TRUST,24/03/2017,1000.00
LOCAL TAXATION,OFFICE CONSUMABLES,STATIONERY,B000018744/57679,CRITIQOM,24/03/2017,1230.74
UNDERSPENDS,MATERIALS-MISC,TREES AND SUNDRIES,B000018743/59538,CHEVIOT TREES LTD,24/03/2017,1744.75
VEHICLE MAINT SUPERVISION,NEW EQUIPMENT,BANKSMAN,B000018741/8388,VISION TECHNIQUES LTD,24/03/2017,1899.00
CUSTOMER SERVICES,BPR/CONTACT CENTRE,OFFICE FURNITURE,B000018743/59518,OFFICE FURNITURE ONLINE,24/03/2017,1938.00
VEHICLE MAINT WORK DONE,MATERIALS-DIRECT,REVERSE ALARM/BANKSMAN,B000018741/8388,VISION TECHNIQUES LTD,24/03/2017,2249.00
HOUSING BENEFIT ADMINISTRATION,COMPUTER RENTAL & MAINT,SOFTWARE SUPPORT FOR REVENUES,B000018744/35967,NORTHGATE PUBLIC SERVICES (UK) LTD,24/03/2017,4000.00
CUSTOMER SERVICES,BPR/CONTACT CENTRE,CONFIDENTIAL WASTE,B000018743/39762,C & G RECYCLING LTD,24/03/2017,4750.00
HEYS ALLOTMENT VEHICLE BARRIER,MISCELLANEOUS,PROVIDE BARRIERS AT HEYS ALLOT,B000018743/20,A BYRNE FENCING,24/03/2017,6490.00
ACCOUNTANCY,FEES-ANALYSTS & CONSULTANTS,GROUP ACCOUNTS REVIEW,B000018743/46295,PRICEWATERHOUSECOOPERS LLP,24/03/2017,7000.00
HAWORTH ART GALLERY,EQUIPMENT-RESALE,SOLD GOODS,B000018747/57884,QUAIL CERAMICS,27/03/2017,343.40
ACCRINGTON MARKET,YARD CLEANING,REFUSE REMOVAL 4.3.17,B000018747/8287,TRIPLE C SKIPS,27/03/2017,480.00
PARKS & OPEN SPACES,MATERIALS-DIRECT,18 X 10 LTR MAZI CROP 2 MOSS K,B000018745/51506,PROGREEN WEED CONTROL SOLUTIONS LTD,27/03/2017,498.60
STRATEGIC HOUSING DEPARTMENT,WARM HOMES HEALTY PEOPLE,TEMP STAFF 19.3.17,B000018746/58023,BUCKINGHAM FUTURES LTD,27/03/2017,860.25
FACILITIES TEAM,AGENCY STAFF,TEMP STAFF 19.3.17,B000018746/55150,VENN GROUP LIMITED,27/03/2017,901.25
HYNDBURN CEMETERIES,EQUIPMNT REPAIR & MAINT,INSTALLATION @ ACCRINGTON CEME,B000018745/23402,AUTO TIME SYSTEMS NORTHERN,27/03/2017,1060.50
LIBRARY ST DEPOT,EQUIPMNT REPAIR & MAINT,INSTALLATION @ CVMU LIBRARY ST,B000018745/23402,AUTO TIME SYSTEMS NORTHERN,27/03/2017,1060.50
CEMETERY AT LEE LANE,CONTRACTOR OTHER,SUPPLY ONLY OF STONE GATE POST,B000018745/39960,STEPTOES YARD LIMITED,27/03/2017,9632.78
STREET CLEANSING,AGENCY STAFF,AGENCY STAFF WK 19.03.17 ,B000018750/19414,HEADS RECRUITMENT LIMITED,28/03/2017,403.30
PARKS & OPEN SPACES,AGENCY STAFF,"AGENCY STAFF, WK 19.03.17",B000018750/19414,HEADS RECRUITMENT LIMITED,28/03/2017,517.75
WILLOWS LANE DEPOT,DEPOT COSTS,FUEL PUMP SERVICE AND CONTRACT,B000018750/7187,PENNINE PUMP & TANK CO,28/03/2017,700.00
HLC CHANGING ROOM CONVERSION,CONTRACTOR OTHER,DECORATING AND SIGNAGE CHANGIN,B000018753/17546,SCOTT DAWSON ADVERTISING LTD,28/03/2017,888.00
ENVIRONMENTAL PROTECTION TEAM,AIR QUALITY REVIEW,TEMP STAFF W/E 19.3.17,B000018754/58023,BUCKINGHAM FUTURES LTD,28/03/2017,1100.00
ACCRINGTON MARKET,ELECTRICITY,CELLAR 9 15.6.16  -  23.2.17,B000018754/43682,SCOTTISH POWER,28/03/2017,1345.03
GYPSY SITE,PRIVATE CONTRACTORS WORK,APRIL 17,B000018753/22006,J W PRICE,28/03/2017,1400.00
VEHICLE MAINT SUPERVISION,FUEL STOCK,"FUEL COSTS 3002 L, DELIVERY NU",B000018750/7658,SAMUEL COOKE & CO LTD,28/03/2017,1470.98
PENDLE ST PH1,OTHER FEES,REPAIRS,B000018754/44978,JAMES CROSBIE ASSOCIATES LTD,28/03/2017,2900.00
RHYDDINGS PARK LOTTERY,MISCELLANEOUS,"STAGE 1 FINAL, RHYDDINGS PARK ",B000018750/48678,SUNDERLAND PEACOCK & ASSOCIATES LTD,28/03/2017,3617.50
DISABLED FACILITIES GENERAL,CONTRACTOR OTHER,DISABLED FACILITIES GRANT,B000018753/21792,H & M BUILDING & JOINERY LTD,28/03/2017,3925.00
DISABLED FACILITIES GENERAL,CONTRACTOR OTHER,DISABLED FACILITIES GRANT,B000018753/25868,HYNDBURN PLUMBING & HEATING SERVICES,28/03/2017,3991.00
DISABLED FACILITIES GENERAL,CONTRACTOR OTHER,DISABLED FACILITIES GRANT,B000018754/48969,SPAIN BUILDING & MAINTENANCE LTD,28/03/2017,4080.00
DISABLED FACILITIES GENERAL,CONTRACTOR OTHER,DISABLED FACILITIES GRANT,B000018754/993,COOKSON BUILDERS LTD,28/03/2017,4227.00
DISABLED FACILITIES GENERAL,CONTRACTOR OTHER,DISABLED FACILITIES GRANT,B000018754/25868,HYNDBURN PLUMBING & HEATING SERVICES,28/03/2017,5351.00
RECYCLING COLLECTION,CANS PLASTICS 50% INCOME LCC,QTR 3 PLASTICS LOI 2016/2017,B000018750/2506,LANCASHIRE COUNTY COUNCIL,28/03/2017,6806.03
VEHICLE MAINT SUPERVISION,FUEL STOCK,DIESEL 15002 L 09.03.17,B000018750/7658,SAMUEL COOKE & CO LTD,28/03/2017,14289.41
HAWORTH ART GALLERY,SALE OR RETURN SHOP ITEMS,SALES - MAR 17,B000018756/70,A SANDERS & D WALLACE,29/03/2017,254.72
HAWORTH ART GALLERY,ADVERTISING GENERAL,ADVERT IN MAGAZINE,B000018756/17546,SCOTT DAWSON ADVERTISING LTD,29/03/2017,735.00
VEHICLE MAINT SUPERVISION,NEW EQUIPMENT,BANKSMAN/TURN ALARM,B000018755/8388,VISION TECHNIQUES LTD,29/03/2017,2304.00
DISABLED FACILITIES GENERAL,CONTRACTOR OTHER,DISABLED FACILITIES GRANT,B000018757/7874,STANNAH LIFT SERVICES LIMITED,29/03/2017,2554.00
DISABLED FACILITIES GENERAL,CONTRACTOR OTHER,DISABLED FACILITIES GRANT,B000018757/7874,STANNAH LIFT SERVICES LIMITED,29/03/2017,3194.00
DISABLED FACILITIES GENERAL,CONTRACTOR OTHER,DISABLED FACILITIES GRANT,B000018757/7874,STANNAH LIFT SERVICES LIMITED,29/03/2017,3394.00
HOUSING BENEFIT ADMINISTRATION,LEGAL FEES,COSTS,B000018760/49780,ROSSENDALES COLLECT LTD,30/03/2017,287.94
LOCAL TAXATION,OTHER FEES,ANALYSE LOCAL RV FINDER,B000018761/57613,INFORM CPI LTD,30/03/2017,4105.00
LOCAL TAXATION,OTHER FEES,ENFORCEMENT AGENT VAT,B000018761/57613,INFORM CPI LTD,30/03/2017,14700.00
