Department Area,,Service Area,,Description,,,Line,,HBC Ref No.,,Name:  ,,,Payment Date,,Amount Paid
LEGL - Legal & Democratic,,DAB - Human Resources,,Contract charges: 19.11.25 to 18.11.26,,,1,,CRINV0015490,,Lefebvre,,,11/12/2025,,874.00
ENVS - Environmental Services,,CAF - CVMU,,Temp Staff W/E 12.12.24,,,1,,CRINV0015498,,Autotech Recruit,,,11/12/2025,,"1,026.60"
LEGL - Legal & Democratic,,DAB - Human Resources,,1 Picture,,,1,,CRINV0015513,,Media Village,,,11/12/2025,,720.00
REGN - Regeneration & Housing,,FAD - Housing Advice,,Rent Deposit,,,1,,CRINV0015524,,Eafield & Maple,,,11/12/2025,,650.00
RESO - Resources,,AAH - Facilities,,Disabled Facilities Grant,,,1,,CRINV0015534,,Greenwood Plumbers,,,11/12/2025,,"4,285.00"
REGN - Regeneration & Housing,,FAD - Housing Advice,,Temp accom.,,,1,,CRINV0015542,,Hill View (Private) Hotel,,,11/12/2025,,600.00
REGN - Regeneration & Housing,,FAD - Housing Advice,,Temp accom,,,1,,CRINV0015552,,Hill View (Private) Hotel,,,11/12/2025,,990.00
REGN - Regeneration & Housing,,FAD - Housing Advice,,Temp accom,,,1,,CRINV0015553,,Hill View (Private) Hotel,,,11/12/2025,,840.00
REGN - Regeneration & Housing,,FAD - Housing Advice,,Temp accom,,,1,,CRINV0015554,,Hill View (Private) Hotel,,,11/12/2025,,980.00
ENVS - Environmental Services,,CAB - Other Environmental Services,,10 x - 330 X 100 X 90MM Rat Bait Station,,,1,,CRPOI0014975,,Hamelin Pest Ltd,,,11/12/2025,,36.00
ENVS - Environmental Services,,CAB - Other Environmental Services,,4 x - Small (245 x 95mm) Aluminium,,,2,,CRPOI0014975,,Hamelin Pest Ltd,,,11/12/2025,,38.40
ENVS - Environmental Services,,CAB - Other Environmental Services,,4 x - Medium (245 x 170mm) Aluminium,,,3,,CRPOI0014975,,Hamelin Pest Ltd,,,11/12/2025,,48.00
ENVS - Environmental Services,,CAB - Other Environmental Services,,4 x- 100mm x 100mm / 4`` Single Flap Ratblocker,,,4,,CRPOI0014975,,Hamelin Pest Ltd,,,11/12/2025,,144.00
ENVS - Environmental Services,,CAB - Other Environmental Services,,4 x  - Hamelin Tether Kit,,,5,,CRPOI0014975,,Hamelin Pest Ltd,,,11/12/2025,,19.92
RESO - Resources,,AAF - Finance,,Temp Staff W/c 16.11.25,,,1,,CRPOI0014997,,G2 Recruitment Solutions,,,11/12/2025,,"5,850.00"
REGN - Regeneration & Housing,,FAG - Regeneration,,Temp Staff W/C 16.11.25,,,1,,CRPOI0015020,,Vivid Resourcing,,,11/12/2025,,"1,800.00"
ENVS - Environmental Services,,CAC - Parks & Cemeteries,,1 X Stihl MS661-C 28inc bar,,,1,,CRPOI0015043,,Balmers Garden Machinery,,,11/12/2025,,"1,320.00"
RESO - Resources,,AAH - Facilities,,Cleaning of War Memorials and Cenotaphs,,,1,,CRPOI0015044,,Lighting And Building Services Ltd,,,11/12/2025,,"5,853.00"
RESO - Resources,,AAH - Facilities,,Supply & Fit Replacement bottom skirt,,,1,,CRPOI0015101,,Automatic Door Company,,,11/12/2025,,"1,005.59"
PLAN - Planning & Transportation,,EAD - Planning,,Press notice for Planning applications,,,1,,CRPOI0015110,,People Scout Limited,,,11/12/2025,,583.13
LEGL - Legal & Democratic,,DAH - Licencing,,Temp Staff W/C 16.11.25,,,1,,CRPOI0015151,,G2 Recruitment Solutions,,,11/12/2025,,"1,728.00"
ENVS - Environmental Services,,CAC - Parks & Cemeteries,,"Call out for failed tree at Mercer Park, Clayton",,,1,,CRPOI0015174,,Northern Forestry & Arb,,,11/12/2025,,456.00
LEGL - Legal & Democratic,,DAH - Licencing,,Temp Staff W/C 20.11.25,,,1,,CRPOI0015482,,G2 Recruitment Solutions,,,11/12/2025,,"2,097.60"
LEGL - Legal & Democratic,,DAB - Human Resources,,6 spaces on IITIL Foundation course2 spaces on Prince 2 Foundation course,,,1,,CRPOI0015507,,QA Ltd,,,11/12/2025,,"8,051.76"
REGN - Regeneration & Housing,,FAF - Strategic Housing,,Telephone Interpreting services,,,1,,CRINV0014921,,Clear Voice,,,16/12/2025,,460.26
REGN - Regeneration & Housing,,FAF - Strategic Housing,,Affordable Warmth Grant,,,1,,CRINV0014925,,Harris Heating (Nw) Ltd,,,16/12/2025,,"5,875.00"
RESO - Resources,,AAG - Management Resources,,Lease / Service Charges,,,1,,CRINV0015053,,Lex Autolease Ltd,,,16/12/2025,,556.74
RESO - Resources,,AAG - Management Resources,,Lease / Service Charges,,,2,,CRINV0015053,,Lex Autolease Ltd,,,16/12/2025,,556.74
RESO - Resources,,AAG - Management Resources,,Lease / Service Charges,,,3,,CRINV0015053,,Lex Autolease Ltd,,,16/12/2025,,46.54
REGN - Regeneration & Housing,,FAF - Strategic Housing,,Affordable Warmth Grant,,,1,,CRINV0015089,,Trade Windows (Preston) Limited,,,16/12/2025,,"3,490.00"
ENVH - Environmental Health,,BAA - Housing Standards,,Agency staff - w/c 10.11.25 ,,,1,,CRINV0015125,,Oyster Partnership,,,16/12/2025,,"1,279.20"
ENVH - Environmental Health,,BAA - Housing Standards,,Agency staff - w/c 10.11.25 ,,,1,,CRINV0015126,,Oyster Partnership,,,16/12/2025,,"1,092.00"
RESO - Resources,,AAG - Management Resources,,Advanc Finance Rental,,,1,,CRINV0015129,,TCH Leasing,,,16/12/2025,,"3,448.66"
RESO - Resources,,AAG - Management Resources,,Advance Service Rental,,,2,,CRINV0015129,,TCH Leasing,,,16/12/2025,,872.35
PLAN - Planning & Transportation,,EAD - Planning,,Street Signs,,,1,,CRINV0015143,,G & G Signs,,,16/12/2025,,375.36
ENVH - Environmental Health,,BAB - Environmental Protection,,Agency staff - w/e 16.11.25 ,,,1,,CRINV0015146,,Vivid Resourcing,,,16/12/2025,,501.79
ENVS - Environmental Services,,CAF - CVMU,,Vehicle parts/goods,,,1,,CRINV0015155,,Gunn Jcb Ltd,,,16/12/2025,,"1,201.90"
ENVS - Environmental Services,,CAC - Parks & Cemeteries,,Education Seminar Attendance,,,1,,CRINV0015163,,I.C.C.M.,,,16/12/2025,,630.00
REGN - Regeneration & Housing,,FAD - Housing Advice,,Out of Hours Cover - Oct 2025,,,1,,CRINV0015167,,Maundy Relief,,,16/12/2025,,"1,240.00"
LEGL - Legal & Democratic,,DAB - Human Resources,,Big thank you 2025,,,1,,CRINV0015183,,Simon Brierley Presenter,,,16/12/2025,,330.00
PLAN - Planning & Transportation,,EAD - Planning,,Advert  21.11.25,,,1,,CRINV0015205,,People Scout Limited,,,16/12/2025,,422.21
REGN - Regeneration & Housing,,FAF - Strategic Housing,,Town Hall,,,1,,CRINV0015213,,Eric Wright Civil Engineering Ltd,,,16/12/2025,,"1,899.82"
REGN - Regeneration & Housing,,FAA - Economic Development,,UKSPF Business Support Grant 2025-26,,,1,,CRINV0015216,,Zara Cakes Ltd,,,16/12/2025,,"2,500.00"
REGN - Regeneration & Housing,,FAF - Strategic Housing,,Affordable Warmth Grant,,,1,,CRINV0015221,,A G S Heating & Plumbing Ltd,,,16/12/2025,,960.00
PLAN - Planning & Transportation,,EAD - Planning,,Agency staff - Week 54 - 17.11.25 - 21.11.25 ,,,1,,CRINV0015280,,Confido Consult Ltd,,,16/12/2025,,"2,335.86"
ENVS - Environmental Services,,CAC - Parks & Cemeteries,,Agency staff - w/c 10.11.25,,,1,,CRINV0015297,,Proman Supply Chain Ltd,,,16/12/2025,,320.11
ENVS - Environmental Services,,CAB - Other Environmental Services,,20.11.25 - Vehicle Hire,,,1,,CRINV0015300,,Stanley Brothers (Tippers) Ltd,,,16/12/2025,,744.00
REGN - Regeneration & Housing,,FAF - Strategic Housing,,Affordable Warmth Grant,,,1,,CRINV0015307,,A G S Heating & Plumbing Ltd,,,16/12/2025,,"4,200.00"
REGN - Regeneration & Housing,,FAF - Strategic Housing,,Affordable Warmth Grant,,,1,,CRINV0015308,,Harris Heating (Nw) Ltd,,,16/12/2025,,"4,245.00"
REGN - Regeneration & Housing,,FAF - Strategic Housing,,Affordable Warmth Grant,,,1,,CRINV0015309,,Harris Heating (Nw) Ltd,,,16/12/2025,,"4,245.00"
ENVS - Environmental Services,,CAE - Waste Services,,Agency staff - w/e 23.11.25,,,1,,CRINV0015321,,Rapid Recruitment Ltd,,,16/12/2025,,785.88
REGN - Regeneration & Housing,,FAF - Strategic Housing,,Affordable Warmth Grant,,,1,,CRINV0015372,,Rhea Projects,,,16/12/2025,,"1,061.28"
REGN - Regeneration & Housing,,FAF - Strategic Housing,,Affordable Warmth Grant,,,1,,CRINV0015373,,Rhea Projects,,,16/12/2025,,"1,143.72"
PLAN - Planning & Transportation,,EAD - Planning,,Agency staff - w/e 30.11.25,,,1,,CRINV0015397,,Macdonald & Company,,,16/12/2025,,824.10
PLAN - Planning & Transportation,,EAD - Planning,,Agency staff - w/e 30.11.25 ,,,2,,CRINV0015397,,Macdonald & Company,,,16/12/2025,,824.10
RESO - Resources,,AAG - Management Resources,,Rental Period 09-Nov-25 - 20-Nov-25,,,1,,CRINV0015407,,Lex Autolease Ltd,,,16/12/2025,,219.67
RESO - Resources,,AAG - Management Resources,,Rental Period 09-Nov-25 - 20-Nov-25,,,2,,CRINV0015407,,Lex Autolease Ltd,,,16/12/2025,,219.67
RESO - Resources,,AAG - Management Resources,,Rental Period 09-Nov-25 - 20-Nov-25,,,3,,CRINV0015407,,Lex Autolease Ltd,,,16/12/2025,,18.43
RESO - Resources,,AAG - Management Resources,,Mileage Payments,,,1,,CRINV0015410,,Lex Autolease Ltd,,,16/12/2025,,233.07
RESO - Resources,,AAG - Management Resources,,Mileage Payments,,,2,,CRINV0015410,,Lex Autolease Ltd,,,16/12/2025,,233.05
RESO - Resources,,AAG - Management Resources,,Mileage Payments,,,3,,CRINV0015410,,Lex Autolease Ltd,,,16/12/2025,,70.88
REGN - Regeneration & Housing,,FAF - Strategic Housing,,Affordable Warmth Grant,,,1,,CRINV0015411,,Harris Heating (Nw) Ltd,,,16/12/2025,,"5,875.00"
REGN - Regeneration & Housing,,FAF - Strategic Housing,,Affordable Warmth Grant,,,1,,CRINV0015413,,Harris Heating (Nw) Ltd,,,16/12/2025,,960.00
REGN - Regeneration & Housing,,FAF - Strategic Housing,,Navigator Service Provision - 01.04.25 - 31.03.26,,,1,,CRINV0015446,,Maundy Relief,,,16/12/2025,,"31,000.00"
REGN - Regeneration & Housing,,FAF - Strategic Housing,,Night Shelter Service Provision - 01.04.25 - 31.03.26,,,1,,CRINV0015447,,Maundy Relief,,,16/12/2025,,"15,000.00"
REGN - Regeneration & Housing,,FAG - Regeneration,,membership subscription,,,1,,CRINV0015501,,RICS,,,16/12/2025,,578.00
ENVS - Environmental Services,,CAA - Environmental Maintenance,,electricity bill,,,1,,CRINV0015503,,E-On Next Energy - A-B930C930 73 Blackburn Road,,,16/12/2025,,636.67
RESO - Resources,,AAH - Facilities,,electricity bill,,,1,,CRINV0015530,,TotalEnergies - Civic Theatre - 3009581014,,,16/12/2025,,754.43
PLAN - Planning & Transportation,,EAD - Planning,,temporary staff w/e 07/12/25,,,1,,CRINV0015531,,Macdonald & Company,,,16/12/2025,,791.30
PLAN - Planning & Transportation,,EAD - Planning,,temporary staff w/e 07/12/25,,,2,,CRINV0015531,,Macdonald & Company,,,16/12/2025,,791.30
REGN - Regeneration & Housing,,FAF - Strategic Housing,,Affordable Warmth Grant,,,1,,CRINV0015536,,A G S Heating & Plumbing Ltd,,,16/12/2025,,"4,350.00"
RESO - Resources,,AAH - Facilities,,Electric Town Hall,,,1,,CRINV0015540,,Total Energies - Acc Town Hall - 3009581025,,,16/12/2025,,"2,529.61"
RESO - Resources,,AAH - Facilities,,"Electric Community Hub, Fielding Lane",,,1,,CRINV0015544,,Total Energies - Community Hub - 3009525630,,,16/12/2025,,"1,079.48"
RESO - Resources,,AAH - Facilities,,Electric,,,1,,CRINV0015547,,Total Energies - Vehicle Maintenance - 3009525651,,,16/12/2025,,"2,118.07"
RESO - Resources,,AAH - Facilities,,Electric Scaitcliffe,,,1,,CRINV0015557,,Total Energies - Scaitcliffe - 3009525640,,,16/12/2025,,"7,567.18"
RESO - Resources,,AAH - Facilities,,Interim payment 4,,,1,,CRINV0015560,,Greenable Construction Ltd,,,16/12/2025,,"12,000.00"
RESO - Resources,,AAH - Facilities,,Electric  Market Hall,,,1,,CRINV0015561,,Total Energies - Acc Market Hall - 3009581036,,,16/12/2025,,"4,104.85"
PLAN - Planning & Transportation,,EAC - Green Infrastructure,,Hynd Nature reserve,,,1,,CRINV0015566,,The Prospects Foundation,,,16/12/2025,,"12,760.00"
PLAN - Planning & Transportation,,EAC - Green Infrastructure,,Tree action programme,,,1,,CRINV0015567,,The Prospects Foundation,,,16/12/2025,,"20,000.00"
PLAN - Planning & Transportation,,EAA - Building Control,,Temp staff w/e 5.12.25 ,,,1,,CRINV0015569,,Deekay Tech Recruitment Ltd,,,16/12/2025,,"1,158.48"
PLAN - Planning & Transportation,,EAC - Green Infrastructure,,Period: 10.11.25 to 9.12.25,,,1,,CRINV0015575,,"Water Plus - 4082163740 Meadoway, Allotments",,,16/12/2025,,260.29
ENVS - Environmental Services,,CAA - Environmental Maintenance,,Acc Town Square Phase 2,,,1,,CRINV0015582,,Krol Corlett Construction Limited,,,16/12/2025,,"271,416.33"
ENVS - Environmental Services,,CAA - Environmental Maintenance,,Acc Town Square Phase 2,,,2,,CRINV0015582,,Krol Corlett Construction Limited,,,16/12/2025,,"89,728.05"
LEGL - Legal & Democratic,,DAK - Community Safety,,Buffet - 11.11.25,,,1,,CRINV0015583,,Northern Delights (Nw) Limited,,,16/12/2025,,273.75
ENVS - Environmental Services,,CAC - Parks & Cemeteries,,Grant,,,1,,CRINV0015586,,Lancashire Environmental Fund,,,16/12/2025,,"3,300.00"
ENVS - Environmental Services,,CAC - Parks & Cemeteries,,Water Whiteash,,,1,,CRINV0015591,,Water Plus - 6002491027 White Ash Playing Fields,,,16/12/2025,,275.99
REGN - Regeneration & Housing,,FAA - Economic Development,,UKSPF Business Support Grant 25-26,,,1,,CRINV0015602,,Mini & Mighty Ltd,,,16/12/2025,,"3,829.00"
REGN - Regeneration & Housing,,FAD - Housing Advice,,Accommodation Fees,,,1,,CRINV0015616,,Hill View (Private) Hotel,,,16/12/2025,,525.00
REGN - Regeneration & Housing,,FAF - Strategic Housing,,Affordable Warmth Grant,,,1,,CRINV0015622,,A G S Heating & Plumbing Ltd,,,16/12/2025,,"2,460.00"
REGN - Regeneration & Housing,,FAD - Housing Advice,,Accommodation ,,,1,,CRINV0015638,,Hill View (Private) Hotel,,,16/12/2025,,490.00
REGN - Regeneration & Housing,,FAD - Housing Advice,,Deposit Fee,,,1,,CRINV0015651,,Ashburn Lindsay Ltd,,,16/12/2025,,"1,130.00"
ENVS - Environmental Services,,CAA - Environmental Maintenance,,Charges - 01.11.25 - 30.11.25,,,1,,CRINV0015656,,Drax,,,16/12/2025,,308.77
REGN - Regeneration & Housing,,FAF - Strategic Housing,,Affordable Warmth Grant,,,1,,CRINV0015660,,A G S Heating & Plumbing Ltd,,,16/12/2025,,"2,520.00"
REGN - Regeneration & Housing,,FAF - Strategic Housing,,Affordable Warmth Grant,,,1,,CRINV0015661,,Artisan Windows,,,16/12/2025,,695.00
REGN - Regeneration & Housing,,FAF - Strategic Housing,,Affordable Warmth Grant,,,1,,CRINV0015662,,Artisan Windows,,,16/12/2025,,"1,435.00"
ENVS - Environmental Services,,CAC - Parks & Cemeteries,,Water King Georges,,,1,,CRINV0015674,,Water Plus - 4172823740 King Georges Pavillion,,,16/12/2025,,"1,441.81"
RESO - Resources,,AAB - Benefits & Customer Contact,,IRRV Forum Subscription,,,1,,CRPOI0015139,,IRRV,,,16/12/2025,,570.00
RESO - Resources,,AAB - Benefits & Customer Contact,,IRRV Forum Subscription,,,2,,CRPOI0015139,,IRRV,,,16/12/2025,,570.00
RESO - Resources,,AAB - Benefits & Customer Contact,,IRRV Forum Subscription,,,3,,CRPOI0015139,,IRRV,,,16/12/2025,,576.00
REGN - Regeneration & Housing,,FAA - Economic Development,,Hyndburn Jobs Fair,,,1,,CRPOI0015179,,Scott Dawson Advertising Ltd,,,16/12/2025,,"9,282.00"
ENVS - Environmental Services,,CAB - Other Environmental Services,,2 x - Pack of 4 Universal Bin plugs,,,1,,CRPOI0015207,,Killgerm Chemicals Ltd,,,16/12/2025,,43.20
ENVS - Environmental Services,,CAB - Other Environmental Services,,12 x  290ml Cement Repair Express (Grey),,,2,,CRPOI0015207,,Killgerm Chemicals Ltd,,,16/12/2025,,55.15
ENVS - Environmental Services,,CAB - Other Environmental Services,,4 x  - LED Retrofit Tube/Starters,,,3,,CRPOI0015207,,Killgerm Chemicals Ltd,,,16/12/2025,,170.40
ENVS - Environmental Services,,CAB - Other Environmental Services,,2 x  - Retrofit Glue Board,,,4,,CRPOI0015207,,Killgerm Chemicals Ltd,,,16/12/2025,,30.00
ENVS - Environmental Services,,CAC - Parks & Cemeteries,,"3 X  cranked ladder rung 0,80m",,,1,,CRPOI0015222,,Redlynch Installations Ltd,,,16/12/2025,,694.80
ENVS - Environmental Services,,CAC - Parks & Cemeteries,,6 X cheese head screw with pin ,,,2,,CRPOI0015222,,Redlynch Installations Ltd,,,16/12/2025,,42.12
ENVS - Environmental Services,,CAC - Parks & Cemeteries,,Delivery from Germany,,,3,,CRPOI0015222,,Redlynch Installations Ltd,,,16/12/2025,,180.00
LEGL - Legal & Democratic,,DAA - Democratic Services,,Traffic Management - Armistice Day,,,1,,CRPOI0015244,,Primus Traffic Management,,,16/12/2025,,833.40
PLAN - Planning & Transportation,,EAD - Planning,,"To carry out contamination investigations and risk assessment
",,,1,,CRPOI0015247,,RSK Environment Ltd,,,16/12/2025,,"2,112.00"
ENVS - Environmental Services,,CAF - CVMU,,"23,000 Ltrts X HVO ",,,1,,CRPOI0015416,,Certas Energy,,,16/12/2025,,"28,085.45"
ENVH - Environmental Health,,BAB - Environmental Protection,,Temp Staff 23.11.25,,,1,,CRINV0015185,,Vivid Resourcing,,,18/12/2025,,583.07
PLAN - Planning & Transportation,,EAD - Planning,,Temp Staff 23.11.25  ,,,1,,CRINV0015186,,Vivid Resourcing,,,18/12/2025,,"2,160.00"
ENVH - Environmental Health,,BAA - Housing Standards,,Agency staff - w/c 17.11.25 ,,,1,,CRINV0015217,,Oyster Partnership,,,18/12/2025,,998.40
ENVH - Environmental Health,,BAA - Housing Standards,,Agency staff - w/c 17.11.25 ,,,1,,CRINV0015218,,Oyster Partnership,,,18/12/2025,,"1,399.01"
REGN - Regeneration & Housing,,FAC - Haworth Art Gallery,,Supplies for Shop,,,1,,CRINV0015219,,Art Angels Publishing Ltd,,,18/12/2025,,295.20
ENVS - Environmental Services,,CAF - CVMU,,Active XLS,,,1,,CRINV0015234,,Hope & Brown Ltd,,,18/12/2025,,319.96
ENVS - Environmental Services,,CAF - CVMU,,Parts,,,1,,CRINV0015237,,Dennis Eagle Limited,,,18/12/2025,,269.93
ENVS - Environmental Services,,CAF - CVMU,,Door Hinge,,,1,,CRINV0015239,,Dennis Eagle Limited,,,18/12/2025,,539.46
ENVS - Environmental Services,,CAE - Waste Services,,"Cleaning materials, Willows Lane.",,,1,,CRINV0015249,,Systems Hygiene Ltd,,,18/12/2025,,496.55
ENVS - Environmental Services,,CAF - CVMU,,Monthly contract,,,1,,CRINV0015252,,Texa UK Limited,,,18/12/2025,,"2,616.00"
RESO - Resources,,AAB - Benefits & Customer Contact,,LA-PED Sponsored Commission. Carers Support Payment ATLAS Fix,,,1,,CRINV0015260,,MRI Community Software Ltd,,,18/12/2025,,733.82
ENVS - Environmental Services,,CAC - Parks & Cemeteries,,Oak Trent URN,,,1,,CRINV0015262,,Luke Howgate & Son Ltd,,,18/12/2025,,296.42
PLAN - Planning & Transportation,,EAC - Green Infrastructure,,Plants,,,1,,CRINV0015277,,Tilhill Forestry Ltd - T/A Maelor Forest Nurseries,,,18/12/2025,,"2,557.92"
PLAN - Planning & Transportation,,EAD - Planning,,Agency staff - w/e 23.11.25 ,,,1,,CRINV0015279,,Vivid Resourcing,,,18/12/2025,,"1,864.80"
ENVH - Environmental Health,,BAB - Environmental Protection,,Bauwatch Solar 4+ - 01.11.25 - 30.11.25,,,1,,CRINV0015281,,BauWatch UK,,,18/12/2025,,"1,476.00"
ENVH - Environmental Health,,BAB - Environmental Protection,,Bauwatch Solar 3 - 01.11.25 - 30.11.25,,,1,,CRINV0015282,,BauWatch UK,,,18/12/2025,,"1,476.00"
ENVS - Environmental Services,,CAB - Other Environmental Services,,Vehicle Hire -  - 24.11.25,,,1,,CRINV0015304,,Stanley Brothers (Tippers) Ltd,,,18/12/2025,,744.00
RESO - Resources,,AAH - Facilities,,Peel Park Cleaning Dec 25,,,1,,CRINV0015311,,ServiceMaster Clean Contract Services AAA,,,18/12/2025,,264.23
RESO - Resources,,AAH - Facilities,,Mercer Park Cleaning,,,1,,CRINV0015312,,ServiceMaster Clean Contract Services AAA,,,18/12/2025,,264.23
ENVS - Environmental Services,,CAC - Parks & Cemeteries,,Agency staff - w/c 17.11.25 ,,,1,,CRINV0015322,,Proman Supply Chain Ltd,,,18/12/2025,,807.35
ENVS - Environmental Services,,CAC - Parks & Cemeteries,,Valuation Fees,,,1,,CRINV0015326,,Groundwork Landscapes Limited,,,18/12/2025,,"26,617.20"
LEGL - Legal & Democratic,,DAB - Human Resources,,OD - Regional Programme,,,1,,CRINV0015333,,North West Employers,,,18/12/2025,,"2,100.00"
PLAN - Planning & Transportation,,EAD - Planning,,Agency staff - w/e 30.11.25 ,,,1,,CRINV0015336,,Vivid Resourcing,,,18/12/2025,,"2,160.00"
REGN - Regeneration & Housing,,FAD - Housing Advice,,Agency staff - w/e 30.11.25 ,,,1,,CRINV0015337,,Vivid Resourcing,,,18/12/2025,,"1,710.00"
PLAN - Planning & Transportation,,EAD - Planning,,Agency staff - w/e 30.11.25,,,1,,CRINV0015343,,Vivid Resourcing,,,18/12/2025,,"1,864.80"
RESO - Resources,,AAB - Benefits & Customer Contact,,VAT Collected on Fees,,,1,,CRINV0015344,,Marston (Holdings) Ltd,,,18/12/2025,,"3,182.58"
ENVS - Environmental Services,,CAF - CVMU,,steam clean refuse vehicles x2,,,1,,CRINV0015350,,Keep Em Clean,,,18/12/2025,,262.50
RESO - Resources,,AAB - Benefits & Customer Contact,,Debt Collection Fees,,,1,,CRINV0015354,,Marston (Holdings) Ltd,,,18/12/2025,,949.12
ENVS - Environmental Services,,CAF - CVMU,,2 x Steam Cleaning Refuse Vehicles - 24.11.25,,,1,,CRINV0015359,,Keep Em Clean,,,18/12/2025,,262.50
RESO - Resources,,AAB - Benefits & Customer Contact,,2026 Technician Subscription,,,1,,CRINV0015363,,IRRV,,,18/12/2025,,267.00
ENVS - Environmental Services,,CAF - CVMU,,Call Out and Recovery - 24.11.25 ,,,1,,CRINV0015375,,Assured Automobile Assessors Ltd,,,18/12/2025,,288.00
RESO - Resources,,AAG - Management Resources,,Vehicle Rental ,,,1,,CRINV0015379,,Athlon Mobility Services UK Ltd,,,18/12/2025,,"6,176.85"
RESO - Resources,,AAG - Management Resources,,Vehicle Rental ,,,2,,CRINV0015379,,Athlon Mobility Services UK Ltd,,,18/12/2025,,"6,147.84"
RESO - Resources,,AAG - Management Resources,,Vehicle Rental,,,3,,CRINV0015379,,Athlon Mobility Services UK Ltd,,,18/12/2025,,"1,472.22"
RESO - Resources,,AAB - Benefits & Customer Contact,,Agency staff - w/e 16.11.25,,,1,,CRINV0015390,,Eden Brown Limited,,,18/12/2025,,"1,212.12"
ENVH - Environmental Health,,BAB - Environmental Protection,,Agency staff - w/e 30.11.25 ,,,1,,CRINV0015393,,Vivid Resourcing,,,18/12/2025,,406.36
RESO - Resources,,AAB - Benefits & Customer Contact,,Agency staff - w/e 16.11.25,,,1,,CRINV0015395,,Venn Group Limited,,,18/12/2025,,"1,278.28"
RESO - Resources,,AAB - Benefits & Customer Contact,,Agency staff - w/e 23.11.25 ,,,1,,CRINV0015396,,Venn Group Limited,,,18/12/2025,,"1,278.28"
REGN - Regeneration & Housing,,FAD - Housing Advice,,Out of Hours Cover - Nov 25,,,1,,CRINV0015399,,Maundy Relief,,,18/12/2025,,"1,200.00"
ENVS - Environmental Services,,CAE - Waste Services,,36 month renewal,,,1,,CRINV0015414,,CTrack UK Ltd,,,18/12/2025,,302.40
ENVS - Environmental Services,,CAB - Other Environmental Services,,Supplementary Cleaning - Willows Lane - Dec25,,,1,,CRINV0015418,,ServiceMaster Clean Contract Services AAA,,,18/12/2025,,"1,391.64"
ENVS - Environmental Services,,CAB - Other Environmental Services,,Vehicle Hire - 01.12.25 ,,,1,,CRINV0015421,,Stanley Brothers (Tippers) Ltd,,,18/12/2025,,744.00
RESO - Resources,,AAB - Benefits & Customer Contact,,Emergency Fuel Vouchers - Sept25,,,1,,CRINV0015425,,Auriga,,,18/12/2025,,882.00
ENVS - Environmental Services,,CAF - CVMU,,Parts,,,1,,CRINV0015430,,Dennis Eagle Limited,,,18/12/2025,,"1,409.47"
ENVS - Environmental Services,,CAF - CVMU,,Vehicle parts,,,1,,CRINV0015431,,Pirtek Preston 2004 Ltd,,,18/12/2025,,338.20
ENVS - Environmental Services,,CAF - CVMU,,Parts,,,1,,CRINV0015432,,Dennis Eagle Limited,,,18/12/2025,,571.69
ENVS - Environmental Services,,CAB - Other Environmental Services,,HBC Stray Dog Contract,,,1,,CRINV0015433,,Aspen Valley Boarding Kennels & Cattery,,,18/12/2025,,"2,207.54"
ENVS - Environmental Services,,CAC - Parks & Cemeteries,,Agency staff - w/c 24.11.25 ,,,1,,CRINV0015434,,Proman Supply Chain Ltd,,,18/12/2025,,320.11
ENVS - Environmental Services,,CAE - Waste Services,,Agency staff - w/e 30.11.25,,,1,,CRINV0015435,,Rapid Recruitment Ltd,,,18/12/2025,,"1,414.58"
ENVS - Environmental Services,,CAF - CVMU,,Supplementary Cleaning - CVMU - Dec25,,,1,,CRINV0015438,,ServiceMaster Clean Contract Services AAA,,,18/12/2025,,"1,070.47"
RESO - Resources,,AAB - Benefits & Customer Contact,,Whinney Hill 05.12.25,,,1,,CRINV0015451,,Cheval Social Management,,,18/12/2025,,969.24
RESO - Resources,,AAB - Benefits & Customer Contact,,Whinney Hill - 05.12.25,,,1,,CRINV0015452,,Ada Glossop Ltd,,,18/12/2025,,"1,012.00"
ENVH - Environmental Health,,BAA - Housing Standards,,Professional Charges ,,,1,,CRINV0015454,,Gary Grant (Francis Taylor Building),,,18/12/2025,,300.00
PLAN - Planning & Transportation,,EAC - Green Infrastructure,,Plants,,,1,,CRINV0015459,,Tilhill Forestry Ltd - T/A Maelor Forest Nurseries,,,18/12/2025,,"1,875.95"
RESO - Resources,,AAD - ICT,,Charges - 01.12.25 - 31.12.25,,,1,,CRINV0015470,,Aspire Technology Solutions Limited,,,18/12/2025,,985.66
ENVS - Environmental Services,,CAC - Parks & Cemeteries,,Charges - Nov 25,,,1,,CRINV0015485,,Obitus (Vivedia Ltd),,,18/12/2025,,"2,660.40"
ENVS - Environmental Services,,CAC - Parks & Cemeteries,,Charges - Nov 25,,,1,,CRINV0015486,,Minster Cleaning Services,,,18/12/2025,,"1,621.61"
PLAN - Planning & Transportation,,EAD - Planning,,Temp staff w/e 28.11.25,,,1,,CRINV0015487,,Confido Consult Ltd,,,18/12/2025,,"2,288.76"
PLAN - Planning & Transportation,,EAD - Planning,,Temp staff w/e 7.12.25,,,1,,CRINV0015488,,Vivid Resourcing,,,18/12/2025,,"1,080.00"
RESO - Resources,,AAF - Finance,,Cleaning materials,,,1,,CRINV0015493,,Option Hygiene,,,18/12/2025,,374.61
